stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077;;3.2.1.21;1;0__H2O	 Water C00001;substrate;irreversible;;673.5757082153373;124.26555620383078;669.4534301757812;53.10358428955078;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077 R06077;0__H2O	 Water C00001;false
0;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077;;3.2.1.21;1;1,4-beta-D-Glucan	 1,4-beta-Glucan	 Cellulose	 (Glc)1 (*)2 G10481;substrate;irreversible;;673.5757082153373;124.26555620383078;466.61277233083774;63.80361276619416;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077 R06077;1,4-beta-D-Glucan G10481;true
0;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077;;3.2.1.21;1;beta-D-Glucose	 beta-D-Glucopyranose C00221;product;irreversible;;673.5757082153373;124.26555620383078;675.529546234699;161.17762869259872;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077 R06077;beta-D-Glucose C00221;true
0;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077;;3.2.1.21;1;1,4-beta-D-Glucan	 1,4-beta-Glucan	 Cellulose	 (Glc)1 (*)2 G10481;product;irreversible;;673.5757082153373;124.26555620383078;466.61277233083774;63.80361276619416;1,4-beta-D-Glucan(n+1) + H2O <=> 1,4-beta-D-Glucan(n) + beta-D-Glucose R06077 R06077;1,4-beta-D-Glucan G10481;true
1;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200;K01179,K01225;3.2.1.91,3.2.1.4;1;1__H2O	 Water C00001;substrate;irreversible;;233.07413690381577;119.09107866120905;228.08425569534302;63.55018812417984;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200 R06200;1__H2O	 Water C00001;false
1;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200;K01179,K01225;3.2.1.91,3.2.1.4;1;1,4-beta-D-Glucan	 1,4-beta-Glucan	 Cellulose	 (Glc)1 (*)2 G10481;substrate;irreversible;;233.07413690381577;119.09107866120905;466.61277233083774;63.80361276619416;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200 R06200;1,4-beta-D-Glucan G10481;true
1;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200;K01179,K01225;3.2.1.91,3.2.1.4;1;1,4-beta-D-Glucan	 1,4-beta-Glucan	 Cellulose	 (Glc)1 (*)2 G10481;product;irreversible;;233.07413690381577;119.09107866120905;466.61277233083774;63.80361276619416;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200 R06200;1,4-beta-D-Glucan G10481;true
1;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200;K01179,K01225;3.2.1.91,3.2.1.4;1;Cellobiose	 Glucoscilliroside	 (Glc)2 G00289;product;irreversible;;233.07413690381577;119.09107866120905;235.37086302405942;167.99661896646387;1,4-beta-D-Glucan(n+2) + H2O <=> 1,4-beta-D-Glucan(n) + Cellobiose R06200 R06200;Cellobiose G00289;true
2;1,4-(1,3	1,4)-beta-D-glucan 4-glucanohydrolase	 Cellulose + H2O <=> Cellulose + Cellobiose R02886;K19668,K01225;3.2.1.91;1;Cellulose	 (1,4-beta-D-Glucosyl)n	 (1,4-beta-D-Glucosyl)n+1	 (1,4-beta-D-Glucosyl)n-1	 1,4-beta-D-Glucan	 Microcrystalline cellulose C00760;substrate;irreversible;;490.7077477964725;220.6384836896775;490.5398024831269;171.73200047193234;1,4-(1,3 R02886;Cellulose C00760;true
2;1,4-(1,3	1,4)-beta-D-glucan 4-glucanohydrolase	 Cellulose + H2O <=> Cellulose + Cellobiose R02886;K19668,K01225;3.2.1.91;1;2__H2O	 Water C00001;substrate;irreversible;;490.7077477964725;220.6384836896775;617.7231202125549;277.64811140298843;1,4-(1,3 R02886;2__H2O	 Water C00001;false
2;1,4-(1,3	1,4)-beta-D-glucan 4-glucanohydrolase	 Cellulose + H2O <=> Cellulose + Cellobiose R02886;K19668,K01225;3.2.1.91;1;Cellulose	 (1,4-beta-D-Glucosyl)n	 (1,4-beta-D-Glucosyl)n+1	 (1,4-beta-D-Glucosyl)n-1	 1,4-beta-D-Glucan	 Microcrystalline cellulose C00760;product;irreversible;;490.7077477964725;220.6384836896775;490.5398024831269;171.73200047193234;1,4-(1,3 R02886;Cellulose C00760;true
2;1,4-(1,3	1,4)-beta-D-glucan 4-glucanohydrolase	 Cellulose + H2O <=> Cellulose + Cellobiose R02886;K19668,K01225;3.2.1.91;1;Cellobiose	 1-beta-D-Glucopyranosyl-4-D-glucopyranose C00185;product;irreversible;;490.7077477964725;220.6384836896775;491.4434887092922;273.03138434102715;1,4-(1,3 R02886;Cellobiose C00185;true
3;cellobiose:phosphate alpha-D-glucosyltransferase	 Cellobiose + Orthophosphate <=> D-Glucose 1-phosphate + D-Glucose R00952;K00702;2.4.1.20;1;Cellobiose	 1-beta-D-Glucopyranosyl-4-D-glucopyranose C00185;substrate;irreversible;;242.5972568837816;344.2421108172866;491.4434887092922;273.03138434102715;cellobiose:phosphate alpha-D-glucosyltransferase R00952;Cellobiose C00185;true
3;cellobiose:phosphate alpha-D-glucosyltransferase	 Cellobiose + Orthophosphate <=> D-Glucose 1-phosphate + D-Glucose R00952;K00702;2.4.1.20;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;substrate;irreversible;;242.5972568837816;344.2421108172866;349.14368997972826;265.4234819534891;cellobiose:phosphate alpha-D-glucosyltransferase R00952;Orthophosphate C00009;false
3;cellobiose:phosphate alpha-D-glucosyltransferase	 Cellobiose + Orthophosphate <=> D-Glucose 1-phosphate + D-Glucose R00952;K00702;2.4.1.20;1;D-Glucose	 Grape sugar	 Dextrose	 Glucose	 D-Glucopyranose C00031;product;irreversible;;242.5972568837816;344.2421108172866;241.00548034129724;258.4092482431914;cellobiose:phosphate alpha-D-glucosyltransferase R00952;D-Glucose C00031;true
3;cellobiose:phosphate alpha-D-glucosyltransferase	 Cellobiose + Orthophosphate <=> D-Glucose 1-phosphate + D-Glucose R00952;K00702;2.4.1.20;1;D-Glucose 1-phosphate	 alpha-D-Glucose 1-phosphate	 Cori ester	 D-Glucose alpha-1-phosphate C00103;product;irreversible;;242.5972568837816;344.2421108172866;96.2156881731122;258.65448712360586;cellobiose:phosphate alpha-D-glucosyltransferase R00952;D-Glucose 1-phosphate C00103;true
4;cellobiose:phosphate alpha-D-glucosyltransferase	 Cellobiose + Orthophosphate <=> D-Glucose 1-phosphate + D-Glucose R06056;;2.4.1.20;1;Cellobiose	 Glucoscilliroside	 (Glc)2 G00289;substrate;irreversible;;239.59318374695715;214.80918134703666;235.37086302405942;167.99661896646387;cellobiose:phosphate alpha-D-glucosyltransferase R06056;Cellobiose G00289;true
