stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;3.2.1.- U00000;;3.2.1.-;;;;irreversible;;0;0;;;3.2.1.-;;true
1;xylan 1,4-beta-xylosidase	 xylobiase	 beta-xylosidase	 exo-1,4-beta-xylosidase	 beta-D-xylopyranosidase	 beta-xylosidase	 beta-xylosidase	 exo-1,4-xylosidase	 exo-1,4-beta-D-xylosidase	 1,4-beta-D-xylan xylohydrolase U00001;;3.2.1.37;;;;irreversible;;0;50;;;xylan 1,4-beta-xylosidase;;true
2;non-reducing end alpha-L-arabinofuranosidase	 arabinosidase (ambiguous)	 alpha-arabinosidase	 alpha-L-arabinosidase	 alpha-arabinofuranosidase	 polysaccharide alpha-L-arabinofuranosidase	 alpha-L-arabinofuranoside hydrolase	 L-arabinosidase (ambiguous)	 alpha-L-arabinanase U00002;;3.2.1.55;;;;irreversible;;0;100;;;non-reducing end alpha-L-arabinofuranosidase;;true
3;beta-galactosidase	 lactase (ambiguous)	 beta-lactosidase	 maxilact	 hydrolact	 beta-D-lactosidase	 S 2107	 lactozym	 trilactase	 beta-D-galactanase	 oryzatym	 sumiklat U00003;;3.2.1.23;;;;irreversible;;0;150;;;beta-galactosidase;;true
4;beta-galactofuranosidase	 exo-beta-galactofuranosidase	 exo-beta-D-galactofuranosidase	 beta-D-galactofuranosidase U00004;;3.2.1.146;;;;irreversible;;0;200;;;beta-galactofuranosidase;;true
5;exo-1,4-beta-D-glucosaminidase	 CsxA	 GlcNase	 exochitosanase	 GlmA	 exo-beta-D-glucosaminidase	 chitosan exo-1,4-beta-D-glucosaminidase U00005;;3.2.1.165;;;;irreversible;;0;250;;;exo-1,4-beta-D-glucosaminidase;;true
6;beta-mannosidase	 mannanase	 mannase	 beta-D-mannosidase	 beta-mannoside mannohydrolase	 exo-beta-D-mannanase U00006;;3.2.1.25;;;;irreversible;;0;300;;;beta-mannosidase;;true
7;mannosylglycoprotein endo-beta-mannosidase	 endo-beta-mannosidase U00007;;3.2.1.152;;;;irreversible;;0;350;;;mannosylglycoprotein endo-beta-mannosidase;;true
8;beta-glucuronidase	 beta-glucuronide glucuronohydrolase glucuronidase	 exo-beta-D-glucuronidase	 ketodase U00008;;3.2.1.31;;;;irreversible;;0;400;;;beta-glucuronidase;;true
9;beta-glucosidase	 gentiobiase	 cellobiase	 emulsin	 elaterase	 aryl-beta-glucosidase	 beta-D-glucosidase	 beta-glucoside glucohydrolase	 arbutinase	 amygdalinase	 p-nitrophenyl beta-glucosidase	 primeverosidase	 amygdalase	 linamarase	 salicilinase	 beta-1,6-glucosidase U00009;;3.2.1.21;;;;irreversible;;0;450;;;beta-glucosidase;;true
