stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Deleted entry U00000;;2.4.1.45;;;;irreversible;;0;0;;;Deleted entry;;true
1;limonoid glucosyltransferase	 uridine diphosphoglucose-limonoid glucosyltransferase U00001;;2.4.1.210;;;;irreversible;;0;50;;;limonoid glucosyltransferase;;true
2;cinnamate beta-D-glucosyltransferase	 uridine diphosphoglucose-cinnamate glucosyltransferase	 UDPG:t-cinnamate glucosyltransferase U00002;;2.4.1.177;;;;irreversible;;0;100;;;cinnamate beta-D-glucosyltransferase;;true
3;N-acylsphingosine galactosyltransferase	 UGT8 (gene name)	 CGT (gene name)	 UDP galactose-N-acylsphingosine galactosyltransferase	 uridine diphosphogalactose-acylsphingosine galactosyltransferase	 UDP-galactose:N-acylsphingosine D-galactosyltransferase	 UDP-alpha-D-galactose:N-acylsphingosine D-galactosyltransferase	 2-hydroxyacylsphingosine 1-beta-galactosyltransferase U00003;;2.4.1.47;;;;irreversible;;0;150;;;N-acylsphingosine galactosyltransferase;;true
4;sinapate 1-glucosyltransferase	 uridine diphosphoglucose-sinapate glucosyltransferase	 UDP-glucose:sinapic acid glucosyltransferase	 uridine 5'-diphosphoglucose-hydroxycinnamic acid acylglucosyltransferase	 UDP-glucose:sinapate D-glucosyltransferase U00004;;2.4.1.120;;;;irreversible;;0;200;;;sinapate 1-glucosyltransferase;;true
5;indole-3-acetate beta-glucosyltransferase	 uridine diphosphoglucose-indoleacetate glucosyltransferase	 UDPG-indol-3-ylacetyl glucosyl transferase	 UDP-glucose:indol-3-ylacetate glucosyltransferase	 indol-3-ylacetylglucose synthase	 UDP-glucose:indol-3-ylacetate glucosyl-transferase	 IAGlu synthase	 IAA-glucose synthase	 UDP-glucose:indole-3-acetate beta-D-glucosyltransferase U00005;;2.4.1.121;;;;irreversible;;0;250;;;indole-3-acetate beta-glucosyltransferase;;true
6;baicalein 7-O-glucuronosyltransferase	 UBGAT U00006;;2.4.1.253;;;;irreversible;;0;300;;;baicalein 7-O-glucuronosyltransferase;;true
7;chalcone 4'-O-glucosyltransferase	 4'CGT U00007;;2.4.1.286;;;;irreversible;;0;350;;;chalcone 4'-O-glucosyltransferase;;true
8;sterol 3beta-glucosyltransferase	 UDPG:sterol glucosyltransferase	 UDP-glucose-sterol beta-glucosyltransferase	 sterol:UDPG glucosyltransferase	 UDPG-SGTase	 uridine diphosphoglucose-poriferasterol glucosyltransferase	 uridine diphosphoglucose-sterol glucosyltransferase	 sterol glucosyltransferase	 sterol-beta-D-glucosyltransferase	 UDP-glucose-sterol glucosyltransferase U00008;;2.4.1.173;;;;irreversible;;0;400;;;sterol 3beta-glucosyltransferase;;true
9;4-hydroxybenzoate 4-O-beta-D-glucosyltransferase	 uridine diphosphoglucose-4-hydroxybenzoate glucosyltransferase	 UDP-glucose:4-(beta-D-glucopyranosyloxy)benzoic acid glucosyltransferase	 HBA glucosyltransferase	 p-hydroxybenzoate glucosyltransferase	 PHB glucosyltransferase	 PHB-O-glucosyltransferase U00009;;2.4.1.194;;;;irreversible;;0;450;;;4-hydroxybenzoate 4-O-beta-D-glucosyltransferase;;true
10;glucuronosyltransferase	 1-naphthol glucuronyltransferase	 1-naphthol-UDP-glucuronosyltransferase	 17beta-hydroxysteroid UDP-glucuronosyltransferase	 3alpha-hydroxysteroid UDP-glucuronosyltransferase	 4-hydroxybiphenyl UDP-glucuronosyltransferase	 4-methylumbelliferone UDP-glucuronosyltransferase	 4-nitrophenol UDP-glucuronyltransferase	 4-nitrophenol UDPGT	 17-OH steroid UDPGT	 3-OH androgenic UDPGT	 bilirubin uridine diphosphoglucuronyltransferase	 bilirubin UDP-glucuronosyltransferase	 bilirubin monoglucuronide glucuronyltransferase	 bilirubin UDPGT	 bilirubin glucuronyltransferase	 ciramadol UDP-glucuronyltransferase	 estriol UDP-glucuronosyltransferase	 estrone UDP-glucuronosyltransferase	 uridine diphosphoglucuronosyltransferase	 uridine diphosphoglucuronate-bilirubin glucuronoside glucuronosyltransferase	 uridine diphosphoglucuronate-bilirubin glucuronosyltransferase	 uridine diphosphoglucuronate-estriol glucuronosyltransferase	 uridine diphosphoglucuronate-estradiol glucuronosyltransferase	 uridine diphosphoglucuronate-4-hydroxybiphenyl glucuronosyltransferase	 uridine diphosphoglucuronate-1,2-diacylglycerol glucuronosyltransferase	 uridine diphosphoglucuronate-estriol 16alpha-glucuronosyltransferase	 GT	 morphine glucuronyltransferase	 p-hydroxybiphenyl UDP glucuronyltransferase	 p-nitrophenol UDP-glucuronosyltransferase	 p-nitrophenol UDP-glucuronyltransferase	 p-nitrophenylglucuronosyltransferase	 p-phenylphenol glucuronyltransferase	 phenyl-UDP-glucuronosyltransferase	 PNP-UDPGT	 UDP glucuronate-estradiol-glucuronosyltransferase	 UDP glucuronosyltransferase	 UDP glucuronate-estriol glucuronosyltransferase	 UDP glucuronic acid transferase	 UDP glucuronyltransferase	 UDP-glucuronate-4-hydroxybiphenyl glucuronosyltransferase	 UDP-glucuronate-bilirubin glucuronyltransferase	 UDP-glucuronosyltransferase	 UDP-glucuronyltransferase	 UDPGA transferase	 UDPGA-glucuronyltransferase	 UDPGT	 uridine diphosphoglucuronyltransferase	 uridine diphosphate glucuronyltransferase	 uridine 5'-diphosphoglucuronyltransferase	 UDP-glucuronate beta-D-glucuronosyltransferase (acceptor-unspecific) U00010;;2.4.1.17;;;;irreversible;;0;500;;;glucuronosyltransferase;;true
11;zeatin O-beta-D-xylosyltransferase	 uridine diphosphoxylose-zeatin xylosyltransferase	 zeatin O-xylosyltransferase U00011;;2.4.2.40;;;;irreversible;;0;550;;;zeatin O-beta-D-xylosyltransferase;;true
