gh	ec
CE1	3.1.1.72
CE1	3.1.1.*
CE1	3.1.1.73
CE1	3.1.1.1
CE1	3.1.2.12
CE1	2.3.1.20
CE1	2.3.1.122
CE2	3.1.1.72
CE3	3.1.1.72
CE4	3.1.1.72
CE4	3.5.1.41
CE4	3.5.1.*
CE4	3.5.1.*
CE4	3.5.1.*
CE5	3.1.1.72
CE5	3.1.1.74
CE6	3.1.1.72
CE7	3.1.1.72
CE7	3.1.1.41
CE8	3.1.1.11
CE9	3.5.1.25
CE9	3.5.1.80
CE10	3.1.1.*
CE10	3.1.1.3
CE10	3.1.1.7
CE10	3.1.1.8
CE10	3.1.1.13
CE10	3.1.1.*
CE11	3.5.1.108
CE12	3.1.1.*
CE12	3.1.1.*
CE12	3.1.1.72
CE13	3.1.1.*
CE14	3.5.1.89
CE14	3.5.1.*
CE14	3.5.1.*
CE15	3.1.1.*
CE16	3.1.1.6
CE17	3.1.1.*
CE18	3.5.1.*
