gh	ec
GH1	3.2.1.21
GH1	3.2.1.23
GH1	3.2.1.25
GH1	3.2.1.31
GH1	3.2.1.37
GH1	3.2.1.38
GH1	3.2.1.62
GH1	3.2.1.74
GH1	3.2.1.85
GH1	3.2.1.86
GH1	3.2.1.105
GH1	3.2.1.108
GH1	3.2.1.117
GH1	3.2.1.118
GH1	3.2.1.119
GH1	3.2.1.125
GH1	3.2.1.147
GH1	3.2.1.149
GH1	3.2.1.161
GH1	3.2.1.175
GH1	3.2.1.182
GH1	3.2.1.*
GH1	3.*.*.*
GH1	3.2.1.*
GH2	3.2.1.23
GH2	3.2.1.25
GH2	3.2.1.31
GH2	3.2.1.55
GH2	3.2.1.152
GH2	3.2.1.165
GH2	3.2.1.*
GH2	3.2.1.*
GH2	3.2.1.37
GH2	3.2.1.146
GH2	3.2.1.21
GH3	3.2.1.21
GH3	3.2.1.37
GH3	3.2.1.45
GH3	3.2.1.52
GH3	3.2.1.55
GH3	3.2.1.74
GH3	3.2.1.120
GH3	3.2.1.126
GH3	3.2.1.*
GH3	2.4.1.*
GH3	3.2.1.*
GH3	3.2.1.*
GH3	3.2.1.155
GH4	3.2.1.122
GH4	3.2.1.20
GH4	3.2.1.22
GH4	3.2.1.86
GH4	3.2.1.139
GH4	3.2.1.67
GH4	3.2.1.*
GH5	3.2.1.4
GH5	3.2.1.8
GH5	3.2.1.21
GH5	3.2.1.25
GH5	3.2.1.45
GH5	3.2.1.58
GH5	3.2.1.74
GH5	3.2.1.75
GH5	3.2.1.78
GH5	3.2.1.91
GH5	3.2.1.104
GH5	3.2.1.123
GH5	3.2.1.132
GH5	3.2.1.149
GH5	3.2.1.151
GH5	3.2.1.164
GH5	3.2.1.*
GH5	3.2.1.*
GH5	2.4.1.*
GH5	3.2.1.73
GH5	3.2.1.*
GH5	3.2.1.39
GH5	3.2.1.52
GH5	3.2.1.132
GH5	3.2.1.146
GH5	3.2.1.46
GH5	3.2.1.*
GH5	3.2.1.55
GH5	3.2.1.*
GH6	3.2.1.4
GH6	3.2.1.91
GH6	3.2.1.73
GH7	3.2.1.4
GH7	3.2.1.176
GH7	3.2.1.132
GH7	3.2.1.73
GH8	3.2.1.132
GH8	3.2.1.4
GH8	3.2.1.73
GH8	3.2.1.8
GH8	3.2.1.156
GH9	3.2.1.4
GH9	3.2.1.6
GH9	3.2.1.73
GH9	3.2.1.74
GH9	3.2.1.91
GH9	3.2.1.151
GH9	3.2.1.165
GH9	3.2.1.*
GH10	3.2.1.8
GH10	3.2.1.32
GH10	3.2.1.*
GH10	2.4.2.*
GH10	3.2.1.4
GH11	3.2.1.8
GH11	3.2.1.*
GH12	3.2.1.4
GH12	3.2.1.151
GH12	3.2.1.73
GH12	2.4.1.207
GH13	3.2.1.1
GH13	3.2.1.41
GH13	2.4.1.19
GH13	3.2.1.54
GH13	3.2.1.93
GH13	3.2.1.10
GH13	3.2.1.133
GH13	3.2.1.135
GH13	3.2.1.20
GH13	3.2.1.60
GH13	3.2.1.68
GH13	3.2.1.70
GH13	3.2.1.98
GH13	3.2.1.116
GH13	2.4.1.18
GH13	5.4.99.16
GH13	2.4.1.25
GH13	3.2.1.*
GH13	2.4.1.4
GH13	2.4.1.7
GH13	3.2.1.141
GH13	5.4.99.11
GH13	5.4.99.15
GH13	3.2.1.33
GH13	2.4.99.16
GH13	2.4.1.329
GH13	2.4.1.359
GH13	2.4.1.352
GH13	3.2.1.48
GH13	2.4.1.161
GH13	3.2.1.1
GH14	3.2.1.2
GH15	3.2.1.3
GH15	3.2.1.70
GH15	3.2.1.28
GH15	2.4.1.2
GH16	2.4.1.207
GH16	3.2.1.103
GH16	3.2.1.39
GH16	3.2.1.6
GH16	3.2.1.73
GH16	3.2.1.81
GH16	3.2.1.83
GH16	3.2.1.151
GH16	3.2.1.181
GH16	3.2.1.178
GH16	3.2.1.35
GH16	3.2.1.*
GH16	2.4.1.*
GH16	2.4.1.*
GH16	3.2.1.*
GH16	3.2.1.*
GH17	3.2.1.39
GH17	3.2.1.73
GH17	3.2.1.175
GH17	2.4.1.*
GH17	3.2.1.*
GH18	3.2.1.14
GH18	3.2.1.17
GH18	3.2.1.96
GH18	3.2.1.*
GH18	3.2.1.*
GH19	3.2.1.14
GH19	3.2.1.17
GH20	3.2.1.52
GH20	3.2.1.140
GH20	3.2.1.*
GH20	3.2.1.*
GH22	3.2.1.17
GH22	3.2.1.17
GH23	3.2.1.17
GH23	3.2.1.14
GH24	3.2.1.17
GH25	3.2.1.17
GH26	3.2.1.78
GH26	3.2.1.100
GH26	3.2.1.32
GH26	3.2.1.73
GH26	3.2.1.*
GH27	3.2.1.22
GH27	3.2.1.49
GH27	3.2.1.94
GH27	3.2.1.88
GH27	2.4.1.*
GH28	3.2.1.15
GH28	3.2.1.67
GH28	3.2.1.82
GH28	3.2.1.171
GH28	3.2.1.173
GH28	3.2.1.*
GH29	3.2.1.51
GH29	3.2.1.111
GH29	3.2.1.63
GH30	3.2.1.8
GH30	3.2.1.21
GH30	3.2.1.31
GH30	3.2.1.37
GH30	3.2.1.38
GH30	3.2.1.45
GH30	3.2.1.75
GH30	3.2.1.136
GH30	3.2.1.164
