gh	ec
GT1	2.4.1.17
GT1	2.4.2.40
GT1	2.4.1.45
GT1	2.4.1.47
GT1	2.4.1.91
GT1	2.4.1.115
GT1	2.4.1.120
GT1	2.4.1.121
GT1	2.4.1.159
GT1	2.4.1.173
GT1	2.4.1.194
GT1	2.4.1.203
GT1	2.4.1.210
GT1	2.4.1.253
GT1	2.4.1.286
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.177
GT1	2.4.1.*
GT1	2.4.1.*
GT1	2.4.1.*
GT2	2.4.1.12
GT2	2.4.1.16
GT2	2.4.1.83
GT2	2.4.1.117
GT2	2.4.1.*
GT2	2.4.1.*
GT2	2.4.1.212
GT2	2.4.1.*
GT2	2.4.1.34
GT2	2.4.1.*
GT2	2.4.1.199
GT2	2.4.1.287
GT2	2.4.1.288
GT2	2.4.1.289
GT2	2.4.1.*
GT3	2.4.1.11
GT4	2.4.1.13
GT4	2.4.1.14
GT4	2.4.1.52
GT4	2.4.1.56
GT4	2.4.1.57
GT4	2.4.1.132
GT4	2.4.1.131
GT4	2.4.1.141
GT4	2.4.1.157
GT4	2.4.1.208
GT4	2.4.1.231
GT4	2.4.1.245
GT4	2.4.1.257
GT4	2.4.1.283
GT4	2.4.1.285
GT4	2.4.1.*
GT4	2.4.2.*
GT4	2.4.1.*
GT4	2.4.1.*
GT4	2.4.1.306
GT4	2.4.1.290
GT4	2.4.1.342
GT5	2.4.1.11
GT5	2.4.1.21
GT5	2.4.1.242
GT5	2.4.1.183
GT5	2.4.1.*
GT6	2.4.1.87
GT6	2.4.1.40
GT6	2.4.1.37
GT6	2.4.1.88
GT7	2.4.1.22
GT7	2.4.1.38
GT7	2.4.1.90
GT7	2.4.1.133
GT7	2.4.1.275
GT7	2.4.1.*
GT7	2.4.1.175
GT7	2.4.1.174
GT7	2.4.1.226
GT7	2.4.1.*
GT7	2.4.1.*
GT8	2.4.1.44
GT8	2.4.1.*
GT8	2.4.1.58
GT8	2.4.1.186
GT8	2.4.1.123
GT8	2.4.1.43
GT8	2.4.1.*
GT8	2.4.1.*
GT9	2.4.1.56
GT9	2.4.*.*
GT10	2.4.1.65
GT10	2.4.1.152
GT10	2.4.1.214
GT11	2.4.1.69
GT11	2.4.1.*
GT12	2.4.1.92
GT13	2.4.1.101
GT14	2.4.1.102
GT14	2.4.1.150
GT14	2.4.2.26
GT14	2.4.1.*
GT15	2.4.1.131
GT15	2.4.1.*
GT16	2.4.1.143
GT17	2.4.1.144
GT18	2.4.1.155
GT19	2.4.1.182
GT20	2.4.1.15
GT20	2.4.1.213
GT20	3.1.3.12
GT20	2.*.*.*
GT21	2.4.1.80
GT22	2.4.1.259
GT22	2.4.1.261
GT22	2.4.1.*
GT22	2.4.1.*
GT23	2.4.1.68
GT23	2.4.1.*
GT24	2.4.1.*
GT25	2.4.1.*
GT25	2.4.1.*
GT25	2.4.1.*
GT25	2.4.1.*
GT25	2.4.1.*
GT25	2.4.2.*
GT25	2.4.1.50
GT26	2.4.1.*
GT26	2.4.1.*
GT26	2.4.1.*
GT26	2.4.1.*
GT27	2.4.1.41
GT28	2.4.1.46
GT28	2.4.1.157
GT28	2.4.1.227
GT28	2.4.1.241
GT29	2.4.99.*
GT29	2.4.99.1
GT29	2.4.99.3
GT29	2.4.99.4
GT29	2.4.99.6
GT29	2.4.99.7
GT29	2.4.99.8
GT29	2.4.99.9
GT30	2.4.99.*
GT31	2.4.1.149
GT31	2.4.1.122
GT31	2.4.1.*
GT31	2.4.1.79
GT31	2.4.1.175
GT31	2.4.1.226
GT31	2.4.1.*
GT31	2.4.1.134
GT31	2.4.1.222
GT32	2.4.1.*
GT32	2.4.1.*
GT32	2.4.1.*
GT32	2.4.1.*
GT32	2.4.1.*
GT32	2.4.1.*
GT32	2.4.1.*
GT33	2.4.1.142
GT34	2.4.1.*
GT34	2.4.2.39
GT34	2.4.1.*
GT35	2.4.1.1
GT37	2.4.1.69
GT38	2.4.*.*
GT39	2.4.1.109
GT40	2.4.1.*
GT41	2.4.1.255
GT41	2.4.1.*
GT41	2.4.1.221
GT42	2.4.99.*
GT43	2.4.1.135
GT43	2.4.2.*
GT44	2.4.1.*
GT44	2.4.1.*
GT45	2.4.1.*
GT47	2.4.1.225
GT47	2.4.1.*
GT47	2.4.1.*
GT47	2.4.2.*
GT48	2.4.1.34
GT49	2.4.1.*
GT50	2.4.1.*
GT51	2.4.1.129
GT52	2.4.99.4
GT52	2.4.1.*
GT53	2.4.2.*
GT53	2.4.2.*
GT53	2.4.2.*
GT54	2.4.1.145
GT55	2.4.1.217
GT56	2.4.1.*
GT57	2.4.1.*
GT58	2.4.1.258
GT59	2.4.1.256
GT60	2.4.1.*
GT60	2.4.1.*
GT61	2.4.2.38
GT61	2.4.1.94
GT61	2.4.2.*
GT61	2.4.1.255
GT61	2.4.1.312
GT62	2.4.1.*
GT62	2.4.1.*
GT63	2.4.1.27
GT64	2.4.1.224
GT65	2.4.1.*
GT66	2.4.99.18
GT66	2.4.99.19
GT67	2.4.1.*
GT67	2.4.1.*
GT68	2.4.1.*
GT69	2.4.1.*
GT70	2.4.1.17
GT71	2.4.1.*
GT72	2.4.1.26
GT73	2.4.99.*
GT74	2.4.1.69
GT75	2.4.1.*
GT75	5.4.99.*
GT76	2.4.1.*
GT77	2.4.2.39
GT77	2.4.1.37
GT77	2.4.2.*
GT78	2.4.1.*
GT79	2.4.2.*
GT80	2.4.99.1
GT80	2.4.99.4
GT81	2.4.1.266
GT81	2.4.1.217
GT81	2.4.1.*
GT81	2.4.1.217
GT82	2.4.1.*
GT83	2.4.2.43
GT83	2.4.1.*
GT84	2.4.1.*
GT85	2.4.2.*
GT87	2.4.1.*
GT88	2.4.1.*
GT89	2.4.2.*
GT90	2.4.2.*
GT90	2.4.1.*
GT90	2.4.2.*
GT91	2.4.1.*
GT92	2.4.1.*
GT92	2.4.1.*
GT93	2.4.1.*
GT94	2.4.1.251
GT95	2.4.2.*
GT96	2.4.1.*
GT97	2.4.99.*
GT97	2.4.99.*
GT98	2.4.1.*
