stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K01938,K13402;6.3.4.3;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;350;150;325;Formate:tetrahydrofolate ligase (ADP-forming) R00943;ATP C00002;false
0;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K01938,K13402;6.3.4.3;1;Tetrahydrofolate	 5,6,7,8-Tetrahydrofolate	 Tetrahydrofolic acid	 THF	 (6S)-Tetrahydrofolate	 (6S)-Tetrahydrofolic acid	 (6S)-THFA C00101;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;350;450;300;Formate:tetrahydrofolate ligase (ADP-forming) R00943;Tetrahydrofolate C00101;true
0;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K01938,K13402;6.3.4.3;1;Formate	 Methanoic acid	 Formic acid C00058;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;350;300;300;Formate:tetrahydrofolate ligase (ADP-forming) R00943;Formate C00058;true
0;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K01938,K13402;6.3.4.3;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;350;450;375;Formate:tetrahydrofolate ligase (ADP-forming) R00943;ADP C00008;false
0;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K01938,K13402;6.3.4.3;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;350;150;375;Formate:tetrahydrofolate ligase (ADP-forming) R00943;Phosphate C00009;false
0;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K01938,K13402;6.3.4.3;1;10-Formyltetrahydrofolate	 10-Formyl-THF C00234;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;350;300;400;Formate:tetrahydrofolate ligase (ADP-forming) R00943;10-Formyltetrahydrofolate C00234;true
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;0__H+	 Hydron C00080;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;450;150;425;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;H+ C00080;false
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;10-Formyltetrahydrofolate	 10-Formyl-THF C00234;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;450;300;400;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;10-Formyltetrahydrofolate C00234;true
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;0__H2O	 Water C00001;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;450;150;475;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;H2O C00001;false
1;5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)	 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+ R01655;K00288,K01491,K01500,K13403;3.5.4.9;1;5,10-Methenyltetrahydrofolate C00445;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;450;300;500;5,10-Methenyltetrahydrofolate 5-hydrolase R01655;5,10-Methenyltetrahydrofolate C00445;true
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;550;0;600;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;NADPH C00005;false
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;5,10-Methenyltetrahydrofolate C00445;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;550;300;500;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;5,10-Methenyltetrahydrofolate C00445;true
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;550;150;600;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;NADP+ C00006;false
2;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase	 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH R01220;K00288,K01491,K00300;1.5.1.5;1;5,10-Methylenetetrahydrofolate	 (6R)-5,10-Methylenetetrahydrofolate	 5,10-Methylene-THF C00143;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;300;550;300;600;5,10-methylenetetrahydrofolate:NADP+ oxidoreductase R01220;5,10-Methylenetetrahydrofolate C00143;true
3;carbon-monoxide,water:ferredoxin oxidoreductase	 CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+ R07157;K00198,K00195,K00196,K00192;1.2.7.4;2;Reduced ferredoxin	 Reduced ferredoxin [iron-sulfur] cluster C00138;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;100;750;50;carbon-monoxide-oxidoreductase R07157;Reduced ferredoxin C00138;false
3;carbon-monoxide,water:ferredoxin oxidoreductase	 CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+ R07157;K00198,K00195,K00196,K00192;1.2.7.4;2;3__H+	 Hydron C00080;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;100;450;50;carbon-monoxide-oxidoreductase R07157;H+ C00080;false
3;carbon-monoxide,water:ferredoxin oxidoreductase	 CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+ R07157;K00198,K00195,K00196,K00192;1.2.7.4;1;CO2	 Carbon dioxide C00011;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;100;600;50;carbon-monoxide-oxidoreductase R07157;CO2 C00011;true
3;carbon-monoxide,water:ferredoxin oxidoreductase	 CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+ R07157;K00198,K00195,K00196,K00192;1.2.7.4;1;1__H2O	 Water C00001;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;100;750;125;carbon-monoxide-oxidoreductase R07157;H2O C00001;false
3;carbon-monoxide,water:ferredoxin oxidoreductase	 CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+ R07157;K00198,K00195,K00196,K00192;1.2.7.4;2;Oxidized ferredoxin	 Oxidized ferredoxin [iron-sulfur] cluster C00139;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;100;450;125;carbon-monoxide-oxidoreductase R07157;Oxidized ferredoxin C00139;false
3;carbon-monoxide,water:ferredoxin oxidoreductase	 CO + H2O + 2 Oxidized ferredoxin <=> CO2 + 2 Reduced ferredoxin + 2 H+ R07157;K00198,K00195,K00196,K00192;1.2.7.4;1;CO	 Carbon monoxide C00237;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;100;600;150;carbon-monoxide-oxidoreductase R07157;CO C00237;true
4;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00197,K15023,K00194,K14138;2.1.1.258,2.3.1.169;1;CoA	 Coenzyme A	 CoA-SH C00010;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;200;750;175;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;Coenzyme A C00010;false
4;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00197,K15023,K00194,K14138;2.1.1.258,2.3.1.169;1;CO	 Carbon monoxide C00237;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;200;600;150;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;CO C00237;true
4;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00197,K15023,K00194,K14138;2.1.1.258,2.3.1.169;1;5-Methyltetrahydrofolate C00440;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;200;600;650;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;5-Methyltetrahydrofolate C00440;true
4;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00197,K15023,K00194,K14138;2.1.1.258,2.3.1.169;1;Tetrahydrofolate	 5,6,7,8-Tetrahydrofolate	 Tetrahydrofolic acid	 THF	 (6S)-Tetrahydrofolate	 (6S)-Tetrahydrofolic acid	 (6S)-THFA C00101;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;200;450;300;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;Tetrahydrofolate C00101;true
4;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;K00197,K15023,K00194,K14138;2.1.1.258,2.3.1.169;1;Acetyl-CoA	 Acetyl coenzyme A C00024;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;600;200;750;225;Tetrahydrofolate + Acetyl-CoA <=> 5-Methyltetrahydrofolate + CoA + CO R10243;Acetyl-CoA C00024;true
