bigg_id	universal_bigg_id	name
12dgr120_c	12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)
12dgr140_c	12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)
12dgr180_c	12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)
14glucan_c	14glucan	1,4-alpha-D-glucan
15dap_c	15dap	1,5-Diaminopentane
23ddhb_c	23ddhb	2,3-Dihydro-2,3-dihydroxybenzoate
23dhba_c	23dhba	(2,3-Dihydroxybenzoyl)adenylate
23dhbzs_c	23dhbzs	2,3-dihydroxybenzoylserine
26dap_LL_c	26dap_LL	LL-2,6-Diaminoheptanedioate
2agpe141_c	2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)
2agpe160_c	2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)
2agpg120_c	2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)
2agpg140_c	2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
2aobut_c	2aobut	L-2-Amino-3-oxobutanoate
2dh3dgal6p_c	2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate 6-phosphate
2dhp_c	2dhp	2-Dehydropantoate
2dmmql8_c	2dmmql8	2-Demethylmenaquinol 8
2h3oppan_c	2h3oppan	2-Hydroxy-3-oxopropanoate
2hdecg3p_c	2hdecg3p	2-hexadecanoyl-sn-glycerol 3-phosphate
2odecg3p_c	2odecg3p	2-octadecanoyl-sn-glycerol 3-phosphate
2ohph_c	2ohph	2-Octaprenyl-6-hydroxyphenol
2ombzl_c	2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol
2omph_c	2omph	2-Octaprenyl-6-methoxyphenol
2oph_c	2oph	2-Octaprenylphenol
2pglyc_c	2pglyc	2-Phosphoglycolate
35cgmp_c	35cgmp	3',5'-Cyclic GMP
3c2hmp_c	3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate
3c3hmp_c	3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate
3c4mop_c	3c4mop	3-Carboxy-4-methyl-2-oxopentanoate
3dhq_c	3dhq	3-Dehydroquinate
3haACP_c	3haACP	(3R)-3-Hydroxyacyl-[acyl-carrier protein]
3hadpcoa_c	3hadpcoa	(3S)-3-Hydroxyadipyl-CoA
3hcddec5eACP_c	3hcddec5eACP	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein]
3hcmrs7eACP_c	3hcmrs7eACP	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]
3hdcoa_c	3hdcoa	(S)-3-Hydroxydecanoyl-CoA
3hdecACP_c	3hdecACP	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]
3hhdcoa_c	3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA
3hocoa_c	3hocoa	(S)-3-Hydroxyoctanoyl-CoA
3hoctaACP_c	3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]
3hpppn_c	3hpppn	3-(3-hydroxy-phenyl)propionate
3mop_c	3mop	(S)-3-Methyl-2-oxopentanoate
3ocddec5eACP_c	3ocddec5eACP	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]
3odcoa_c	3odcoa	3-Oxodecanoyl-CoA
3ohcoa_c	3ohcoa	3-Oxohexanoyl-CoA
3opalmACP_c	3opalmACP	3-Oxohexadecanoyl-[acyl-carrier protein]
3pg_c	3pg	3-Phospho-D-glycerate
4h2opntn_c	4h2opntn	4-Hydroxy-2-oxopentanoate
5aizc_c	5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate
5aop_c	5aop	5-Amino-4-oxopentanoate
5mta_c	5mta	5-Methylthioadenosine
5mtr_c	5mtr	5-Methylthio-D-ribose
6pgc_c	6pgc	6-Phospho-D-gluconate
acald_c	acald	Acetaldehyde
acetol_c	acetol	Acetol cytosol
acglu_c	acglu	N-Acetyl-L-glutamate
acorn_c	acorn	N2-Acetyl-L-ornithine
acser_c	acser	O-Acetyl-L-serine
actp_c	actp	Acetyl phosphate
adp_c	adp	ADP C10H12N5O10P2
adprib_c	adprib	ADPribose C15H21N5O14P2
ag_c	ag	Silver
ahdt_c	ahdt	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate
akg_c	akg	2-Oxoglutarate
ala_B_c	ala_B	Beta-Alanine
