bigg_reaction_id	stoichiometry	product_bigg_id
DM_4crsol_c	nan	sink/source
DM_aacald_c	nan	sink/source
DM_amob_c	nan	sink/source
BIOMASS_Ec_iJO1366_core_53p95M	53.95	adp_c
BIOMASS_Ec_iJO1366_core_53p95M	53.95	h_c
BIOMASS_Ec_iJO1366_core_53p95M	53.945662	pi_c
BIOMASS_Ec_iJO1366_core_53p95M	0.773903	ppi_c
EX_12ppd__S_e	nan	sink/source
EX_15dap_e	nan	sink/source
EX_23dappa_e	nan	sink/source
EX_26dap__M_e	nan	sink/source
EX_34dhpac_e	nan	sink/source
EX_3amp_e	nan	sink/source
EX_3gmp_e	nan	sink/source
EX_3hcinnm_e	nan	sink/source
EX_3hpp_e	nan	sink/source
EX_3ump_e	nan	sink/source
EX_5dglcn_e	nan	sink/source
EX_LalaDglu_e	nan	sink/source
EX_LalaDgluMdap_e	nan	sink/source
EX_acgal_e	nan	sink/source
EX_acgal1p_e	nan	sink/source
EX_acgam_e	nan	sink/source
EX_acmana_e	nan	sink/source
EX_ade_e	nan	sink/source
EX_adn_e	nan	sink/source
EX_ag_e	nan	sink/source
EX_agm_e	nan	sink/source
EX_ala_B_e	nan	sink/source
EX_alaala_e	nan	sink/source
EX_all__D_e	nan	sink/source
EX_amp_e	nan	sink/source
EX_anhgm_e	nan	sink/source
EX_arab__L_e	nan	sink/source
EX_arbt_e	nan	sink/source
EX_arbtn_e	nan	sink/source
EX_arbtn_fe3_e	nan	sink/source
EX_ascb__L_e	nan	sink/source
EX_asn__L_e	nan	sink/source
EX_aso3_e	nan	sink/source
EX_asp__L_e	nan	sink/source
EX_btn_e	nan	sink/source
EX_ca2_e	nan	sink/source
EX_chtbs_e	nan	sink/source
EX_cl_e	nan	sink/source
EX_cmp_e	nan	sink/source
EX_co2_e	nan	sink/source
EX_colipa_e	nan	sink/source
EX_cpgn_e	nan	sink/source
EX_cpgn_un_e	nan	sink/source
EX_crn__D_e	nan	sink/source
EX_cu_e	nan	sink/source
EX_cu2_e	nan	sink/source
EX_cyan_e	nan	sink/source
EX_cys__D_e	nan	sink/source
EX_cys__L_e	nan	sink/source
EX_cytd_e	nan	sink/source
EX_dad_2_e	nan	sink/source
EX_damp_e	nan	sink/source
EX_ddca_e	nan	sink/source
EX_dgsn_e	nan	sink/source
EX_dha_e	nan	sink/source
EX_din_e	nan	sink/source
EX_dmso_e	nan	sink/source
EX_doxrbcn_e	nan	sink/source
EX_dump_e	nan	sink/source
EX_enlipa_e	nan	sink/source
EX_enter_e	nan	sink/source
EX_ethso3_e	nan	sink/source
EX_fald_e	nan	sink/source
EX_fe2_e	nan	sink/source
EX_fe3_e	nan	sink/source
EX_fe3dcit_e	nan	sink/source
EX_fe3hox_e	nan	sink/source
EX_fecrm_e	nan	sink/source
EX_fecrm_un_e	nan	sink/source
EX_feenter_e	nan	sink/source
EX_frulys_e	nan	sink/source
EX_g3pc_e	nan	sink/source
EX_g3ps_e	nan	sink/source
EX_g6p_e	nan	sink/source
EX_gal_e	nan	sink/source
EX_gal_bD_e	nan	sink/source
EX_gal1p_e	nan	sink/source
EX_galct__D_e	nan	sink/source
EX_galctn__L_e	nan	sink/source
EX_gam_e	nan	sink/source
EX_gam6p_e	nan	sink/source
EX_gbbtn_e	nan	sink/source
EX_gdp_e	nan	sink/source
EX_glcr_e	nan	sink/source
EX_glyald_e	nan	sink/source
EX_glyc__R_e	nan	sink/source
EX_glyc3p_e	nan	sink/source
EX_gmp_e	nan	sink/source
EX_gsn_e	nan	sink/source
EX_gthox_e	nan	sink/source
EX_gua_e	nan	sink/source
EX_h2_e	nan	sink/source
EX_h2o2_e	nan	sink/source
EX_hacolipa_e	nan	sink/source
EX_halipa_e	nan	sink/source
EX_hdca_e	nan	sink/source
EX_idon__L_e	nan	sink/source
EX_indole_e	nan	sink/source
EX_inost_e	nan	sink/source
EX_ins_e	nan	sink/source
EX_isetac_e	nan	sink/source
EX_k_e	nan	sink/source
EX_lac__L_e	nan	sink/source
EX_lipoate_e	nan	sink/source
EX_lyx__L_e	nan	sink/source
EX_malthx_e	nan	sink/source
EX_malttr_e	nan	sink/source
EX_maltttr_e	nan	sink/source
EX_melib_e	nan	sink/source
EX_met__L_e	nan	sink/source
EX_metsox_S__L_e	nan	sink/source
EX_mnl_e	nan	sink/source
EX_mso3_e	nan	sink/source
EX_n2o_e	nan	sink/source
EX_na1_e	nan	sink/source
EX_nac_e	nan	sink/source
EX_no_e	nan	sink/source
EX_no2_e	nan	sink/source
EX_no3_e	nan	sink/source
EX_o16a4colipa_e	nan	sink/source
EX_ocdcea_e	nan	sink/source
EX_orot_e	nan	sink/source
EX_pacald_e	nan	sink/source
EX_pheme_e	nan	sink/source
EX_pnto__R_e	nan	sink/source
EX_ppa_e	nan	sink/source
EX_ppal_e	nan	sink/source
EX_pppn_e	nan	sink/source
EX_progly_e	nan	sink/source
EX_pser__L_e	nan	sink/source
EX_ptrc_e	nan	sink/source
EX_pydam_e	nan	sink/source
EX_pydx_e	nan	sink/source
EX_pyr_e	nan	sink/source
EX_rmn_e	nan	sink/source
EX_sbt__D_e	nan	sink/source
EX_sel_e	nan	sink/source
EX_ser__D_e	nan	sink/source
EX_skm_e	nan	sink/source
EX_so3_e	nan	sink/source
EX_so4_e	nan	sink/source
EX_spmd_e	nan	sink/source
EX_sulfac_e	nan	sink/source
EX_taur_e	nan	sink/source
EX_thm_e	nan	sink/source
EX_thr__L_e	nan	sink/source
EX_tmao_e	nan	sink/source
EX_ttdca_e	nan	sink/source
