bigg_reaction_id	stoichiometry	substrate_bigg_id
DM_4crsol_c	1	4crsol_c
DM_aacald_c	1	aacald_c
DM_amob_c	1	amob_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000223	10fthf_c
BIOMASS_Ec_iJO1366_core_53p95M	2.6e-05	2fe2s_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000223	2ohph_c
BIOMASS_Ec_iJO1366_core_53p95M	0.00026	4fe4s_c
BIOMASS_Ec_iJO1366_core_53p95M	0.513689	ala__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000223	amet_c
BIOMASS_Ec_iJO1366_core_53p95M	0.295792	arg__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.241055	asn__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.241055	asp__L_c
BIOMASS_Ec_iJO1366_core_53p95M	54.124831	atp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000122	bmocogdp_c
BIOMASS_Ec_iJO1366_core_53p95M	2e-06	btn_c
BIOMASS_Ec_iJO1366_core_53p95M	0.005205	ca2_c
BIOMASS_Ec_iJO1366_core_53p95M	0.005205	cl_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000576	coa_c
BIOMASS_Ec_iJO1366_core_53p95M	2.5e-05	cobalt2_c
BIOMASS_Ec_iJO1366_core_53p95M	0.133508	ctp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000709	cu2_c
BIOMASS_Ec_iJO1366_core_53p95M	0.09158	cys__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.026166	datp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.027017	dctp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.027017	dgtp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.026166	dttp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000223	fad_c
BIOMASS_Ec_iJO1366_core_53p95M	0.006715	fe2_c
BIOMASS_Ec_iJO1366_core_53p95M	0.007808	fe3_c
BIOMASS_Ec_iJO1366_core_53p95M	0.26316	gln__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.26316	glu__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.612638	gly_c
BIOMASS_Ec_iJO1366_core_53p95M	0.215096	gtp_c
BIOMASS_Ec_iJO1366_core_53p95M	48.601527	h2o_c
BIOMASS_Ec_iJO1366_core_53p95M	0.094738	his__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.290529	ile__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.195193	k_c
BIOMASS_Ec_iJO1366_core_53p95M	0.450531	leu__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.343161	lys__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.153686	met__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.008675	mg2_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000223	mlthf_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000691	mn2_c
BIOMASS_Ec_iJO1366_core_53p95M	7e-06	mobd_c
BIOMASS_Ec_iJO1366_core_53p95M	0.001831	nad_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000447	nadp_c
BIOMASS_Ec_iJO1366_core_53p95M	0.013013	nh4_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000323	ni2_c
BIOMASS_Ec_iJO1366_core_53p95M	0.017868	pe160_c
BIOMASS_Ec_iJO1366_core_53p95M	0.054154	pe161_c
BIOMASS_Ec_iJO1366_core_53p95M	0.185265	phe__L_c
BIOMASS_Ec_iJO1366_core_53p95M	0.000223	pheme_c
