bigg_reaction_id	bigg_reaction_name	bigg_reaction_string
DM_4crsol_c	Sink needed to allow p-Cresol to leave system	4crsol_c <-> 
DM_aacald_c	Sink needed to allow aminoacetaldehyde to leave system	aacald_c <-> 
DM_amob_c	Sink needed to allow S-Adenosyl-4-methylthio-2-oxobutanoate to leave system	amob_c <-> 
BIOMASS_Ec_iJO1366_core_53p95M	E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate	0.000223 10fthf_c + 2.6e-05 2fe2s_c + 0.000223 2ohph_c + 0.00026 4fe4s_c + 0.513689 ala__L_c + 0.000223 amet_c + 0.295792 arg__L_c + 0.241055 asn__L_c + 0.241055 asp__L_c + 54.124831 atp_c + 0.000122 bmocogdp_c + 2e-06 btn_c + 0.005205 ca2_c + 0.005205 cl_c + 0.000576 coa_c + 2.5e-05 cobalt2_c + 0.133508 ctp_c + 0.000709 cu2_c + 0.09158 cys__L_c + 0.026166 datp_c + 0.027017 dctp_c + 0.027017 dgtp_c + 0.026166 dttp_c + 0.000223 fad_c + 0.006715 fe2_c + 0.007808 fe3_c + 0.26316 gln__L_c + 0.26316 glu__L_c + 0.612638 gly_c + 0.215096 gtp_c + 48.601527 h2o_c + 0.094738 his__L_c + 0.290529 ile__L_c + 0.195193 k_c + 0.450531 leu__L_c + 0.343161 lys__L_c + 0.153686 met__L_c + 0.008675 mg2_c + 0.000223 mlthf_c + 0.000691 mn2_c + 7e-06 mobd_c + 0.001831 nad_c + 0.000447 nadp_c + 0.013013 nh4_c + 0.000323 ni2_c + 0.017868 pe160_c + 0.054154 pe161_c + 0.185265 phe__L_c + 0.000223 pheme_c + 0.221055 pro__L_c + 0.000223 pydx5p_c + 0.000223 ribflv_c + 0.215792 ser__L_c + 0.000223 sheme_c + 0.004338 so4_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.253687 thr__L_c + 0.056843 trp__L_c + 0.137896 tyr__L_c + 5.5e-05 udcpdp_c + 0.144104 utp_c + 0.423162 val__L_c + 0.000341 zn2_c + 0.019456 kdo2lipid4_e + 0.013894 murein5px4p_p + 0.045946 pe160_p + 0.02106 pe161_p <-> 53.95 adp_c + 53.95 h_c + 53.945662 pi_c + 0.773903 ppi_c
EX_12ppd__S_e	(S)-Propane-1,2-diol exchange	12ppd__S_e <-> 
EX_15dap_e	1,5-Diaminopentane exchange	15dap_e <-> 
EX_23dappa_e	2,3-diaminopropionate exchange	23dappa_e <-> 
EX_26dap__M_e	Meso-2,6-Diaminoheptanedioate exchange	26dap__M_e <-> 
EX_34dhpac_e	3,4-Dihydroxyphenylacetaldehyde exchange	34dhpac_e <-> 
EX_3amp_e	3'-AMP exchange	3amp_e <-> 
EX_3gmp_e	3'-GMP exchange	3gmp_e <-> 
EX_3hcinnm_e	3-hydroxycinnamic acid exchange	3hcinnm_e <-> 
EX_3hpp_e	3-Hydroxypropanoate exchange	3hpp_e <-> 
EX_3ump_e	3'-UMP exchange	3ump_e <-> 
EX_5dglcn_e	5-Dehydro-D-gluconate exchange	5dglcn_e <-> 
EX_LalaDglu_e	L-alanine-D-glutamate exchange	LalaDglu_e <-> 
EX_LalaDgluMdap_e	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange	LalaDgluMdap_e <-> 
EX_acgal_e	N-Acetyl-D-galactosamine exchange	acgal_e <-> 
EX_acgal1p_e	N-Acetyl-D-galactosamine 1-phosphate exchange	acgal1p_e <-> 
EX_acgam_e	N-Acetyl-D-glucosamine exchange	acgam_e <-> 
EX_acmana_e	N-Acetyl-D-mannosamine exchange	acmana_e <-> 
EX_ade_e	Adenine exchange	ade_e <-> 
EX_adn_e	Adenosine exchange	adn_e <-> 
EX_ag_e	Silver exchange	ag_e <-> 
EX_agm_e	Agmatine exchange	agm_e <-> 
EX_ala_B_e	Beta-Alanine exchange	ala_B_e <-> 
EX_alaala_e	D-Alanyl-D-alanine exchange	alaala_e <-> 
EX_all__D_e	D-Allose exchange	all__D_e <-> 
EX_amp_e	AMP exchange	amp_e <-> 
EX_anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange	anhgm_e <-> 
EX_arab__L_e	L-Arabinose exchange	arab__L_e <-> 
EX_arbt_e	Arbutin exchange	arbt_e <-> 
EX_arbtn_e	Aerobactin minus Fe3 exchange	arbtn_e <-> 
EX_arbtn_fe3_e	Aerobactin exchange	arbtn_fe3_e <-> 
EX_ascb__L_e	L-Ascorbate exchange	ascb__L_e <-> 
EX_asn__L_e	L-Asparagine exchange	asn__L_e <-> 
EX_aso3_e	Arsenite exchange	aso3_e <-> 
EX_asp__L_e	L-Aspartate exchange	asp__L_e <-> 
EX_btn_e	Biotin exchange	btn_e <-> 
EX_ca2_e	Calcium exchange	ca2_e <-> 
EX_chtbs_e	Chitobiose exchange	chtbs_e <-> 
EX_cl_e	Chloride exchange	cl_e <-> 
EX_cmp_e	CMP exchange	cmp_e <-> 
EX_co2_e	CO2 exchange	co2_e <-> 
EX_colipa_e	Core oligosaccharide lipid A exchange	colipa_e <-> 
EX_cpgn_e	Coprogen exchange	cpgn_e <-> 
EX_cpgn_un_e	Coprogen unloaded (no Fe(III)) exchange	cpgn_un_e <-> 
EX_crn__D_e	D-carnitine exchange	crn__D_e <-> 
EX_cu_e	Cu+ exchange	cu_e <-> 
EX_cu2_e	Cu2+ exchange	cu2_e <-> 
EX_cyan_e	Hydrogen cyanide exchange	cyan_e <-> 
EX_cys__D_e	D-Cysteine exchange	cys__D_e <-> 
EX_cys__L_e	L-Cysteine exchange	cys__L_e <-> 
EX_cytd_e	Cytidine exchange	cytd_e <-> 
EX_dad_2_e	Deoxyadenosine exchange	dad_2_e <-> 
EX_damp_e	DAMP exchange	damp_e <-> 
EX_ddca_e	Dodecanoate (n-C12:0) exchange	ddca_e <-> 
EX_dgsn_e	Deoxyguanosine exchange	dgsn_e <-> 
EX_dha_e	Dihydroxyacetone exchange	dha_e <-> 
EX_din_e	Deoxyinosine exchange	din_e <-> 
EX_dmso_e	Dimethyl sulfoxide exchange	dmso_e <-> 
EX_doxrbcn_e	Doxorubicin exchange	doxrbcn_e <-> 
EX_dump_e	DUMP exchange	dump_e <-> 
EX_enlipa_e	Phosphoethanolamine KDO(2)-lipid (A) exchange	enlipa_e <-> 
EX_enter_e	Enterochelin exchange	enter_e <-> 
EX_ethso3_e	Ethanesulfonate exchange	ethso3_e <-> 
EX_fald_e	Formaldehyde exchange	fald_e <-> 
EX_fe2_e	Fe2+ exchange	fe2_e <-> 
EX_fe3_e	Fe3+ exchange	fe3_e <-> 
EX_fe3dcit_e	Fe(III)dicitrate exchange	fe3dcit_e <-> 
EX_fe3hox_e	Fe(III)hydroxamate exchange	fe3hox_e <-> 
EX_fecrm_e	Ferrichrome exchange	fecrm_e <-> 
EX_fecrm_un_e	Ferrichrome minus Fe(III) exchange	fecrm_un_e <-> 
EX_feenter_e	Fe-enterobactin exchange	feenter_e <-> 
EX_frulys_e	Fructoselysine exchange	frulys_e <-> 
EX_g3pc_e	Sn-Glycero-3-phosphocholine exchange	g3pc_e <-> 
EX_g3ps_e	Glycerophosphoserine exchange	g3ps_e <-> 
EX_g6p_e	D-Glucose 6-phosphate exchange	g6p_e <-> 
EX_gal_e	D-Galactose exchange	gal_e <-> 
EX_gal_bD_e	Beta D-Galactose exchange	gal_bD_e <-> 
EX_gal1p_e	Alpha-D-Galactose 1-phosphate exchange	gal1p_e <-> 
EX_galct__D_e	D-Galactarate exchange	galct__D_e <-> 
EX_galctn__L_e	L-Galactonate exchange	galctn__L_e <-> 
EX_gam_e	D-Glucosamine exchange	gam_e <-> 
EX_gam6p_e	D-Glucosamine 6-phosphate exchange	gam6p_e <-> 
EX_gbbtn_e	Gamma-butyrobetaine exchange	gbbtn_e <-> 
EX_gdp_e	GDP exchange	gdp_e <-> 
EX_glcr_e	D-Glucarate exchange	glcr_e <-> 
EX_glyald_e	D-Glyceraldehyde exchange	glyald_e <-> 
EX_glyc__R_e	(R)-Glycerate exchange	glyc__R_e <-> 
EX_glyc3p_e	Glycerol 3-phosphate exchange	glyc3p_e <-> 
EX_gmp_e	GMP exchange	gmp_e <-> 
EX_gsn_e	Guanosine exchange	gsn_e <-> 
EX_gthox_e	Oxidized glutathione exchange	gthox_e <-> 
EX_gua_e	Guanine exchange	gua_e <-> 
EX_h2_e	H2 exchange	h2_e <-> 
EX_h2o2_e	Hydrogen peroxide exchange	h2o2_e <-> 
EX_hacolipa_e	Hepta-acylated core oligosaccharide lipid A (E. coli) exchange	hacolipa_e <-> 
EX_halipa_e	Hepta-acylated KDO(2)-lipid (A) exchange	halipa_e <-> 
EX_hdca_e	Hexadecanoate (n-C16:0) exchange	hdca_e <-> 
EX_idon__L_e	L-Idonate exchange	idon__L_e <-> 
EX_indole_e	Indole exchange	indole_e <-> 
EX_inost_e	Myo-Inositol exchange	inost_e <-> 
EX_ins_e	Inosine exchange	ins_e <-> 
EX_isetac_e	Isethionic acid exchange	isetac_e <-> 
EX_k_e	K+ exchange	k_e <-> 
EX_lac__L_e	L-Lactate exchange	lac__L_e <-> 
EX_lipoate_e	Lipoate exchange	lipoate_e <-> 
EX_lyx__L_e	L-Lyxose exchange	lyx__L_e <-> 
EX_malthx_e	Maltohexaose exchange	malthx_e <-> 
EX_malttr_e	Maltotriose exchange	malttr_e <-> 
EX_maltttr_e	Maltotetraose exchange	maltttr_e <-> 
EX_melib_e	Melibiose exchange	melib_e <-> 
EX_met__L_e	L-Methionine exchange	met__L_e <-> 
EX_metsox_S__L_e	L-Methionine S-oxide exchange	metsox_S__L_e <-> 
EX_mnl_e	D-Mannitol exchange	mnl_e <-> 
EX_mso3_e	Methanesulfonate exchange	mso3_e <-> 
EX_n2o_e	Nitrous oxide exchange	n2o_e <-> 
EX_na1_e	Sodium exchange	na1_e <-> 
EX_nac_e	Nicotinate exchange	nac_e <-> 
EX_no_e	Nitric oxide exchange	no_e <-> 
EX_no2_e	Nitrite exchange	no2_e <-> 
EX_no3_e	Nitrate exchange	no3_e <-> 
EX_o16a4colipa_e	(O16 antigen)x4 core oligosaccharide lipid A exchange	o16a4colipa_e <-> 
EX_ocdcea_e	Octadecenoate (n-C18:1) exchange	ocdcea_e <-> 
EX_orot_e	Orotate exchange	orot_e <-> 
EX_pacald_e	Phenylacetaldehyde exchange	pacald_e <-> 
EX_pheme_e	Protoheme exchange	pheme_e <-> 
EX_pnto__R_e	(R)-Pantothenate exchange	pnto__R_e <-> 
EX_ppa_e	Propionate exchange	ppa_e <-> 
EX_ppal_e	Propanal exchange	ppal_e <-> 
EX_pppn_e	Phenylpropanoate exchange	pppn_e <-> 
EX_progly_e	L-Prolinylglycine exchange	progly_e <-> 
EX_pser__L_e	O-Phospho-L-serine exchange	pser__L_e <-> 
EX_ptrc_e	Putrescine exchange	ptrc_e <-> 
EX_pydam_e	Pyridoxamine exchange	pydam_e <-> 
EX_pydx_e	Pyridoxal exchange	pydx_e <-> 
EX_pyr_e	Pyruvate exchange	pyr_e <-> 
EX_rmn_e	L-Rhamnose exchange	rmn_e <-> 
EX_sbt__D_e	D-Sorbitol exchange	sbt__D_e <-> 
EX_sel_e	Selenate exchange	sel_e <-> 
EX_ser__D_e	D-Serine exchange	ser__D_e <-> 
EX_skm_e	Shikimate exchange	skm_e <-> 
EX_so3_e	Sulfite exchange	so3_e <-> 
EX_so4_e	Sulfate exchange	so4_e <-> 
EX_spmd_e	Spermidine exchange	spmd_e <-> 
EX_sulfac_e	Sulfoacetate exchange	sulfac_e <-> 
EX_taur_e	Taurine exchange	taur_e <-> 
EX_thm_e	Thiamin exchange	thm_e <-> 
EX_thr__L_e	L-Threonine exchange	thr__L_e <-> 
EX_tmao_e	Trimethylamine N-oxide exchange	tmao_e <-> 
EX_ttdca_e	Tetradecanoate (n-C14:0) exchange	ttdca_e <-> 
EX_ttrcyc_e	Tetracycline exchange	ttrcyc_e <-> 
EX_tym_e	Tyramine exchange	tym_e <-> 
EX_tyr__L_e	L-Tyrosine exchange	tyr__L_e <-> 
EX_tyrp_e	Phosphotyrosine exchange	tyrp_e <-> 
EX_udpacgal_e	UDP-N-acetyl-D-galactosamine exchange	udpacgal_e <-> 
EX_udpg_e	UDPglucose exchange	udpg_e <-> 
EX_urea_e	Urea exchange	urea_e <-> 
EX_uri_e	Uridine exchange	uri_e <-> 
EX_val__L_e	L-Valine exchange	val__L_e <-> 
EX_xan_e	Xanthine exchange	xan_e <-> 
EX_xmp_e	Xanthosine 5'-phosphate exchange	xmp_e <-> 
EX_xtsn_e	Xanthosine exchange	xtsn_e <-> 
EX_xyl__D_e	D-Xylose exchange	xyl__D_e <-> 
EX_zn2_e	Zinc exchange	zn2_e <-> 
12DGR120tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)	12dgr120_p <-> 12dgr120_c
12DGR140tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)	12dgr140_p <-> 12dgr140_c
12DGR161tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)	12dgr161_p <-> 12dgr161_c
12DGR180tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)	12dgr180_p <-> 12dgr180_c
12DGR181tipp	1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)	12dgr181_p <-> 12dgr181_c
12PPDStex	(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)	12ppd__S_e <-> 12ppd__S_p
14GLUCANabcpp	1,4-alpha-D-glucan transport via ABC system (periplasm)	atp_c + h2o_c + 14glucan_p <-> 14glucan_c + adp_c + h_c + pi_c
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	23ccmp_e <-> 23ccmp_p
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	23cgmp_e <-> 23cgmp_p
23PDE2pp	2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)	23cump_p + h2o_p <-> 3ump_p + h_p
23PDE9pp	2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)	23cgmp_p + h2o_p <-> 3gmp_p + h_p
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2ddecg3p_p <-> 2ddecg3p_c
