ec_number	bigg_reaction_id
3.6.3.8	EX_ca2_e
3.1.4.16	23PDE2pp
3.1.4.16	23PDE9pp
4.2.1.61	3HAD121
2.3.1.-	3HAD160
2.3.1.85	3HAD160
2.3.1.86	3HAD160
4.2.1.59	3HAD160
4.2.1.61	3HAD160
4.2.1.61	3HAD161
2.3.1.-	3HAD180
4.2.1.-	3HAD180
4.2.1.61	3HAD180
2.3.1.-	3HAD80
2.3.1.85	3HAD80
2.3.1.86	3HAD80
4.2.1.58	3HAD80
4.2.1.59	3HAD80
4.2.1.61	3HAD80
2.7.1.53	3KGK
3.1.3.6	3NTD2pp
3.1.3.6	3NTD9pp
1.1.1.100	3OAR120
2.3.1.-	3OAR120
2.3.1.85	3OAR120
2.3.1.86	3OAR120
1.1.1.100	3OAR121
1.1.1.100	3OAR141
1.1.1.100	3OAR160
2.3.1.-	3OAR160
2.3.1.85	3OAR160
2.3.1.86	3OAR160
1.1.1.100	3OAR161
1.1.1.100	3OAR180
2.3.1.86	3OAS100
2.3.1.86	3OAS120
2.3.1.86	3OAS140
2.3.1.41	3OAS161
2.3.1.86	3OAS60
4.2.3	4HTHRS
4.2.3.1	4HTHRS
5.3.1.13	A5PISO
6.2.1.20	AACPS6
6.2.1.l	AACPS9
2.6.1.19	ABTA
2.3.1.16	ACACT2r
2.3.1.9	ACACT2r
2.3.1.9	ACACT3r
2.3.1.16	ACACT4r
2.3.1.9	ACACT4r
2.3.1.9	ACACT5r
2.7.7.62	ACBIPGT
6.2.1.13	ACCOAL
3.1.3.10	ACGAM1PPpp
2.3.1.1	ACGS
2.2.1.6	ACLS
2.4.1.180	ACMAMUT
4.1.3.3	ACNML
1.3.3.6	ACOAD1f
1.3.8.1	ACOAD1f
1.3.8.7	ACOAD1f
1.3.99.-	ACOAD1f
1.3.99.3	ACOAD1f
1.3.3.6	ACOAD5f
1.3.8.7	ACOAD5f
1.3.8.8	ACOAD5f
1.3.99.-	ACOAD5f
1.3.99.3	ACOAD5f
1.3.3.6	ACOAD7f
1.3.8.7	ACOAD7f
1.3.8.8	ACOAD7f
1.3.8.9	ACOAD7f
1.3.99.-	ACOAD7f
1.3.99.3	ACOAD7f
2.3.1.-	ACOATA
2.3.1.179	ACOATA
2.3.1.180	ACOATA
2.3.1.38	ACOATA
2.3.1.41	ACOATA
2.3.1.85	ACOATA
2.3.1.86	ACOATA
3.5.1.14	ACODA
3.5.1.16	ACODA
5.3.3.7	ACONIs
2.1.1.144	ACONMT
2.6.1.11	ACOTA
4.1.3.38	ADCL
2.6.1.85	ADCS
3.5.4.2	ADD
2.7.4.10	ADK3
2.7.4.4	ADK3
4.6.1.1	ADNCYC
2.7.1.20	ADNK1
2.7.1.74	ADNK1
3.2.2.1	ADNUC
3.2.2.7	ADNUC
3.2.2.8	ADNUC
2.7.8.26	ADOCBLS
2.4.2.7	ADPT
2.4.2.8	ADPT
2.7.1.25	ADSK
6.3.4.4	ADSS
3.5.3.11	AGMT
2.3.1.51	AGPAT161
2.3.1.51	AGPAT180
6.3.4.18	AIRC2
6.3.2.4	ALAALAr
2.6.1.2	ALATA_L
6.1.1.7	ALATRS
1.1.1.1	ALCD2x
1.1.1.71	ALCD2x
2.7.1.55	ALLK
3.5.3.9	ALLTAMH
4.2.1.7	ALTRH
2.4.1.25	AMALT3
5.1.3.9	AMANAPEr
2.7.1.60	AMANK
2.6.1.62	AMAOTr
3.2.2.4	AMPN
2.4.2.18	ANPRT
2.7.7	AP4AS
3.6.1.61	AP5AH
5.3.1.4	ARAI
5.3.1.5	ARAI
3.6.3.17	ARBabcpp
4.1.1.19	ARGDC
4.1.1.19	ARGDCpp
6.3.4.5	ARGSS
6.1.1.19	ARGTRS
1.2.1.11	ASAD
3.1.1	ASCBPL
3.1.1.-	ASCBPL
3.5.1.1	ASNN
3.5.1.38	ASNN
3.5.5.4	ASNN
