kegg_compound	bigg_id	universal_bigg_id
C01672	15dap_c	15dap
C04171	23ddhb_c	23ddhb
C04030	23dhba_c	23dhba
C04204	23dhbzs_c	23dhbzs
C00666	26dap_LL_c	26dap_LL
C03508	2aobut_c	2aobut
C01286	2dh3dgal6p_c	2dh3dgal6p
C00966	2dhp_c	2dhp
C01146	2h3oppan_c	2h3oppan
C05811	2ohph_c	2ohph
C05812	2omph_c	2omph
C05810	2oph_c	2oph
C00988	2pglyc_c	2pglyc
C00942	35cgmp_c	35cgmp
C04411	3c2hmp_c	3c2hmp
C02504	3c3hmp_c	3c3hmp
C04236	3c4mop_c	3c4mop
C00944	3dhq_c	3dhq
C01271	3haACP_c	3haACP
C14145	3hadpcoa_c	3hadpcoa
C05264	3hdcoa_c	3hdcoa
C04619	3hdecACP_c	3hdecACP
C05258	3hhdcoa_c	3hhdcoa
C05266	3hocoa_c	3hocoa
C16220	3hoctaACP_c	3hoctaACP
C11457	3hpppn_c	3hpppn
C00671	3mop_c	3mop
C05265	3odcoa_c	3odcoa
C05269	3ohcoa_c	3ohcoa
C05762	3opalmACP_c	3opalmACP
C00197	3pg_c	3pg
C03589	4h2opntn_c	4h2opntn
C04751	5aizc_c	5aizc
C00430	5aop_c	5aop
C00170	5mta_c	5mta
C03089	5mtr_c	5mtr
C00345	6pgc_c	6pgc
C00084	acald_c	acald
C05235	acetol_c	acetol
C00624	acglu_c	acglu
C00437	acorn_c	acorn
C00979	acser_c	acser
C00227	actp_c	actp
C00008	adp_c	adp
C00301	adprib_c	adprib
C01882	adprib_c	adprib
C06710	ag_c	ag
C04895	ahdt_c	ahdt
C00026	akg_c	akg
C00099	ala_B_c	ala_B
C00041	ala__L_c	ala__L
C01401	ala__L_c	ala__L
C02962	all6p_c	all6p
C00019	amet_c	amet
C01137	ametam_c	ametam
C11476	arab__L_c	arab__L
C02163	argtrna_c	argtrna
C06697	aso3_c	aso3
C01412	btal_c	btal
C00136	btcoa_c	btcoa
C00120	btn_c	btn
C20386	btnso_c	btnso
C00438	cbasp_c	cbasp
C00318	crn_c	crn
C00487	crn_c	crn
C20748	ctbtcoa_c	ctbtcoa
C00097	cys__L_c	cys__L
C00736	cys__L_c	cys__L
C02291	cyst__L_c	cyst__L
C00475	cytd_c	cytd
C00131	datp_c	datp
C03794	dcamp_c	dcamp
C00361	dgdp_c	dgdp
C18870	dgslnt_c	dgslnt
C00286	dgtp_c	dgtp
C00184	dha_c	dha
C04874	dhnpt_c	dhnpt
C06196	dimp_c	dimp
C05512	din_c	din
C00235	dmpp_c	dmpp
C00842	dtdpglu_c	dtdpglu
C00459	dttp_c	dttp
C00365	dump_c	dump
C00460	dutp_c	dutp
C04666	eig3p_c	eig3p
C01094	f1p_c	f1p
C00016	fad_c	fad
C14818	fe2_c	fe2
C06228	fecrm_c	fecrm
C07597	feoxam_c	feoxam
C00798	forcoa_c	forcoa
C00448	frdp_c	frdp
