kegg_reaction_id	bigg_reaction_id
R03538	23PDE2pp
R05135	23PDE9pp
R04544	3HAD160
R07764	3HAD180
R04537	3HAD80
R07127	3KGK
R01877	3NTD2pp
R02148	3NTD9pp
R04964	3OAR120
R04543	3OAR160
R05086	4HTHRS
R01530	A5PISO
R01648	ABTA
R01177	ACACT2r
R03778	ACACT4r
R05222	ACBIPGT
R00259	ACGS
R00226	ACLS
R04477	ACMAMUT
R01811	ACNML
R01175	ACOAD1f
R03857	ACOAD5f
R01279	ACOAD7f
R01624	ACOATA
R00669	ACODA
R02244	ACONIs
R05763	ACONMT
R02283	ACOTA
R05553	ADCL
R01716	ADCS
R01244	ADD
R00089	ADNCYC
R00185	ADNK1
R01245	ADNUC
R05223	ADOCBLS
R00190	ADPT
R00509	ADSK
R01135	ADSS
R01157	AGMT
R01150	ALAALAr
R01147	ALATA_D2
R00258	ALATA_L
R00754	ALCD2x
R03576	ALLK
R01540	ALTRH
R02087	AMANAPEr
R02705	AMANK
R03231	AMAOTr
R01073	ANPRT
R09880	AP5AH
R00566	ARGDC
R00566	ARGDCpp
R01954	ARGSS
R03646	ARGTRS
R02291	ASAD
R07677	ASCBPL
R00485	ASNN
R00483	ASNS2
R00490	ASPT
R00355	ASPTA
R05577	ASPTRS
R00832	AST
R10851	ATHRDHr
R00088	ATPHs
R00086	ATPM
R02565	BETALDHx
R00150	CBMKr
R00575	CBPS
R09978	CCGS
R07605	CDGR
R05634	CDPMEK
R01715	CHORM
R01302	CHRPL
R06783	CINNDO
R00362	CITL
R10644	CRNBTCT
R00351	CS
R00974	CSND
R01931	CYANST
R10079	CYNTAH
R01286	CYSTL
R03650	CYSTRS
R01878	CYTD
R00451	DAPDC
R02325	DCTPD
R02485	DCYTD
R01541	DDGLK
R02090	DGK1
R04441	DHAD1
R01505	DHBD
R06785	DHCIND
R06788	DHCINDO
R00939	DHFR
R02237	DHFS
R03459	DHPPDA2
R07355	DHPTDNR
R03083	DHQS
R08879	DKGLCNR2y
R01658	DMATT
R02472	DPR
R02094	DTMPK
R02099	DURIK1
R02100	DUTPDP
R05688	DXPRIi
R01825	E4PD
R03026	ECOAH1
R04749	ECOAH2
R04744	ECOAH4
R04740	ECOAH6
R10122	EPMEACPR
R00749	ETHAAL
R01274	FACOAE160
R08174	FACOAE180
R09520	FADRx2
R06983	FALDH2
R01068	FBA
R03241	FCLK
R00310	FCLT
R10206	FDMO2
R07290	FORCT
R00943	FTHFLi
R01082	FUM
R00304	G1PPpp
R02328	G1PTT
R02272	G1SAT
R00841	G3PT
R00765	G6PDA
R00835	G6PDH2r
R00303	G6PP
R05608	GALCTD
R06974	GART
R00881	GDPMNP
R07419	GGGABAH
R00945	GHMT2r
R02754	GLCRAL
R02752	GLCRD
R00948	GLGC
R00253	GLNS
R00894	GLUCYS
R00261	GLUDC
R00256	GLUNpp
R01072	GLUPRT
R00260	GLUR
R00114	GLUSy
R05578	GLUTRS
R00013	GLXCL
R01034	GLYCDx
R01514	GLYCK
R08572	GLYCK2
R01221	GLYCL
R00717	GLYCLTDx
