Substrate;Product
C00082;C01179
C01179;C00544
C00544;C01036
C01036;C01061
C01061;C00164
C01061;C00122
C00073;C00019
C00019;C00021
C00021;C00155
C00065;C02291
C00155;C02291
C02987;C03741
C03741;C00430
C00430;C00931
C00931;C01024
C01024;C01051
C01051;C02463
C02463;C05778
C05778;C00748
C12323;C17355
C00062;C17355
C00065;C17355
C17355;C17352
C17352;C17351
C17351;C01941
C17355;C01739
C01739;C00927
C00927;C01941
C11907;C06620
C06620;C11922
C11922;C18032
C18032;C18033
C18033;C18034
C00044;C05922
C05922;C05923
C05923;C06148
C06148;C04895
C04895;C03684
C03684;C00272
C00025;C00669
C00669;C00051
C00022;C06010
C06010;C04181
C04181;C04272
C06010;C04272
C04272;C00141
C00141;C00183
C00109;C06006
C06006;C14463
C14463;C06007
C06007;C00671
C00671;C00407
C11907;C06620
C06620;C12318
C12318;C21073
C21073;C21074
C21074;C11919
C00014;C00192
C00192;C00088
C00088;C00244
C00049;C03082
C03082;C00441
C00441;C00263
C00263;C01102
C01102;C00188
C00014;C00169
C00169;C00327
C00077;C00327
C00327;C03406
C00049;C03406
C03406;C00062
C03406;C00122
C00062;C00077
C00062;C00086
C00049;C03082
C03082;C00441
C00441;C03283
C03283;C06442
C06442;C06231
C00079;C00423
C00423;C00811
C00811;C00223
C00223;C06561
C06561;C00509
C00984;C00446
C00446;C00052
C00062;C00581
C00581;C00300
C00300;C02305
C02305;C00791
C00251;C00156
C00156;C05848
C05848;C05807
C05807;C17551
C17551;C17552
C17552;C17560
C17560;C17561
C17561;C17562
C17562;C00399
C00024;C00022
C00022;C00074
C00074;C00036
C00036;C00149
C00149;C00122
C00122;C00042
C00042;C00091
C00091;C00232
C00232;C00989
C00989;C11062
C11062;C00877
C00877;C01144
C01144;C00332
C00332;C00024
C12379;C20974
C20974;C20975
C20975;C20976
C20976;C20977
C20977;C12381
C06504;C06506
C06506;C06507
C06507;C06508
C06508;C06509
C06509;C06510
C03114;C04778
C04778;C05775
C06510;C00194
C05775;C00194
C00074;C00036
C00036;C00149
C00149;C00022
C00149;C00011
C00022;C00074
C00244;C00088
C00088;C00014
C02557;C12000
C00083;C12000
C12000;C12001
C12001;C20760
C20760;C12002
C12002;C12003
C12003;C02400
C02400;C00744
C00744;C01457
C00441;C20644
C20644;C12115
C12115;C20799
C00130;C03794
C03794;C00020
C00020;C00008
C00008;C00002
C00864;C03492
C03492;C04352
C04352;C01134
C01134;C00882
C00882;C00010
C18295;C06629
C06629;C06628
C06628;C06627
C06629;C06627
C06627;C06654
C06654;C02811
C02811;C03206
C03206;C06570
C03206;C18296
C18296;C06624
C00279;C03393
C03393;C06054
C06054;C06055
C06055;C07335
C07335;C11638
C11638;C00627
C00627;C00018
C06588;C06589
C06589;C02526
C02526;C01273
C01273;C00596
C01273;C00180
C06584;C06585
C06585;C06586
C06586;C06587
C06587;C00596
C06587;C02370
C00093;C00681
C00681;C00416
C00416;C00641
C00641;C00422
C00062;C03296
C03296;C03415
C03415;C05932
C05932;C05931
C05931;C00025
C00353;C19815
C19815;C19814
C19814;C21093
C01243;C04477
C04477;C01284
C01284;C01204
C00083;C11989
C02557;C11989
C11989;C11990
C11990;C11991
C11991;C11992
C11992;C01946
C00090;C00682
C00682;C02501
C02501;C03453
C03453;C00596
C00682;C00596
C00596;C03589
C03589;C00022
C03589;C00084
C00084;C00024
C06730;C06760
C06760;C07478
C07478;C07479
C07479;C11354
C06760;C11354
C11354;C06762
C06762;C00022
C06762;C00479
C00479;C00100
C11907;C11926
C11926;C11460
C11460;C12481
C00044;C05922
C05922;C05923
C05923;C06148
C06148;C04895
C04895;C01300
C01300;C04807
C04807;C00921
C01300;C00921
