CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
G00001	N-Acetyl-D-glucosaminyldiphosphodolichol; (GlcNAc)1 (PP-Dol)1
G00002	N,N'-Chitobiosyldiphosphodolichol; (GlcNAc)2 (PP-Dol)1
G00003	(GlcNAc)2 (Man)1 (PP-Dol)1
G00004	(GlcNAc)2 (Man)2 (PP-Dol)1
G00005	(GlcNAc)2 (Man)3 (PP-Dol)1
G00006	(GlcNAc)2 (Man)5 (PP-Dol)1
G00007	(GlcNAc)2 (Man)9 (PP-Dol)1
G00008	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1
G00009	(Glc)3 (GlcNAc)2 (Man)9 (Asn)1
G00010	(Glc)1 (GlcNAc)2 (Man)9 (Asn)1
G00011	(GlcNAc)2 (Man)9 (Asn)1
G00012	(GlcNAc)2 (Man)5 (Asn)1
G00013	(GlcNAc)3 (Man)5 (Asn)1
G00014	(GlcNAc)3 (Man)3 (Asn)1
G00015	(GlcNAc)4 (Man)3 (Asn)1
G00016	(GlcNAc)4 (LFuc)1 (Man)3 (Asn)1
G00017	(Gal)2 (GlcNAc)4 (LFuc)1 (Man)3 (Asn)1
G00018	DS 3; (Gal)2 (GlcNAc)4 (LFuc)1 (Man)3 (Neu5Ac)2 (Asn)1
G00019	(GlcNAc)5 (Man)3 (Asn)1
G00020	(GlcNAc)5 (Man)3 (Asn)1
G00021	(GlcNAc)6 (Man)3 (Asn)1
G00022	(GlcNAc)7 (Man)3 (Asn)1
G00023	Tn antigen; (GalNAc)1 (Ser/Thr)1
G00024	T antigen; (Gal)1 (GalNAc)1 (Ser/Thr)1
G00025	(Gal)1 (GalNAc)1 (GlcNAc)1 (Ser/Thr)1
G00026	(Gal)1 (GalNAc)1 (Neu5Ac)1 (Ser/Thr)1
G00027	(Gal)1 (GalNAc)1 (Neu5Ac)2 (Ser/Thr)1
G00028	(GalNAc)1 (GlcNAc)1 (Ser/Thr)1
G00029	(GalNAc)1 (GlcNAc)2 (Ser/Thr)1
G00030	(GalNAc)2 (Ser/Thr)1
G00031	(GalNAc)1 (GlcNAc)1 (Ser/Thr)1
