ReactionID	StochCoeff	Product	other site
R10895	1	C20919	
R05501	1	C01327	
R05501	1	C06792	
R10114	1	C20371	
R10114	1	C00080	
R10114	1	C00005	
R12056	1	C00013	
R12056	1	C20656	
R08470	1	C10722	
R10064	1	C15668	
R10064	1	C00001	
R10064	1	C00025	
R03458	1	C01268	
R03458	1	C00080	
R03458	1	C00005	
R09162	1	C18250	
R09162	1	C00080	
R09162	1	C00004	
R12481	1	C22199	
R12481	1	C00500	
R00967	1	C00105	
R00967	1	C00015	
R00540	1	C00060	
R00540	1	C00014	
R00092	2	C14819	
R00092	1	C00080	
R00092	1	C00004	
R01370	1	C00166	
R01370	1	C00080	
R01370	1	C00004	
R08436	1	C00001	
R08436	1	C21634	
R07023	1	C14803	
R10989	1	C00015	
R10989	1	C17513	
R03315	1	C00008	
R03315	1	C01168	
R03660	1	C00013	
R03660	1	C00020	
R03660	1	C03511	
R06176	1	G10518	
R06176	1	G11113	
R07120	1	C14875	
R07764	1	C00001	
R07764	1	C16221	
R12521	1	C22200	
R01505	1	C00196	
R01505	1	C00080	
R01505	1	C00004	
R01681	1	C00080	
R01681	1	C00004	
R01681	1	C00245	
R06229	1	G09795	
R06229	1	C00615	
R12010	1	C00001	
R12010	1	C03161	
R12010	1	C21843	
R11189	1	C00132	
R11189	1	C02496	
R08433	1	C00010	
R08433	1	C06020	
R08433	1	C00237	
R09483	1	C00033	
R09483	1	C00011	
R02763	1	C04480	
R07519	1	C19795	
R05565	2	C06559	
R05565	2	C00084	
R08398	1	C01499	
R02118	1	C00015	
R02118	1	C03423	
R10656	1	C12002	
R10656	1	C00001	
R10656	2	C00139	
R06539	1	C00001	
R06539	1	C00011	
R06539	1	C00042	
R06539	1	C10107	
R12489	1	C00001	
R12489	1	C22207	
R03213	1	C00015	
R03213	1	C01069	
R01374	1	C00166	
R01374	1	C15603	
R01374	1	C00014	
R10496	1	C00020	
R10496	1	C20580	
R10496	2	C00009	
R00054	2	C01839	
R04587	1	C00033	
R04587	1	C06022	
R01279	1	C05272	
R01279	1	C01352	
R04996	1	C05828	
R04996	1	C00080	
R04996	1	C00004	
R10945	1	C20968	
R02123	1	C00080	
R02123	1	C00777	
R02123	1	C00004	
R07683	1	C16196	
R07683	1	C00094	
R01300	1	C00013	
R01300	1	C00020	
R01300	1	C02949	
R07802	1	C00596	
R07802	1	C01606	
R08432	1	C00010	
R08432	1	C10860	
R12383	1	C22128	
R12383	1	C00015	
R08519	1	C16733	
R10555	1	C01182	
R09647	1	C19780	
R09647	1	C00014	
R03155	1	C01125	
R03155	1	C00080	
R03155	1	C00005	
R10676	1	C20774	
R05855	1	C00001	
R05855	1	C03161	
R05855	1	C11643	
R04791	1	C05424	
R07068	1	C14840	
R07068	1	C00001	
R07068	1	C00006	
R12034	2	C00001	
R12034	1	C21868	
R12034	1	C00016	
R00327	1	C00033	
R00327	1	C00031	
R05772	1	C07303	
R06950	1	C13433	
R12361	1	C00011	
R12361	1	C22107	
R12361	1	C00080	
R12361	1	C00004	
R01297	1	C00530	
R01297	1	C00001	
R01297	1	C00011	
R01297	1	C00003	
R12345	1	C22092	
R11988	1	C00001	
R11988	1	C03161	
R11988	1	C21823	
R06481	6	C00001	
R06481	12	C00011	
R06481	13	C00010	
R06481	1	C11977	
R06481	9	C00006	
R06655	1	C12401	
R09991	1	C00011	
R09991	1	C05819	
R09991	1	C00007	
R09991	1	C06247	
R01033	1	C00011	
R01033	1	C00090	
R01033	1	C00698	
R01033	1	C00003	
R09367	3	C00001	
R09367	1	C18870	
R09367	1	C00127	
R09964	1	C00013	
R09964	1	C09844	
R00893	1	C00606	
R01419	1	C00180	
R01419	1	C00080	
R01419	1	C00004	
R05573	1	C06554	
R05573	1	C00797	
R00326	1	C00033	
R00326	1	C00030	
R09781	1	C19890	
R09781	1	C17556	
R10312	1	C00011	
R10312	1	C00042	
R10312	1	C20509	
R10312	1	C00014	
R07123	1	C11149	
R06206	1	G10499	(m)
R05533	1	C06989	
R05533	2	C00698	
R08189	1	C00010	
R08189	1	C16513	
R07388	1	C00189	
R07388	1	C15646	
R09175	1	C18264	
R11842	1	C00013	
R11842	1	C21702	
R07159	1	C00197	
R07159	2	C00080	
R07159	2	C00138	
R08496	1	C16735	
R04303	1	C04291	
R04303	1	C00080	
R04303	1	C00005	
R05969	1	G00001	
R05969	1	C00105	
R11058	2	C00001	
R11058	1	C21083	
R11058	1	C00028	
R04119	1	C03019	
