CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
1.1.1.1	R07105	ec_2_reaction
1.1.1.1	R00623	ec_2_reaction
1.1.1.1	R00754	ec_2_reaction
1.1.1.1	R02124	ec_2_reaction
1.1.1.1	R02878	ec_2_reaction
1.1.1.1	R04805	ec_2_reaction
1.1.1.1	R04880	ec_2_reaction
1.1.1.1	R05233	ec_2_reaction
1.1.1.1	R05234	ec_2_reaction
1.1.1.1	R06917	ec_2_reaction
1.1.1.1	R06927	ec_2_reaction
1.1.1.1	R08281	ec_2_reaction
1.1.1.1	R08306	ec_2_reaction
1.1.1.1	R08557	ec_2_reaction
1.1.1.1	R08558	ec_2_reaction
1.1.1.1	R10783	ec_2_reaction
1.1.1.1	R00624	ec_2_reaction
1.1.1.1	R08310	ec_2_reaction
1.1.1.10	R01904	ec_2_reaction
1.1.1.100	R10116	ec_2_reaction
1.1.1.100	R10120	ec_2_reaction
1.1.1.100	R02767	ec_2_reaction
1.1.1.100	R04533	ec_2_reaction
1.1.1.100	R04534	ec_2_reaction
1.1.1.100	R04536	ec_2_reaction
1.1.1.100	R04543	ec_2_reaction
1.1.1.100	R04566	ec_2_reaction
1.1.1.100	R04953	ec_2_reaction
1.1.1.100	R04964	ec_2_reaction
1.1.1.100	R07763	ec_2_reaction
1.1.1.101	R02756	ec_2_reaction
1.1.1.101	R04360	ec_2_reaction
1.1.1.101	R03357	ec_2_reaction
1.1.1.102	R02978	ec_2_reaction
1.1.1.103	R01465	ec_2_reaction
1.1.1.104	R03292	ec_2_reaction
1.1.1.104	R03290	ec_2_reaction
1.1.1.105	R02124	ec_2_reaction
1.1.1.106	R02471	ec_2_reaction
1.1.1.107	R01707	ec_2_reaction
1.1.1.108	R02395	ec_2_reaction
1.1.1.11	R00868	ec_2_reaction
1.1.1.11	R05604	ec_2_reaction
1.1.1.110	R01370	ec_2_reaction
1.1.1.110	R03337	ec_2_reaction
1.1.1.110	R12256	ec_2_reaction
1.1.1.111	R04185	ec_2_reaction
1.1.1.111	R04186	ec_2_reaction
1.1.1.112	R03582	ec_2_reaction
1.1.1.112	R03583	ec_2_reaction
1.1.1.113	R03586	ec_2_reaction
1.1.1.114	R03577	ec_2_reaction
1.1.1.115	R01079	ec_2_reaction
1.1.1.116	R01574	ec_2_reaction
1.1.1.117	R01574	ec_2_reaction
1.1.1.117	R01575	ec_2_reaction
1.1.1.118	R00300	ec_2_reaction
1.1.1.119	R00301	ec_2_reaction
1.1.1.119	R07147	ec_2_reaction
1.1.1.12	R01903	ec_2_reaction
1.1.1.120	R01097	ec_2_reaction
1.1.1.120	R01096	ec_2_reaction
1.1.1.121	R00300	ec_2_reaction
1.1.1.121	R01429	ec_2_reaction
1.1.1.121	R02847	ec_2_reaction
1.1.1.121	R08544	ec_2_reaction
1.1.1.122	R07675	ec_2_reaction
1.1.1.122	R07148	ec_2_reaction
1.1.1.122	R08926	ec_2_reaction
1.1.1.123	R01694	ec_2_reaction
1.1.1.124	R00871	ec_2_reaction
1.1.1.124	R08651	ec_2_reaction
1.1.1.125	R01542	ec_2_reaction
1.1.1.125	R04049	ec_2_reaction
1.1.1.126	R01543	ec_2_reaction
1.1.1.127	R01542	ec_2_reaction
1.1.1.129	R03733	ec_2_reaction
1.1.1.13	R02441	ec_2_reaction
1.1.1.130	R02637	ec_2_reaction
1.1.1.130	R02639	ec_2_reaction
1.1.1.131	R02455	ec_2_reaction
1.1.1.131	R02456	ec_2_reaction
1.1.1.132	R00880	ec_2_reaction
1.1.1.133	R02777	ec_2_reaction
1.1.1.134	R02776	ec_2_reaction
1.1.1.135	R03396	ec_2_reaction
1.1.1.135	R03398	ec_2_reaction
1.1.1.136	R00421	ec_2_reaction
1.1.1.137	R01524	ec_2_reaction
1.1.1.137	R01525	ec_2_reaction
1.1.1.138	R00870	ec_2_reaction
1.1.1.14	R00875	ec_2_reaction
1.1.1.14	R01896	ec_2_reaction
1.1.1.14	R07145	ec_2_reaction
1.1.1.140	R05607	ec_2_reaction
1.1.1.140	R07133	ec_2_reaction
1.1.1.141	R02683	ec_2_reaction
1.1.1.141	R02580	ec_2_reaction
1.1.1.142	R03498	ec_2_reaction
1.1.1.143	R03497	ec_2_reaction
1.1.1.144	R03945	ec_2_reaction
1.1.1.145	R01837	ec_2_reaction
1.1.1.145	R02216	ec_2_reaction
1.1.1.145	R02499	ec_2_reaction
1.1.1.145	R02840	ec_2_reaction
1.1.1.145	R03327	ec_2_reaction
1.1.1.145	R04163	ec_2_reaction
1.1.1.145	R04678	ec_2_reaction
1.1.1.145	R04849	ec_2_reaction
1.1.1.145	R09920	ec_2_reaction
1.1.1.145	R03176	ec_2_reaction
1.1.1.146	R09420	ec_2_reaction
1.1.1.146	R02836	ec_2_reaction
1.1.1.146	R03203	ec_2_reaction
1.1.1.146	R03848	ec_2_reaction
1.1.1.146	R04758	ec_2_reaction
1.1.1.146	R04840	ec_2_reaction
1.1.1.147	R03226	ec_2_reaction
1.1.1.147	R03227	ec_2_reaction
1.1.1.148	R02347	ec_2_reaction
1.1.1.148	R02349	ec_2_reaction
1.1.1.149	R02207	ec_2_reaction
1.1.1.149	R02209	ec_2_reaction
1.1.1.149	R08958	ec_2_reaction
1.1.1.149	R08959	ec_2_reaction
1.1.1.149	R03325	ec_2_reaction
1.1.1.15	R00875	ec_2_reaction
1.1.1.15	R05831	ec_2_reaction
1.1.1.15	R08536	ec_2_reaction
1.1.1.15	R02896	ec_2_reaction
1.1.1.150	R03043	ec_2_reaction
1.1.1.151	R03044	ec_2_reaction
1.1.1.152	R04309	ec_2_reaction
1.1.1.153	R01813	ec_2_reaction
1.1.1.153	R11762	ec_2_reaction
1.1.1.153	R11763	ec_2_reaction
1.1.1.153	R02975	ec_2_reaction
1.1.1.153	R08208	ec_2_reaction
1.1.1.154	R02935	ec_2_reaction
1.1.1.154	R02936	ec_2_reaction
1.1.1.156	R01039	ec_2_reaction
1.1.1.157	R05576	ec_2_reaction
1.1.1.157	R06941	ec_2_reaction
1.1.1.157	R01976	ec_2_reaction
1.1.1.159	R02792	ec_2_reaction
1.1.1.16	R02928	ec_2_reaction
1.1.1.160	R04623	ec_2_reaction
1.1.1.162	R08573	ec_2_reaction
1.1.1.163	R02229	ec_2_reaction
1.1.1.163	R02553	ec_2_reaction
1.1.1.164	R02462	ec_2_reaction
1.1.1.165	R03963	ec_2_reaction
1.1.1.166	R05315	ec_2_reaction
1.1.1.167	R02969	ec_2_reaction
1.1.1.168	R03155	ec_2_reaction
1.1.1.169	R02472	ec_2_reaction
1.1.1.17	R00758	ec_2_reaction
1.1.1.17	R02703	ec_2_reaction
1.1.1.170	R04328	ec_2_reaction
1.1.1.170	R04483	ec_2_reaction
1.1.1.170	R07149	ec_2_reaction
1.1.1.170	R07494	ec_2_reaction
1.1.1.170	R12366	ec_2_reaction
1.1.1.170	R12404	ec_2_reaction
1.1.1.170	R12406	ec_2_reaction
