CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
K00001	1.1.1.1	ko_2_ec
K00002	1.1.1.2	ko_2_ec
K00003	1.1.1.3	ko_2_ec
K00004	1.1.1.4	ko_2_ec
K00004	1.1.1.303	ko_2_ec
K00005	1.1.1.6	ko_2_ec
K00006	1.1.1.8	ko_2_ec
K00007	1.1.1.11	ko_2_ec
K00008	1.1.1.14	ko_2_ec
K00009	1.1.1.17	ko_2_ec
K00010	1.1.1.18	ko_2_ec
K00010	1.1.1.369	ko_2_ec
K00011	1.1.1.21	ko_2_ec
K00012	1.1.1.22	ko_2_ec
K00013	1.1.1.23	ko_2_ec
K00014	1.1.1.25	ko_2_ec
K00015	1.1.1.26	ko_2_ec
K00016	1.1.1.27	ko_2_ec
K00018	1.1.1.29	ko_2_ec
K00019	1.1.1.30	ko_2_ec
K00020	1.1.1.31	ko_2_ec
K00021	1.1.1.34	ko_2_ec
K00022	1.1.1.35	ko_2_ec
K00023	1.1.1.36	ko_2_ec
K00024	1.1.1.37	ko_2_ec
K00025	1.1.1.37	ko_2_ec
K00026	1.1.1.37	ko_2_ec
K00027	1.1.1.38	ko_2_ec
K00028	1.1.1.39	ko_2_ec
K00029	1.1.1.40	ko_2_ec
K00030	1.1.1.41	ko_2_ec
K00031	1.1.1.42	ko_2_ec
K00032	1.1.1.43	ko_2_ec
K00033	1.1.1.44	ko_2_ec
K00033	1.1.1.343	ko_2_ec
K00034	1.1.1.47	ko_2_ec
K00035	1.1.1.48	ko_2_ec
K00036	1.1.1.49	ko_2_ec
K00036	1.1.1.363	ko_2_ec
K00037	1.1.1.50	ko_2_ec
K00037	1.1.1.357	ko_2_ec
K00037	1.1.1.225	ko_2_ec
K00038	1.1.1.53	ko_2_ec
K00039	1.1.1.56	ko_2_ec
K00040	1.1.1.57	ko_2_ec
K00041	1.1.1.58	ko_2_ec
K00042	1.1.1.60	ko_2_ec
K00043	1.1.1.61	ko_2_ec
K00044	1.1.1.62	ko_2_ec
K00045	1.1.1.67	ko_2_ec
K00046	1.1.1.69	ko_2_ec
K00048	1.1.1.77	ko_2_ec
K00049	1.1.1.79	ko_2_ec
K00049	1.1.1.81	ko_2_ec
K00050	1.1.1.81	ko_2_ec
K00051	1.1.1.82	ko_2_ec
K00052	1.1.1.85	ko_2_ec
K00053	1.1.1.86	ko_2_ec
K00054	1.1.1.88	ko_2_ec
K00055	1.1.1.90	ko_2_ec
K00057	1.1.1.94	ko_2_ec
K00058	1.1.1.95	ko_2_ec
K00058	1.1.1.399	ko_2_ec
K00059	1.1.1.100	ko_2_ec
K00060	1.1.1.103	ko_2_ec
K00061	1.1.1.315	ko_2_ec
K00062	1.1.1.116	ko_2_ec
K00063	1.1.1.117	ko_2_ec
K00064	1.1.1.122	ko_2_ec
K00065	1.1.1.127	ko_2_ec
K00066	1.1.1.132	ko_2_ec
K00067	1.1.1.133	ko_2_ec
K00068	1.1.1.140	ko_2_ec
K00069	1.1.1.141	ko_2_ec
K00070	1.1.1.145	ko_2_ec
K00070	5.3.3.1	ko_2_ec
K00072	1.1.1.153	ko_2_ec
K00073	1.1.1.350	ko_2_ec
K00074	1.1.1.157	ko_2_ec
K00075	1.3.1.98	ko_2_ec
K00076	1.1.1.159	ko_2_ec
K00077	1.1.1.169	ko_2_ec
K00078	1.3.1.20	ko_2_ec
K00078	1.1.1.179	ko_2_ec
K00079	1.1.1.184	ko_2_ec
K00079	1.1.1.189	ko_2_ec
K00079	1.1.1.197	ko_2_ec
K00081	1.1.1.184	ko_2_ec
K00082	1.1.1.193	ko_2_ec
K00083	1.1.1.195	ko_2_ec
K00084	1.1.1.184	ko_2_ec
K00085	1.1.1.200	ko_2_ec
K00086	1.1.1.202	ko_2_ec
K00087	1.17.1.4	ko_2_ec
K00088	1.1.1.205	ko_2_ec
K00089	1.1.1.213	ko_2_ec
K00089	1.1.1.357	ko_2_ec
K00090	1.1.1.79	ko_2_ec
K00090	1.1.1.81	ko_2_ec
K00090	1.1.1.215	ko_2_ec
K00091	1.1.1.219	ko_2_ec
K00093	1.1.1.244	ko_2_ec
K00094	1.1.1.251	ko_2_ec
K00095	1.1.1.255	ko_2_ec
K00096	1.1.1.261	ko_2_ec
K00097	1.1.1.262	ko_2_ec
K00098	1.1.1.264	ko_2_ec
K00099	1.1.1.267	ko_2_ec
K00101	1.1.2.3	ko_2_ec
K00102	1.1.2.4	ko_2_ec
K00103	1.1.3.8	ko_2_ec
K00104	1.1.3.15	ko_2_ec
K00105	1.1.3.21	ko_2_ec
K00106	1.17.1.4	ko_2_ec
K00106	1.17.3.2	ko_2_ec
K00107	1.1.3.37	ko_2_ec
K00108	1.1.99.1	ko_2_ec
K00109	1.1.99.2	ko_2_ec
K00111	1.1.5.3	ko_2_ec
K00112	1.1.5.3	ko_2_ec
K00114	1.1.2.8	ko_2_ec
K00115	1.1.5.9	ko_2_ec
K00116	1.1.5.4	ko_2_ec
K00117	1.1.5.2	ko_2_ec
K00118	1.1.99.28	ko_2_ec
K00119	1.1.99.36	ko_2_ec
K00121	1.1.1.284	ko_2_ec
K00121	1.1.1.1	ko_2_ec
K00122	1.17.1.9	ko_2_ec
K00123	1.17.1.9	ko_2_ec
K00125	1.17.98.3	ko_2_ec
K00125	1.8.98.6	ko_2_ec
K00126	1.17.1.9	ko_2_ec
K00128	1.2.1.3	ko_2_ec
K00129	1.2.1.5	ko_2_ec
K00130	1.2.1.8	ko_2_ec
K00131	1.2.1.9	ko_2_ec
K00132	1.2.1.10	ko_2_ec
K00133	1.2.1.11	ko_2_ec
K00134	1.2.1.12	ko_2_ec
K00135	1.2.1.16	ko_2_ec
K00135	1.2.1.79	ko_2_ec
K00135	1.2.1.20	ko_2_ec
K00137	1.2.1.19	ko_2_ec
K00139	1.2.1.24	ko_2_ec
K00140	1.2.1.18	ko_2_ec
K00140	1.2.1.27	ko_2_ec
K00141	1.2.1.28	ko_2_ec
K00143	1.2.1.95	ko_2_ec
K00145	1.2.1.38	ko_2_ec
K00146	1.2.1.39	ko_2_ec
K00147	1.2.1.41	ko_2_ec
K00148	1.2.1.46	ko_2_ec
K00149	1.2.1.47	ko_2_ec
K00149	1.2.1.3	ko_2_ec
K00150	1.2.1.59	ko_2_ec
K00151	1.2.1.60	ko_2_ec
K00152	1.2.1.65	ko_2_ec
K00153	1.1.1.306	ko_2_ec
K00154	1.2.1.68	ko_2_ec
K00155	1.2.1.101	ko_2_ec
K00156	1.2.5.1	ko_2_ec
K00157	1.2.3.1	ko_2_ec
K00158	1.2.3.3	ko_2_ec
K00161	1.2.4.1	ko_2_ec
K00162	1.2.4.1	ko_2_ec
K00163	1.2.4.1	ko_2_ec
K00164	1.2.4.2	ko_2_ec
K00166	1.2.4.4	ko_2_ec
K00167	1.2.4.4	ko_2_ec
K00169	1.2.7.1	ko_2_ec
K00170	1.2.7.1	ko_2_ec
K00171	1.2.7.1	ko_2_ec
K00172	1.2.7.1	ko_2_ec
K00174	1.2.7.3	ko_2_ec
K00174	1.2.7.11	ko_2_ec
K00175	1.2.7.3	ko_2_ec
K00175	1.2.7.11	ko_2_ec
K00176	1.2.7.3	ko_2_ec
K00177	1.2.7.3	ko_2_ec
K00179	1.2.7.8	ko_2_ec
K00180	1.2.7.8	ko_2_ec
K00181	2.3.1.250	ko_2_ec
K00186	1.2.7.7	ko_2_ec
K00187	1.2.7.7	ko_2_ec
K00188	1.2.7.7	ko_2_ec
K00189	1.2.7.7	ko_2_ec
K00189	1.2.7.1	ko_2_ec
K00192	1.2.7.4	ko_2_ec
K00193	2.3.1.169	ko_2_ec
K00194	2.1.1.245	ko_2_ec
K00197	2.1.1.245	ko_2_ec
K00198	1.2.7.4	ko_2_ec
K00200	1.2.7.12	ko_2_ec
K00201	1.2.7.12	ko_2_ec
K00202	1.2.7.12	ko_2_ec
K00203	1.2.7.12	ko_2_ec
K00207	1.3.1.2	ko_2_ec
K00208	1.3.1.9	ko_2_ec
K00208	1.3.1.10	ko_2_ec
K00209	1.3.1.9	ko_2_ec
K00209	1.3.1.44	ko_2_ec
K00211	1.3.1.13	ko_2_ec
K00212	1.1.1.149	ko_2_ec
K00212	1.1.1.357	ko_2_ec
K00212	1.3.1.20	ko_2_ec
K00213	1.3.1.21	ko_2_ec
K00214	1.3.1.24	ko_2_ec
K00215	1.17.1.8	ko_2_ec
K00216	1.3.1.28	ko_2_ec
K00217	1.3.1.32	ko_2_ec
K00218	1.3.1.33	ko_2_ec
K00219	1.3.1.34	ko_2_ec
K00220	1.3.1.43	ko_2_ec
K00220	1.3.1.12	ko_2_ec
K00221	4.99.1.2	ko_2_ec
K00222	1.3.1.70	ko_2_ec
K00223	1.3.1.71	ko_2_ec
K00225	1.3.2.3	ko_2_ec
K00226	1.3.98.1	ko_2_ec
K00227	1.14.19.20	ko_2_ec
K00228	1.3.3.3	ko_2_ec
K00230	1.3.5.3	ko_2_ec
K00231	1.3.3.4	ko_2_ec
K00231	1.3.3.15	ko_2_ec
K00232	1.3.3.6	ko_2_ec
K00234	1.3.5.1	ko_2_ec
K00235	1.3.5.1	ko_2_ec
K00239	1.3.5.1	ko_2_ec
K00239	1.3.5.4	ko_2_ec
K00240	1.3.5.1	ko_2_ec
K00240	1.3.5.4	ko_2_ec
K00244	1.3.5.4	ko_2_ec
K00245	1.3.5.4	ko_2_ec
K00248	1.3.8.1	ko_2_ec
K00249	1.3.8.7	ko_2_ec
K00251	1.3.1.3	ko_2_ec
K00252	1.3.8.6	ko_2_ec
K00253	1.3.8.4	ko_2_ec
K00254	1.3.5.2	ko_2_ec
K00255	1.3.8.8	ko_2_ec
K00259	1.4.1.1	ko_2_ec
K00260	1.4.1.2	ko_2_ec
K00261	1.4.1.3	ko_2_ec
K00262	1.4.1.4	ko_2_ec
K00263	1.4.1.9	ko_2_ec
K00264	1.4.1.14	ko_2_ec
K00265	1.4.1.13	ko_2_ec
K00266	1.4.1.13	ko_2_ec
K00270	1.4.1.20	ko_2_ec
K00271	1.4.1.23	ko_2_ec
K00272	1.4.3.1	ko_2_ec
K00273	1.4.3.3	ko_2_ec
K00274	1.4.3.4	ko_2_ec
K00275	1.4.3.5	ko_2_ec
K00276	1.4.3.21	ko_2_ec
K00277	1.4.3.13	ko_2_ec
K00278	1.4.3.16	ko_2_ec
K00279	1.5.99.12	ko_2_ec
K00281	1.4.4.2	ko_2_ec
K00282	1.4.4.2	ko_2_ec
K00283	1.4.4.2	ko_2_ec
K00284	1.4.7.1	ko_2_ec
K00285	1.4.5.1	ko_2_ec
K00286	1.5.1.2	ko_2_ec
K00287	1.5.1.3	ko_2_ec
K00288	1.5.1.5	ko_2_ec
K00288	3.5.4.9	ko_2_ec
K00288	6.3.4.3	ko_2_ec
K00289	1.5.1.6	ko_2_ec
K00290	1.5.1.7	ko_2_ec
K00293	1.5.1.10	ko_2_ec
K00294	1.2.1.88	ko_2_ec
K00295	1.5.1.15	ko_2_ec
K00296	1.5.1.19	ko_2_ec
K00297	1.5.1.20	ko_2_ec
K00298	1.5.1.24	ko_2_ec
K00299	1.5.1.38	ko_2_ec
K00300	1.5.1.5	ko_2_ec
K00301	1.5.3.1	ko_2_ec
K00302	1.5.3.1	ko_2_ec
K00303	1.5.3.1	ko_2_ec
K00304	1.5.3.1	ko_2_ec
K00305	1.5.3.1	ko_2_ec
K00306	1.5.3.1	ko_2_ec
K00306	1.5.3.7	ko_2_ec
K00307	1.21.3.3	ko_2_ec
K00308	1.5.3.13	ko_2_ec
K00309	1.5.3.10	ko_2_ec
K00310	1.5.4.1	ko_2_ec
K00311	1.5.5.1	ko_2_ec
K00314	1.5.8.3	ko_2_ec
K00315	1.5.8.4	ko_2_ec
K00316	1.5.99.6	ko_2_ec
K00317	1.5.8.1	ko_2_ec
K00317	1.5.8.2	ko_2_ec
K00318	1.5.5.2	ko_2_ec
K00319	1.5.98.1	ko_2_ec
K00320	1.5.98.2	ko_2_ec
K00322	1.6.1.1	ko_2_ec
K00323	1.6.1.2	ko_2_ec
K00323	7.1.1.1	ko_2_ec
K00324	1.6.1.2	ko_2_ec
K00324	7.1.1.1	ko_2_ec
K00325	1.6.1.2	ko_2_ec
K00325	7.1.1.1	ko_2_ec
K00326	1.6.2.2	ko_2_ec
K00327	1.6.2.4	ko_2_ec
K00330	7.1.1.2	ko_2_ec
K00331	7.1.1.2	ko_2_ec
K00332	7.1.1.2	ko_2_ec
K00333	7.1.1.2	ko_2_ec
K00334	7.1.1.2	ko_2_ec
K00335	7.1.1.2	ko_2_ec
K00336	7.1.1.2	ko_2_ec
K00337	7.1.1.2	ko_2_ec
K00338	7.1.1.2	ko_2_ec
K00339	7.1.1.2	ko_2_ec
K00340	7.1.1.2	ko_2_ec
K00341	7.1.1.2	ko_2_ec
K00342	7.1.1.2	ko_2_ec
K00343	7.1.1.2	ko_2_ec
K00344	1.6.5.5	ko_2_ec
K00346	7.2.1.1	ko_2_ec
K00347	7.2.1.1	ko_2_ec
K00348	7.2.1.1	ko_2_ec
K00349	7.2.1.1	ko_2_ec
K00350	7.2.1.1	ko_2_ec
K00351	7.2.1.1	ko_2_ec
K00354	1.6.99.1	ko_2_ec
K00355	1.6.5.2	ko_2_ec
K00357	1.5.1.34	ko_2_ec
K00359	1.6.5.5	ko_2_ec
K00362	1.7.1.15	ko_2_ec
K00363	1.7.1.15	ko_2_ec
K00364	1.7.1.7	ko_2_ec
K00365	1.7.3.3	ko_2_ec
K00366	1.7.7.1	ko_2_ec
K00367	1.7.7.2	ko_2_ec
K00368	1.7.2.1	ko_2_ec
K00370	1.7.5.1	ko_2_ec
K00371	1.7.5.1	ko_2_ec
K00374	1.7.5.1	ko_2_ec
K00376	1.7.2.4	ko_2_ec
K00380	1.8.1.2	ko_2_ec
K00381	1.8.1.2	ko_2_ec
K00382	1.8.1.4	ko_2_ec
K00383	1.8.1.7	ko_2_ec
K00384	1.8.1.9	ko_2_ec
K00386	1.8.2.1	ko_2_ec
K00387	1.8.3.1	ko_2_ec
K00390	1.8.4.8	ko_2_ec
K00390	1.8.4.10	ko_2_ec
K00392	1.8.7.1	ko_2_ec
K00394	1.8.99.2	ko_2_ec
K00395	1.8.99.2	ko_2_ec
K00399	2.8.4.1	ko_2_ec
K00401	2.8.4.1	ko_2_ec
K00402	2.8.4.1	ko_2_ec
K00404	7.1.1.9	ko_2_ec
K00411	7.1.1.8	ko_2_ec
K00422	1.10.3.1	ko_2_ec
K00423	1.10.3.3	ko_2_ec
K00424	7.1.1.7	ko_2_ec
K00425	7.1.1.7	ko_2_ec
K00426	7.1.1.7	ko_2_ec
K00428	1.11.1.5	ko_2_ec
K00430	1.11.1.7	ko_2_ec
K00431	1.11.1.8	ko_2_ec
K00432	1.11.1.9	ko_2_ec
K00433	1.11.1.10	ko_2_ec
K00434	1.11.1.11	ko_2_ec
K00435	1.3.98.5	ko_2_ec
K00436	1.12.1.2	ko_2_ec
K00437	1.12.2.1	ko_2_ec
K00440	1.12.98.1	ko_2_ec
K00441	1.12.98.1	ko_2_ec
K00443	1.12.98.1	ko_2_ec
K00446	1.13.11.2	ko_2_ec
K00448	1.13.11.3	ko_2_ec
K00449	1.13.11.3	ko_2_ec
K00450	1.13.11.4	ko_2_ec
K00451	1.13.11.5	ko_2_ec
K00452	1.13.11.6	ko_2_ec
K00453	1.13.11.11	ko_2_ec
K00454	1.13.11.12	ko_2_ec
K00455	1.13.11.15	ko_2_ec
K00456	1.13.11.20	ko_2_ec
K00457	1.13.11.27	ko_2_ec
K00458	1.13.11.31	ko_2_ec
K00459	1.13.12.16	ko_2_ec
K00460	1.13.11.33	ko_2_ec
K00461	1.13.11.34	ko_2_ec
K00462	1.13.11.39	ko_2_ec
K00463	1.13.11.52	ko_2_ec
K00464	1.13.11.75	ko_2_ec
K00466	1.13.12.3	ko_2_ec
K00467	1.13.12.4	ko_2_ec
K00468	1.13.12.2	ko_2_ec
K00469	1.13.99.1	ko_2_ec
K00471	1.14.11.1	ko_2_ec
K00472	1.14.11.2	ko_2_ec
K00473	1.14.11.4	ko_2_ec
