CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
K00001	R00623	ko_2_reaction
K00001	R00754	ko_2_reaction
K00001	R02124	ko_2_reaction
K00001	R04805	ko_2_reaction
K00001	R04880	ko_2_reaction
K00001	R05233	ko_2_reaction
K00001	R05234	ko_2_reaction
K00001	R06917	ko_2_reaction
K00001	R06927	ko_2_reaction
K00001	R07105	ko_2_reaction
K00001	R08281	ko_2_reaction
K00001	R08306	ko_2_reaction
K00001	R08310	ko_2_reaction
K00002	R00746	ko_2_reaction
K00002	R01041	ko_2_reaction
K00002	R01481	ko_2_reaction
K00002	R05231	ko_2_reaction
K00003	R01773	ko_2_reaction
K00003	R01775	ko_2_reaction
K00004	R02855	ko_2_reaction
K00004	R02946	ko_2_reaction
K00004	R10504	ko_2_reaction
K00005	R01034	ko_2_reaction
K00005	R10715	ko_2_reaction
K00005	R10717	ko_2_reaction
K00006	R00842	ko_2_reaction
K00007	R00868	ko_2_reaction
K00007	R05604	ko_2_reaction
K00008	R00875	ko_2_reaction
K00008	R01896	ko_2_reaction
K00009	R02703	ko_2_reaction
K00010	R01183	ko_2_reaction
K00010	R09951	ko_2_reaction
K00011	R01036	ko_2_reaction
K00011	R01041	ko_2_reaction
K00011	R01093	ko_2_reaction
K00011	R01095	ko_2_reaction
K00011	R01431	ko_2_reaction
K00011	R01758	ko_2_reaction
K00011	R01759	ko_2_reaction
K00011	R01787	ko_2_reaction
K00011	R02531	ko_2_reaction
K00011	R02577	ko_2_reaction
K00011	R04285	ko_2_reaction
K00011	R11764	ko_2_reaction
K00012	R00286	ko_2_reaction
K00013	R01158	ko_2_reaction
K00013	R01163	ko_2_reaction
K00013	R03012	ko_2_reaction
K00014	R02413	ko_2_reaction
K00015	R00717	ko_2_reaction
K00015	R01388	ko_2_reaction
K00016	R00703	ko_2_reaction
K00016	R01000	ko_2_reaction
K00016	R03104	ko_2_reaction
K00018	R00717	ko_2_reaction
K00018	R01388	ko_2_reaction
K00019	R01361	ko_2_reaction
K00020	R05066	ko_2_reaction
K00021	R02082	ko_2_reaction
K00022	R01778	ko_2_reaction
K00022	R01975	ko_2_reaction
K00022	R04203	ko_2_reaction
K00022	R04737	ko_2_reaction
K00022	R04739	ko_2_reaction
K00022	R04741	ko_2_reaction
K00022	R04743	ko_2_reaction
K00022	R04745	ko_2_reaction
K00022	R04748	ko_2_reaction
K00022	R05066	ko_2_reaction
K00022	R06941	ko_2_reaction
K00022	R08094	ko_2_reaction
K00023	R01779	ko_2_reaction
K00023	R01977	ko_2_reaction
K00024	R00342	ko_2_reaction
K00024	R07136	ko_2_reaction
K00025	R00342	ko_2_reaction
K00025	R07136	ko_2_reaction
K00026	R00342	ko_2_reaction
K00026	R07136	ko_2_reaction
K00027	R00214	ko_2_reaction
K00028	R00214	ko_2_reaction
K00029	R00216	ko_2_reaction
K00030	R00709	ko_2_reaction
K00031	R00267	ko_2_reaction
K00031	R00268	ko_2_reaction
K00031	R01899	ko_2_reaction
K00032	R02032	ko_2_reaction
K00032	R02034	ko_2_reaction
K00033	R01528	ko_2_reaction
K00033	R10221	ko_2_reaction
K00034	R01520	ko_2_reaction
K00034	R01521	ko_2_reaction
K00035	R01094	ko_2_reaction
K00035	R01097	ko_2_reaction
K00036	R00835	ko_2_reaction
K00036	R02736	ko_2_reaction
K00036	R10907	ko_2_reaction
K00037	R02476	ko_2_reaction
K00037	R02477	ko_2_reaction
K00037	R04309	ko_2_reaction
K00037	R04310	ko_2_reaction
K00037	R04818	ko_2_reaction
K00037	R04819	ko_2_reaction
K00037	R04824	ko_2_reaction
K00037	R04825	ko_2_reaction
K00037	R04829	ko_2_reaction
K00037	R04830	ko_2_reaction
K00037	R04832	ko_2_reaction
K00037	R04833	ko_2_reaction
K00037	R04835	ko_2_reaction
K00037	R04836	ko_2_reaction
K00037	R04837	ko_2_reaction
K00037	R04838	ko_2_reaction
K00037	R04842	ko_2_reaction
K00037	R04843	ko_2_reaction
K00037	R04845	ko_2_reaction
K00037	R04846	ko_2_reaction
K00037	R08963	ko_2_reaction
K00038	R04831	ko_2_reaction
K00038	R04834	ko_2_reaction
K00038	R04844	ko_2_reaction
K00038	R04847	ko_2_reaction
K00039	R01895	ko_2_reaction
K00040	R02454	ko_2_reaction
K00041	R02555	ko_2_reaction
K00042	R01745	ko_2_reaction
K00042	R01747	ko_2_reaction
K00043	R01644	ko_2_reaction
K00044	R02352	ko_2_reaction
K00044	R02353	ko_2_reaction
K00044	R04681	ko_2_reaction
K00044	R04682	ko_2_reaction
K00044	R08945	ko_2_reaction
K00044	R08980	ko_2_reaction
K00045	R00868	ko_2_reaction
K00048	R01781	ko_2_reaction
K00048	R02257	ko_2_reaction
K00049	R00465	ko_2_reaction
K00049	R01388	ko_2_reaction
K00049	R01392	ko_2_reaction
K00049	R02527	ko_2_reaction
K00050	R01388	ko_2_reaction
K00050	R01392	ko_2_reaction
K00051	R00343	ko_2_reaction
K00052	R00994	ko_2_reaction
K00052	R04426	ko_2_reaction
K00052	R10052	ko_2_reaction
K00053	R03051	ko_2_reaction
K00053	R04439	ko_2_reaction
K00053	R04440	ko_2_reaction
K00053	R05068	ko_2_reaction
K00053	R05069	ko_2_reaction
K00053	R05071	ko_2_reaction
K00054	R02081	ko_2_reaction
K00055	R01763	ko_2_reaction
K00055	R02611	ko_2_reaction
K00055	R04304	ko_2_reaction
K00055	R05282	ko_2_reaction
K00055	R05347	ko_2_reaction
K00055	R05348	ko_2_reaction
