CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
M00001	C00267	belongs_2_module
M00001	C00668	belongs_2_module
M00001	C05345	belongs_2_module
M00001	C05378	belongs_2_module
M00001	C00111	belongs_2_module
M00001	C00118	belongs_2_module
M00001	C00236	belongs_2_module
M00001	C00197	belongs_2_module
M00001	C00631	belongs_2_module
M00001	C00074	belongs_2_module
M00001	C00022	belongs_2_module
M00002	C00111	belongs_2_module
M00002	C00118	belongs_2_module
M00002	C00236	belongs_2_module
M00002	C00197	belongs_2_module
M00002	C00631	belongs_2_module
M00002	C00074	belongs_2_module
M00002	C00022	belongs_2_module
M00003	C00036	belongs_2_module
M00003	C00074	belongs_2_module
M00003	C00631	belongs_2_module
M00003	C00197	belongs_2_module
M00003	C00236	belongs_2_module
M00003	C00118	belongs_2_module
M00003	C00111	belongs_2_module
M00003	C05378	belongs_2_module
M00003	C05345	belongs_2_module
M00004	C01172	belongs_2_module
M00004	C01236	belongs_2_module
M00004	C00345	belongs_2_module
M00004	C00199	belongs_2_module
M00004	C00231	belongs_2_module
M00004	C00117	belongs_2_module
M00004	C05382	belongs_2_module
M00004	C00118	belongs_2_module
M00004	C00279	belongs_2_module
M00004	C05345	belongs_2_module
M00004	C00668	belongs_2_module
M00005	C00117	belongs_2_module
M00005	C00119	belongs_2_module
M00006	C01172	belongs_2_module
M00006	C01236	belongs_2_module
M00006	C00345	belongs_2_module
M00006	C00199	belongs_2_module
M00007	C05345	belongs_2_module
M00007	C00118	belongs_2_module
M00007	C00279	belongs_2_module
M00007	C00231	belongs_2_module
M00007	C05382	belongs_2_module
M00007	C00117	belongs_2_module
M00007	C00199	belongs_2_module
M00008	C01172	belongs_2_module
M00008	C01236	belongs_2_module
M00008	C00345	belongs_2_module
M00008	C04442	belongs_2_module
M00008	C00118	belongs_2_module
M00008	C00022	belongs_2_module
M00009	C00024	belongs_2_module
M00009	C00036	belongs_2_module
M00009	C00158	belongs_2_module
M00009	C00311	belongs_2_module
M00009	C00026	belongs_2_module
M00009	C15972	belongs_2_module
M00009	C16254	belongs_2_module
M00009	C00091	belongs_2_module
M00009	C15973	belongs_2_module
M00009	C00042	belongs_2_module
M00009	C00122	belongs_2_module
M00009	C00149	belongs_2_module
M00010	C00036	belongs_2_module
M00010	C00024	belongs_2_module
M00010	C00158	belongs_2_module
M00010	C00311	belongs_2_module
M00010	C00026	belongs_2_module
M00011	C00026	belongs_2_module
M00011	C15972	belongs_2_module
M00011	C16254	belongs_2_module
M00011	C00091	belongs_2_module
M00011	C15973	belongs_2_module
M00011	C00042	belongs_2_module
M00011	C00122	belongs_2_module
M00011	C00149	belongs_2_module
M00011	C00036	belongs_2_module
M00012	C00024	belongs_2_module
M00012	C00036	belongs_2_module
M00012	C00158	belongs_2_module
M00012	C00417	belongs_2_module
M00012	C00311	belongs_2_module
M00012	C00048	belongs_2_module
M00012	C00149	belongs_2_module
M00013	C00100	belongs_2_module
M00013	C00894	belongs_2_module
M00013	C05668	belongs_2_module
M00013	C01013	belongs_2_module
M00013	C00222	belongs_2_module
M00013	C00024	belongs_2_module
M00014	C00029	belongs_2_module
M00014	C00167	belongs_2_module
M00014	C05385	belongs_2_module
M00014	C00191	belongs_2_module
M00014	C03033	belongs_2_module
M00014	C00800	belongs_2_module
M00014	C00618	belongs_2_module
M00014	C00312	belongs_2_module
M00014	C00379	belongs_2_module
M00014	C00310	belongs_2_module
M00014	C00231	belongs_2_module
M00015	C00025	belongs_2_module
M00015	C03287	belongs_2_module
M00015	C01165	belongs_2_module
M00015	C03912	belongs_2_module
M00015	C00148	belongs_2_module
M00016	C00049	belongs_2_module
M00016	C03082	belongs_2_module
M00016	C00441	belongs_2_module
M00016	C20258	belongs_2_module
M00016	C03972	belongs_2_module
M00016	C04462	belongs_2_module
M00016	C04421	belongs_2_module
M00016	C00666	belongs_2_module
M00016	C00680	belongs_2_module
M00016	C00047	belongs_2_module
M00017	C00049	belongs_2_module
M00017	C03082	belongs_2_module
M00017	C00441	belongs_2_module
M00017	C00263	belongs_2_module
M00017	C01118	belongs_2_module
M00017	C02291	belongs_2_module
M00017	C00155	belongs_2_module
M00017	C00073	belongs_2_module
M00018	C00049	belongs_2_module
M00018	C03082	belongs_2_module
M00018	C00441	belongs_2_module
M00018	C00263	belongs_2_module
M00018	C01102	belongs_2_module
M00018	C00188	belongs_2_module
M00019	C00022	belongs_2_module
M00019	C06010	belongs_2_module
M00019	C04181	belongs_2_module
M00019	C04272	belongs_2_module
M00019	C00141	belongs_2_module
M00019	C00183	belongs_2_module
M00019	C00109	belongs_2_module
M00019	C06006	belongs_2_module
M00019	C14463	belongs_2_module
M00019	C06007	belongs_2_module
M00019	C00671	belongs_2_module
M00019	C00407	belongs_2_module
M00020	C00197	belongs_2_module
M00020	C03232	belongs_2_module
M00020	C01005	belongs_2_module
M00020	C00065	belongs_2_module
M00021	C00065	belongs_2_module
M00021	C00979	belongs_2_module
M00021	C00283	belongs_2_module
M00021	C00097	belongs_2_module
M00022	C00074	belongs_2_module
M00022	C00279	belongs_2_module
M00022	C04691	belongs_2_module
M00022	C00944	belongs_2_module
M00022	C02637	belongs_2_module
M00022	C00493	belongs_2_module
M00022	C03175	belongs_2_module
M00022	C01269	belongs_2_module
M00022	C00251	belongs_2_module
M00023	C00251	belongs_2_module
M00023	C00108	belongs_2_module
M00023	C04302	belongs_2_module
M00023	C01302	belongs_2_module
M00023	C03506	belongs_2_module
M00023	C00078	belongs_2_module
M00024	C00251	belongs_2_module
M00024	C00254	belongs_2_module
M00024	C00166	belongs_2_module
M00024	C00079	belongs_2_module
M00025	C00251	belongs_2_module
M00025	C00254	belongs_2_module
M00025	C01179	belongs_2_module
M00025	C00082	belongs_2_module
M00026	C00119	belongs_2_module
M00026	C02739	belongs_2_module
M00026	C02741	belongs_2_module
M00026	C04896	belongs_2_module
M00026	C04916	belongs_2_module
M00026	C04666	belongs_2_module
M00026	C01267	belongs_2_module
M00026	C01100	belongs_2_module
M00026	C00860	belongs_2_module
M00026	C01929	belongs_2_module
M00026	C00135	belongs_2_module
M00027	C00025	belongs_2_module
M00027	C00334	belongs_2_module
M00027	C00232	belongs_2_module
M00027	C00042	belongs_2_module
M00028	C00025	belongs_2_module
M00028	C00624	belongs_2_module
M00028	C04133	belongs_2_module
M00028	C01250	belongs_2_module
M00028	C00437	belongs_2_module
M00028	C00077	belongs_2_module
M00029	C00014	belongs_2_module
M00029	C00169	belongs_2_module
M00029	C00077	belongs_2_module
M00029	C00327	belongs_2_module
M00029	C00049	belongs_2_module
M00029	C03406	belongs_2_module
M00029	C00062	belongs_2_module
M00029	C00122	belongs_2_module
M00029	C00086	belongs_2_module
M00030	C00026	belongs_2_module
M00030	C00024	belongs_2_module
M00030	C01251	belongs_2_module
M00030	C04002	belongs_2_module
M00030	C05662	belongs_2_module
M00030	C00322	belongs_2_module
M00030	C00956	belongs_2_module
M00030	C05560	belongs_2_module
M00030	C05535	belongs_2_module
M00030	C04076	belongs_2_module
M00030	C00449	belongs_2_module
M00030	C00047	belongs_2_module
M00031	C00956	belongs_2_module
M00031	C19886	belongs_2_module
M00031	C19887	belongs_2_module
M00031	C19888	belongs_2_module
M00031	C19889	belongs_2_module
M00031	C00047	belongs_2_module
M00032	C00047	belongs_2_module
M00032	C00449	belongs_2_module
M00032	C04076	belongs_2_module
M00032	C00956	belongs_2_module
M00032	C00322	belongs_2_module
M00032	C00527	belongs_2_module
M00032	C00877	belongs_2_module
M00032	C01144	belongs_2_module
M00032	C00332	belongs_2_module
M00033	C00049	belongs_2_module
M00033	C03082	belongs_2_module
M00033	C00441	belongs_2_module
M00033	C03283	belongs_2_module
M00033	C06442	belongs_2_module
M00033	C06231	belongs_2_module
M00034	C00073	belongs_2_module
M00034	C00019	belongs_2_module
M00034	C01137	belongs_2_module
M00034	C00170	belongs_2_module
M00034	C03089	belongs_2_module
M00034	C04188	belongs_2_module
M00034	C04582	belongs_2_module
M00034	C15650	belongs_2_module
M00034	C15651	belongs_2_module
M00034	C15606	belongs_2_module
M00034	C01180	belongs_2_module
M00035	C00073	belongs_2_module
M00035	C00019	belongs_2_module
M00035	C00021	belongs_2_module
M00035	C00155	belongs_2_module
M00035	C00065	belongs_2_module
M00035	C02291	belongs_2_module
M00036	C00123	belongs_2_module
M00036	C00233	belongs_2_module
M00036	C15972	belongs_2_module
M00036	C15975	belongs_2_module
M00036	C02939	belongs_2_module
M00036	C15973	belongs_2_module
M00036	C03069	belongs_2_module
M00036	C03231	belongs_2_module
M00036	C00356	belongs_2_module
M00036	C00164	belongs_2_module
M00037	C00078	belongs_2_module
M00037	C00643	belongs_2_module
M00037	C00780	belongs_2_module
M00037	C00978	belongs_2_module
M00037	C01598	belongs_2_module
M00038	C00078	belongs_2_module
M00038	C02700	belongs_2_module
M00038	C00328	belongs_2_module
M00038	C03227	belongs_2_module
M00038	C00632	belongs_2_module
M00038	C04409	belongs_2_module
M00038	C03824	belongs_2_module
M00038	C02220	belongs_2_module
M00039	C00079	belongs_2_module
M00039	C00423	belongs_2_module
M00039	C00811	belongs_2_module
M00039	C00082	belongs_2_module
M00039	C00223	belongs_2_module
M00039	C05608	belongs_2_module
M00039	C02646	belongs_2_module
M00039	C02947	belongs_2_module
M00039	C10434	belongs_2_module
M00039	C00323	belongs_2_module
M00039	C00406	belongs_2_module
M00039	C02666	belongs_2_module
M00039	C00590	belongs_2_module
M00039	C12204	belongs_2_module
M00039	C05610	belongs_2_module
M00039	C02325	belongs_2_module
M00040	C00254	belongs_2_module
M00040	C00826	belongs_2_module
M00040	C00082	belongs_2_module
M00042	C00082	belongs_2_module
M00042	C00355	belongs_2_module
M00042	C03758	belongs_2_module
M00042	C00547	belongs_2_module
M00042	C00788	belongs_2_module
M00043	C00082	belongs_2_module
M00043	C02515	belongs_2_module
M00043	C01060	belongs_2_module
M00043	C02465	belongs_2_module
M00044	C00082	belongs_2_module
M00044	C01179	belongs_2_module
M00044	C00544	belongs_2_module
M00044	C01036	belongs_2_module
M00044	C01061	belongs_2_module
M00044	C00164	belongs_2_module
M00044	C00122	belongs_2_module
M00045	C00135	belongs_2_module
M00045	C00785	belongs_2_module
M00045	C03680	belongs_2_module
M00045	C00439	belongs_2_module
M00045	C00025	belongs_2_module
M00045	C01045	belongs_2_module
M00046	C00106	belongs_2_module
M00046	C00429	belongs_2_module
M00046	C02642	belongs_2_module
M00046	C00099	belongs_2_module
M00046	C00178	belongs_2_module
M00046	C21028	belongs_2_module
M00046	C21029	belongs_2_module
M00046	C01205	belongs_2_module
M00047	C00062	belongs_2_module
M00047	C00581	belongs_2_module
M00047	C00300	belongs_2_module
M00047	C02305	belongs_2_module
M00047	C00791	belongs_2_module
M00048	C00119	belongs_2_module
M00048	C00064	belongs_2_module
M00048	C03090	belongs_2_module
M00048	C03838	belongs_2_module
M00048	C04376	belongs_2_module
M00048	C04640	belongs_2_module
M00048	C03373	belongs_2_module
M00048	C04751	belongs_2_module
M00048	C15667	belongs_2_module
M00048	C04823	belongs_2_module
M00048	C04677	belongs_2_module
M00048	C04734	belongs_2_module
M00048	C00130	belongs_2_module
M00049	C00130	belongs_2_module
M00049	C03794	belongs_2_module
M00049	C00020	belongs_2_module
M00049	C00008	belongs_2_module
M00049	C00002	belongs_2_module
M00050	C00130	belongs_2_module
M00050	C00655	belongs_2_module
M00050	C00144	belongs_2_module
M00050	C00035	belongs_2_module
M00050	C00044	belongs_2_module
M00051	C00064	belongs_2_module
M00051	C00169	belongs_2_module
M00051	C00438	belongs_2_module
M00051	C00337	belongs_2_module
M00051	C00295	belongs_2_module
M00051	C00119	belongs_2_module
M00051	C01103	belongs_2_module
M00051	C00105	belongs_2_module
M00052	C00105	belongs_2_module
M00052	C00015	belongs_2_module
M00052	C00075	belongs_2_module
M00052	C00063	belongs_2_module
M00052	C00112	belongs_2_module
M00053	C00112	belongs_2_module
M00053	C00705	belongs_2_module
M00053	C00458	belongs_2_module
M00053	C00063	belongs_2_module
M00053	C00460	belongs_2_module
M00053	C00365	belongs_2_module
M00053	C00364	belongs_2_module
M00053	C00363	belongs_2_module
M00053	C00459	belongs_2_module
M00055	C00110	belongs_2_module
M00055	C01246	belongs_2_module
