CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
M00001	2.7.1.1	belongs_2_module
M00001	2.7.1.2	belongs_2_module
M00001	2.7.1.63	belongs_2_module
M00001	2.7.1.147	belongs_2_module
M00001	2.7.1.146	belongs_2_module
M00001	5.3.1.9	belongs_2_module
M00001	2.2.1.2	belongs_2_module
M00001	5.3.1.8	belongs_2_module
M00001	2.7.1.11	belongs_2_module
M00001	2.7.1.90	belongs_2_module
M00001	4.1.2.13	belongs_2_module
M00001	2.2.1.11	belongs_2_module
M00001	2.2.1.10	belongs_2_module
M00001	5.3.1.1	belongs_2_module
M00001	1.2.1.12	belongs_2_module
M00001	1.2.1.59	belongs_2_module
M00001	2.7.2.3	belongs_2_module
M00001	1.2.7.6	belongs_2_module
M00001	5.4.2.11	belongs_2_module
M00001	5.4.2.12	belongs_2_module
M00001	4.2.1.11	belongs_2_module
M00001	2.7.1.40	belongs_2_module
M00002	5.3.1.1	belongs_2_module
M00002	1.2.1.12	belongs_2_module
M00002	1.2.1.59	belongs_2_module
M00002	2.7.2.3	belongs_2_module
M00002	1.2.7.6	belongs_2_module
M00002	5.4.2.11	belongs_2_module
M00002	5.4.2.12	belongs_2_module
M00002	4.2.1.11	belongs_2_module
M00002	2.7.1.40	belongs_2_module
M00003	4.1.1.32	belongs_2_module
M00003	4.1.1.49	belongs_2_module
M00003	4.2.1.11	belongs_2_module
M00003	5.4.2.11	belongs_2_module
M00003	5.4.2.12	belongs_2_module
M00003	2.7.2.3	belongs_2_module
M00003	1.2.1.12	belongs_2_module
M00003	1.2.1.59	belongs_2_module
M00003	5.3.1.1	belongs_2_module
M00003	4.1.2.13	belongs_2_module
M00003	3.1.3.11	belongs_2_module
M00003	3.1.3.37	belongs_2_module
M00004	1.1.1.47	belongs_2_module
M00004	3.1.1.31	belongs_2_module
M00004	1.1.1.49	belongs_2_module
M00004	1.1.1.363	belongs_2_module
M00004	1.1.1.388	belongs_2_module
M00004	1.1.1.44	belongs_2_module
M00004	1.1.1.343	belongs_2_module
M00004	5.1.3.1	belongs_2_module
M00004	5.3.1.6	belongs_2_module
M00004	2.2.1.1	belongs_2_module
M00004	2.2.1.2	belongs_2_module
M00004	5.3.1.9	belongs_2_module
M00004	5.3.1.8	belongs_2_module
M00005	2.7.6.1	belongs_2_module
M00006	1.1.1.47	belongs_2_module
M00006	3.1.1.31	belongs_2_module
M00006	1.1.1.49	belongs_2_module
M00006	1.1.1.363	belongs_2_module
M00006	1.1.1.388	belongs_2_module
M00006	1.1.1.44	belongs_2_module
M00006	1.1.1.343	belongs_2_module
M00007	2.2.1.1	belongs_2_module
M00007	2.2.1.2	belongs_2_module
M00007	5.3.1.9	belongs_2_module
M00007	5.1.3.1	belongs_2_module
M00007	5.3.1.6	belongs_2_module
M00008	1.1.1.49	belongs_2_module
M00008	1.1.1.363	belongs_2_module
M00008	3.1.1.31	belongs_2_module
M00008	4.2.1.12	belongs_2_module
M00008	4.1.2.14	belongs_2_module
M00008	4.1.3.42	belongs_2_module
M00009	2.3.3.1	belongs_2_module
M00009	2.3.3.3	belongs_2_module
M00009	4.2.1.3	belongs_2_module
M00009	4.2.1.99	belongs_2_module
M00009	1.1.1.42	belongs_2_module
M00009	1.1.1.41	belongs_2_module
M00009	1.2.4.2	belongs_2_module
M00009	2.3.1.61	belongs_2_module
M00009	1.8.1.4	belongs_2_module
M00009	1.2.7.3	belongs_2_module
M00009	1.2.7.11	belongs_2_module
M00009	6.2.1.5	belongs_2_module
M00009	6.2.1.4	belongs_2_module
M00009	2.8.3.18	belongs_2_module
M00009	1.3.5.1	belongs_2_module
M00009	1.3.5.4	belongs_2_module
M00009	4.2.1.2	belongs_2_module
M00009	1.1.1.37	belongs_2_module
M00009	1.1.5.4	belongs_2_module
M00010	2.3.3.1	belongs_2_module
M00010	2.3.3.3	belongs_2_module
M00010	4.2.1.3	belongs_2_module
M00010	4.2.1.99	belongs_2_module
M00010	1.1.1.42	belongs_2_module
M00010	1.1.1.41	belongs_2_module
M00011	1.2.4.2	belongs_2_module
M00011	2.3.1.61	belongs_2_module
M00011	1.8.1.4	belongs_2_module
M00011	1.2.7.3	belongs_2_module
M00011	1.2.7.11	belongs_2_module
M00011	6.2.1.5	belongs_2_module
M00011	6.2.1.4	belongs_2_module
M00011	2.8.3.18	belongs_2_module
M00011	1.3.5.1	belongs_2_module
M00011	1.3.5.4	belongs_2_module
M00011	4.2.1.2	belongs_2_module
M00011	1.1.1.37	belongs_2_module
M00011	1.1.5.4	belongs_2_module
M00012	2.3.3.1	belongs_2_module
M00012	4.2.1.3	belongs_2_module
M00012	4.2.1.99	belongs_2_module
M00012	4.1.3.1	belongs_2_module
M00012	2.3.3.9	belongs_2_module
M00012	4.1.3.24	belongs_2_module
M00012	3.1.2.30	belongs_2_module
M00012	1.1.1.37	belongs_2_module
M00013	1.3.8.1	belongs_2_module
M00013	1.3.3.6	belongs_2_module
M00013	4.2.1.17	belongs_2_module
M00013	1.1.1.35	belongs_2_module
M00013	5.3.3.8	belongs_2_module
M00013	1.1.1.211	belongs_2_module
M00013	3.1.2.4	belongs_2_module
M00013	1.1.1.31	belongs_2_module
M00013	1.1.1.59	belongs_2_module
M00013	1.2.1.18	belongs_2_module
M00013	1.2.1.27	belongs_2_module
M00014	1.1.1.22	belongs_2_module
M00014	2.7.7.64	belongs_2_module
M00014	2.7.1.43	belongs_2_module
M00014	2.4.1.17	belongs_2_module
M00014	3.2.1.31	belongs_2_module
M00014	1.1.1.2	belongs_2_module
M00014	1.1.1.45	belongs_2_module
M00014	1.1.1.10	belongs_2_module
M00014	1.1.1.9	belongs_2_module
M00014	1.1.1.14	belongs_2_module
M00014	2.7.1.17	belongs_2_module
M00015	2.7.2.11	belongs_2_module
M00015	1.2.1.41	belongs_2_module
M00015	1.5.1.2	belongs_2_module
M00016	2.7.2.4	belongs_2_module
M00016	1.1.1.3	belongs_2_module
M00016	4.1.1.20	belongs_2_module
M00016	1.2.1.11	belongs_2_module
M00016	4.3.3.7	belongs_2_module
M00016	1.17.1.8	belongs_2_module
M00016	2.3.1.117	belongs_2_module
M00016	2.6.1.11	belongs_2_module
M00016	2.6.1.17	belongs_2_module
M00016	3.5.1.18	belongs_2_module
M00016	5.1.1.7	belongs_2_module
M00017	2.7.2.4	belongs_2_module
M00017	1.1.1.3	belongs_2_module
M00017	1.2.1.11	belongs_2_module
M00017	2.3.1.46	belongs_2_module
M00017	2.3.1.31	belongs_2_module
M00017	2.5.1.48	belongs_2_module
M00017	4.4.1.13	belongs_2_module
M00017	2.1.1.13	belongs_2_module
M00017	1.5.1.20	belongs_2_module
M00017	2.1.1.14	belongs_2_module
M00018	2.7.2.4	belongs_2_module
M00018	1.1.1.3	belongs_2_module
M00018	4.1.1.20	belongs_2_module
M00018	1.2.1.11	belongs_2_module
M00018	2.7.1.39	belongs_2_module
M00018	3.1.3.3	belongs_2_module
M00018	4.2.3.1	belongs_2_module
M00019	2.2.1.6	belongs_2_module
M00019	1.1.1.86	belongs_2_module
M00019	4.2.1.9	belongs_2_module
M00019	2.6.1.42	belongs_2_module
M00020	1.1.1.95	belongs_2_module
M00020	1.1.1.399	belongs_2_module
M00020	2.6.1.52	belongs_2_module
M00020	3.1.3.3	belongs_2_module
M00020	2.7.1.39	belongs_2_module
M00021	2.3.1.30	belongs_2_module
M00021	2.5.1.47	belongs_2_module
M00021	4.4.1.9	belongs_2_module
M00021	2.5.1.49	belongs_2_module
M00022	2.5.1.54	belongs_2_module
M00022	5.4.99.5	belongs_2_module
M00022	4.2.3.4	belongs_2_module
M00022	2.7.1.71	belongs_2_module
M00022	4.2.1.10	belongs_2_module
M00022	1.1.1.25	belongs_2_module
M00022	2.5.1.19	belongs_2_module
M00022	1.3.1.43	belongs_2_module
M00022	1.3.1.12	belongs_2_module
M00022	4.2.3.5	belongs_2_module
M00023	4.1.3.27	belongs_2_module
M00023	4.1.1.48	belongs_2_module
M00023	5.3.1.24	belongs_2_module
M00023	2.4.2.18	belongs_2_module
M00023	5.3.1.16	belongs_2_module
M00023	4.2.1.20	belongs_2_module
M00024	5.4.99.5	belongs_2_module
M00024	1.3.1.12	belongs_2_module
M00024	2.5.1.54	belongs_2_module
M00024	4.2.1.51	belongs_2_module
M00024	4.2.1.91	belongs_2_module
M00024	2.6.1.57	belongs_2_module
M00024	2.6.1.39	belongs_2_module
M00024	2.6.1.27	belongs_2_module
M00024	2.6.1.5	belongs_2_module
M00025	5.4.99.5	belongs_2_module
M00025	4.2.1.51	belongs_2_module
M00025	2.5.1.54	belongs_2_module
M00025	1.3.1.12	belongs_2_module
M00025	2.6.1.5	belongs_2_module
M00025	2.6.1.57	belongs_2_module
M00025	2.6.1.39	belongs_2_module
M00025	2.6.1.27	belongs_2_module
M00026	2.4.2.17	belongs_2_module
M00026	3.6.1.31	belongs_2_module
M00026	3.5.4.19	belongs_2_module
M00026	1.1.1.23	belongs_2_module
M00026	5.3.1.16	belongs_2_module
M00026	5.3.1.24	belongs_2_module
M00026	4.3.2.10	belongs_2_module
M00026	4.2.1.19	belongs_2_module
M00026	2.6.1.9	belongs_2_module
M00026	3.1.3.15	belongs_2_module
M00026	3.1.3.25	belongs_2_module
M00026	3.1.3.93	belongs_2_module
M00027	4.1.1.15	belongs_2_module
M00027	2.6.1.19	belongs_2_module
M00027	2.6.1.22	belongs_2_module
M00027	2.6.1.48	belongs_2_module
M00027	2.6.1.96	belongs_2_module
M00027	1.2.1.16	belongs_2_module
M00027	1.2.1.79	belongs_2_module
M00027	1.2.1.20	belongs_2_module
M00027	1.2.1.24	belongs_2_module
M00028	2.3.1.1	belongs_2_module
M00028	4.3.2.1	belongs_2_module
M00028	2.3.1.35	belongs_2_module
M00028	2.7.2.8	belongs_2_module
M00028	1.2.1.38	belongs_2_module
M00028	2.6.1.11	belongs_2_module
M00028	2.6.1.17	belongs_2_module
M00028	3.5.1.16	belongs_2_module
M00028	3.5.1.14	belongs_2_module
M00029	6.3.4.16	belongs_2_module
M00029	2.1.3.3	belongs_2_module
M00029	6.3.4.5	belongs_2_module
M00029	4.3.2.1	belongs_2_module
M00029	2.3.1.1	belongs_2_module
M00029	3.5.3.1	belongs_2_module
