CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
M00055	G00001	belongs_2_module
M00055	G00002	belongs_2_module
M00055	G00003	belongs_2_module
M00055	G00004	belongs_2_module
M00055	G00005	belongs_2_module
M00055	G10526	belongs_2_module
M00055	G00006	belongs_2_module
M00055	G10595	belongs_2_module
M00055	G10596	belongs_2_module
M00055	G10597	belongs_2_module
M00055	G00007	belongs_2_module
M00055	G10598	belongs_2_module
M00055	G10599	belongs_2_module
M00055	G00008	belongs_2_module
M00056	G10611	belongs_2_module
M00056	G00023	belongs_2_module
M00056	G00024	belongs_2_module
M00056	G00025	belongs_2_module
M00056	G00028	belongs_2_module
M00056	G00029	belongs_2_module
M00056	G00031	belongs_2_module
M00057	G00154	belongs_2_module
M00057	G00155	belongs_2_module
M00057	G00156	belongs_2_module
M00057	G00157	belongs_2_module
M00058	G00157	belongs_2_module
M00058	G00158	belongs_2_module
M00058	G00159	belongs_2_module
M00058	G00160	belongs_2_module
M00059	G00157	belongs_2_module
M00059	G00162	belongs_2_module
M00059	G00163	belongs_2_module
M00059	G00164	belongs_2_module
M00065	G00143	belongs_2_module
M00065	G00144	belongs_2_module
M00065	G00145	belongs_2_module
M00065	G00146	belongs_2_module
M00065	G13128	belongs_2_module
M00065	G00148	belongs_2_module
M00065	G00149	belongs_2_module
M00065	G13044	belongs_2_module
M00068	G00092	belongs_2_module
M00068	G00093	belongs_2_module
M00068	G00094	belongs_2_module
M00069	G00092	belongs_2_module
M00069	G00108	belongs_2_module
M00069	G00113	belongs_2_module
M00069	G00118	belongs_2_module
M00070	G00092	belongs_2_module
M00070	G00036	belongs_2_module
M00070	G00037	belongs_2_module
M00071	G00092	belongs_2_module
M00071	G00036	belongs_2_module
M00071	G00050	belongs_2_module
M00072	G00008	belongs_2_module
M00072	G00009	belongs_2_module
M00073	G00009	belongs_2_module
M00073	G00171	belongs_2_module
M00073	G00010	belongs_2_module
M00073	G00011	belongs_2_module
M00073	G10694	belongs_2_module
M00073	G00012	belongs_2_module
M00074	G00171	belongs_2_module
M00074	G00010	belongs_2_module
M00074	G00011	belongs_2_module
M00074	G10694	belongs_2_module
M00074	G00012	belongs_2_module
M00074	G01813	belongs_2_module
M00075	G00013	belongs_2_module
M00075	G00014	belongs_2_module
M00075	G00015	belongs_2_module
M00075	G00019	belongs_2_module
M00075	G00020	belongs_2_module
M00075	G00021	belongs_2_module
M00075	G00022	belongs_2_module
M00075	G00016	belongs_2_module
M00075	G00017	belongs_2_module
M00075	G00018	belongs_2_module
M00076	G13041	belongs_2_module
M00076	G13042	belongs_2_module
M00076	G12336	belongs_2_module
M00076	G13043	belongs_2_module
M00076	G00872	belongs_2_module
M00077	G12336	belongs_2_module
M00077	G13043	belongs_2_module
M00077	G00872	belongs_2_module
M00078	G13034	belongs_2_module
M00078	G13035	belongs_2_module
M00078	G13036	belongs_2_module
M00078	G13037	belongs_2_module
M00078	G13038	belongs_2_module
M00078	G13039	belongs_2_module
M00078	G13040	belongs_2_module
M00078	G09660	belongs_2_module
M00078	G02632	belongs_2_module
M00079	G01945	belongs_2_module
M00079	G01977	belongs_2_module
M00079	G13073	belongs_2_module
M00079	G13074	belongs_2_module
M00079	G01391	belongs_2_module
M00872	G10617	belongs_2_module
M00872	G13027	belongs_2_module
M00872	G13087	belongs_2_module
M00872	G13091	belongs_2_module
M00872	G13092	belongs_2_module
M00872	G13093	belongs_2_module
M00872	G13094	belongs_2_module
M00872	G13095	belongs_2_module
M00872	G13096	belongs_2_module
M00872	G13097	belongs_2_module
M00872	G13098	belongs_2_module
