CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
M00001	K00844	belongs_2_module
M00001	K12407	belongs_2_module
M00001	K00845	belongs_2_module
M00001	K00886	belongs_2_module
M00001	K08074	belongs_2_module
M00001	K00918	belongs_2_module
M00001	K01810	belongs_2_module
M00001	K06859	belongs_2_module
M00001	K13810	belongs_2_module
M00001	K15916	belongs_2_module
M00001	K00850	belongs_2_module
M00001	K16370	belongs_2_module
M00001	K21071	belongs_2_module
M00001	K00918	belongs_2_module
M00001	K01623	belongs_2_module
M00001	K01624	belongs_2_module
M00001	K11645	belongs_2_module
M00001	K16305	belongs_2_module
M00001	K16306	belongs_2_module
M00001	K01803	belongs_2_module
M00001	K00134	belongs_2_module
M00001	K00150	belongs_2_module
M00001	K00927	belongs_2_module
M00001	K11389	belongs_2_module
M00001	K01834	belongs_2_module
M00001	K15633	belongs_2_module
M00001	K15634	belongs_2_module
M00001	K15635	belongs_2_module
M00001	K01689	belongs_2_module
M00001	K00873	belongs_2_module
M00001	K12406	belongs_2_module
M00002	K01803	belongs_2_module
M00002	K00134	belongs_2_module
M00002	K00150	belongs_2_module
M00002	K00927	belongs_2_module
M00002	K11389	belongs_2_module
M00002	K01834	belongs_2_module
M00002	K15633	belongs_2_module
M00002	K15634	belongs_2_module
M00002	K15635	belongs_2_module
M00002	K01689	belongs_2_module
M00002	K00873	belongs_2_module
M00002	K12406	belongs_2_module
M00003	K01596	belongs_2_module
M00003	K01610	belongs_2_module
M00003	K01689	belongs_2_module
M00003	K01834	belongs_2_module
M00003	K15633	belongs_2_module
M00003	K15634	belongs_2_module
M00003	K15635	belongs_2_module
M00003	K00927	belongs_2_module
M00003	K00134	belongs_2_module
M00003	K00150	belongs_2_module
M00003	K01803	belongs_2_module
M00003	K01623	belongs_2_module
M00003	K01624	belongs_2_module
M00003	K11645	belongs_2_module
M00003	K03841	belongs_2_module
M00003	K02446	belongs_2_module
M00003	K11532	belongs_2_module
M00003	K01086	belongs_2_module
M00003	K04041	belongs_2_module
M00003	K01622	belongs_2_module
M00004	K13937	belongs_2_module
M00004	K00036	belongs_2_module
M00004	K19243	belongs_2_module
M00004	K01057	belongs_2_module
M00004	K07404	belongs_2_module
M00004	K00033	belongs_2_module
M00004	K01783	belongs_2_module
M00004	K01807	belongs_2_module
M00004	K01808	belongs_2_module
M00004	K00615	belongs_2_module
M00004	K00616	belongs_2_module
M00004	K01810	belongs_2_module
M00004	K06859	belongs_2_module
M00004	K13810	belongs_2_module
M00004	K15916	belongs_2_module
M00005	K00948	belongs_2_module
M00006	K13937	belongs_2_module
M00006	K00036	belongs_2_module
M00006	K19243	belongs_2_module
M00006	K01057	belongs_2_module
M00006	K07404	belongs_2_module
M00006	K00033	belongs_2_module
M00007	K00615	belongs_2_module
M00007	K00616	belongs_2_module
M00007	K13810	belongs_2_module
M00007	K01783	belongs_2_module
M00007	K01807	belongs_2_module
M00007	K01808	belongs_2_module
M00008	K00036	belongs_2_module
M00008	K01057	belongs_2_module
M00008	K07404	belongs_2_module
M00008	K01690	belongs_2_module
M00008	K01625	belongs_2_module
M00009	K01647	belongs_2_module
M00009	K05942	belongs_2_module
M00009	K01681	belongs_2_module
M00009	K01682	belongs_2_module
M00009	K00031	belongs_2_module
M00009	K00030	belongs_2_module
M00009	K00164	belongs_2_module
M00009	K00658	belongs_2_module
M00009	K00382	belongs_2_module
M00009	K00174	belongs_2_module
M00009	K00175	belongs_2_module
M00009	K00177	belongs_2_module
M00009	K00176	belongs_2_module
M00009	K01902	belongs_2_module
M00009	K01903	belongs_2_module
M00009	K01899	belongs_2_module
M00009	K01900	belongs_2_module
M00009	K18118	belongs_2_module
M00009	K00234	belongs_2_module
M00009	K00235	belongs_2_module
M00009	K00236	belongs_2_module
M00009	K00237	belongs_2_module
M00009	K00239	belongs_2_module
M00009	K00240	belongs_2_module
M00009	K00241	belongs_2_module
M00009	K00242	belongs_2_module
M00009	K18859	belongs_2_module
M00009	K18860	belongs_2_module
M00009	K00244	belongs_2_module
M00009	K00245	belongs_2_module
M00009	K00246	belongs_2_module
M00009	K00247	belongs_2_module
M00009	K01676	belongs_2_module
M00009	K01679	belongs_2_module
M00009	K01677	belongs_2_module
M00009	K01678	belongs_2_module
M00009	K00026	belongs_2_module
M00009	K00025	belongs_2_module
M00009	K00024	belongs_2_module
M00009	K00116	belongs_2_module
M00010	K01647	belongs_2_module
M00010	K05942	belongs_2_module
M00010	K01681	belongs_2_module
M00010	K01682	belongs_2_module
M00010	K00031	belongs_2_module
M00010	K00030	belongs_2_module
M00011	K00164	belongs_2_module
M00011	K00658	belongs_2_module
M00011	K00382	belongs_2_module
M00011	K00174	belongs_2_module
M00011	K00175	belongs_2_module
M00011	K00177	belongs_2_module
M00011	K00176	belongs_2_module
