CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
M00001	R01786	belongs_2_module
M00001	R02189	belongs_2_module
M00001	R09085	belongs_2_module
M00001	R02740	belongs_2_module
M00001	R04779	belongs_2_module
M00001	R09084	belongs_2_module
M00001	R01070	belongs_2_module
M00001	R01015	belongs_2_module
M00001	R01061	belongs_2_module
M00001	R01063	belongs_2_module
M00001	R01512	belongs_2_module
M00001	R07159	belongs_2_module
M00001	R01518	belongs_2_module
M00001	R00658	belongs_2_module
M00001	R00200	belongs_2_module
M00002	R01015	belongs_2_module
M00002	R01061	belongs_2_module
M00002	R01063	belongs_2_module
M00002	R01512	belongs_2_module
M00002	R07159	belongs_2_module
M00002	R01518	belongs_2_module
M00002	R00658	belongs_2_module
M00002	R00200	belongs_2_module
M00003	R00431	belongs_2_module
M00003	R00726	belongs_2_module
M00003	R00341	belongs_2_module
M00003	R00658	belongs_2_module
M00003	R01518	belongs_2_module
M00003	R01512	belongs_2_module
M00003	R01061	belongs_2_module
M00003	R01063	belongs_2_module
M00003	R01015	belongs_2_module
M00003	R01070	belongs_2_module
M00003	R04780	belongs_2_module
M00004	R02736	belongs_2_module
M00004	R10907	belongs_2_module
M00004	R02035	belongs_2_module
M00004	R01528	belongs_2_module
M00004	R10221	belongs_2_module
M00004	R01529	belongs_2_module
M00004	R01056	belongs_2_module
M00004	R01641	belongs_2_module
M00004	R01827	belongs_2_module
M00004	R01830	belongs_2_module
M00004	R02740	belongs_2_module
M00004	R02739	belongs_2_module
M00005	R01049	belongs_2_module
M00006	R02736	belongs_2_module
M00006	R10907	belongs_2_module
M00006	R02035	belongs_2_module
M00006	R01528	belongs_2_module
M00006	R10221	belongs_2_module
M00007	R01830	belongs_2_module
M00007	R01827	belongs_2_module
M00007	R01641	belongs_2_module
M00007	R01529	belongs_2_module
M00007	R01056	belongs_2_module
M00008	R02736	belongs_2_module
M00008	R02035	belongs_2_module
M00008	R02036	belongs_2_module
M00008	R05605	belongs_2_module
M00009	R00351	belongs_2_module
M00009	R01325	belongs_2_module
M00009	R01900	belongs_2_module
M00009	R01324	belongs_2_module
M00009	R01899	belongs_2_module
M00009	R00268	belongs_2_module
M00009	R00267	belongs_2_module
M00009	R00709	belongs_2_module
M00009	R00621	belongs_2_module
M00009	R03316	belongs_2_module
M00009	R02570	belongs_2_module
M00009	R07618	belongs_2_module
M00009	R01197	belongs_2_module
M00009	R00405	belongs_2_module
M00009	R00432	belongs_2_module
M00009	R00727	belongs_2_module
M00009	R10343	belongs_2_module
M00009	R02164	belongs_2_module
M00009	R01082	belongs_2_module
M00009	R00342	belongs_2_module
M00009	R00361	belongs_2_module
M00010	R00351	belongs_2_module
M00010	R01325	belongs_2_module
M00010	R01900	belongs_2_module
M00010	R01324	belongs_2_module
M00010	R01899	belongs_2_module
M00010	R00268	belongs_2_module
M00010	R00267	belongs_2_module
M00010	R00709	belongs_2_module
M00011	R00621	belongs_2_module
M00011	R03316	belongs_2_module
M00011	R02570	belongs_2_module
M00011	R07618	belongs_2_module
M00011	R01197	belongs_2_module
M00011	R00405	belongs_2_module
M00011	R00432	belongs_2_module
M00011	R00727	belongs_2_module
M00011	R10343	belongs_2_module
M00011	R02164	belongs_2_module
M00011	R01082	belongs_2_module
M00011	R00342	belongs_2_module
M00011	R00361	belongs_2_module
