CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00010	C00022	belongs_2_pathway
map00010	C00024	belongs_2_pathway
map00010	C00031	belongs_2_pathway
map00010	C00033	belongs_2_pathway
map00010	C00036	belongs_2_pathway
map00010	C00068	belongs_2_pathway
map00010	C00074	belongs_2_pathway
map00010	C00084	belongs_2_pathway
map00010	C00103	belongs_2_pathway
map00010	C00111	belongs_2_pathway
map00010	C00118	belongs_2_pathway
map00010	C00186	belongs_2_pathway
map00010	C00197	belongs_2_pathway
map00010	C00221	belongs_2_pathway
map00010	C00236	belongs_2_pathway
map00010	C00267	belongs_2_pathway
map00010	C00469	belongs_2_pathway
map00010	C00631	belongs_2_pathway
map00010	C00668	belongs_2_pathway
map00010	C01159	belongs_2_pathway
map00010	C01172	belongs_2_pathway
map00010	C01451	belongs_2_pathway
map00010	C05125	belongs_2_pathway
map00010	C05345	belongs_2_pathway
map00010	C05378	belongs_2_pathway
map00010	C06186	belongs_2_pathway
map00010	C06187	belongs_2_pathway
map00010	C06188	belongs_2_pathway
map00010	C15972	belongs_2_pathway
map00010	C15973	belongs_2_pathway
map00010	C16255	belongs_2_pathway
map00020	C00022	belongs_2_pathway
map00020	C00024	belongs_2_pathway
map00020	C00026	belongs_2_pathway
map00020	C00036	belongs_2_pathway
map00020	C00042	belongs_2_pathway
map00020	C00068	belongs_2_pathway
map00020	C00074	belongs_2_pathway
map00020	C00091	belongs_2_pathway
map00020	C00122	belongs_2_pathway
map00020	C00149	belongs_2_pathway
map00020	C00158	belongs_2_pathway
map00020	C00311	belongs_2_pathway
map00020	C00417	belongs_2_pathway
map00020	C05125	belongs_2_pathway
map00020	C05379	belongs_2_pathway
map00020	C05381	belongs_2_pathway
map00020	C15972	belongs_2_pathway
map00020	C15973	belongs_2_pathway
map00020	C16254	belongs_2_pathway
map00020	C16255	belongs_2_pathway
map00030	C00022	belongs_2_pathway
map00030	C00031	belongs_2_pathway
map00030	C00117	belongs_2_pathway
map00030	C00118	belongs_2_pathway
map00030	C00119	belongs_2_pathway
map00030	C00121	belongs_2_pathway
map00030	C00197	belongs_2_pathway
map00030	C00198	belongs_2_pathway
map00030	C00199	belongs_2_pathway
map00030	C00204	belongs_2_pathway
map00030	C00221	belongs_2_pathway
map00030	C00231	belongs_2_pathway
map00030	C00257	belongs_2_pathway
map00030	C00258	belongs_2_pathway
map00030	C00279	belongs_2_pathway
map00030	C00345	belongs_2_pathway
map00030	C00577	belongs_2_pathway
map00030	C00620	belongs_2_pathway
map00030	C00631	belongs_2_pathway
map00030	C00668	belongs_2_pathway
map00030	C00672	belongs_2_pathway
map00030	C00673	belongs_2_pathway
map00030	C01151	belongs_2_pathway
map00030	C01172	belongs_2_pathway
map00030	C01218	belongs_2_pathway
map00030	C01236	belongs_2_pathway
map00030	C01801	belongs_2_pathway
map00030	C03752	belongs_2_pathway
map00030	C04442	belongs_2_pathway
map00030	C05345	belongs_2_pathway
map00030	C05378	belongs_2_pathway
map00030	C05382	belongs_2_pathway
map00030	C06019	belongs_2_pathway
map00030	C06473	belongs_2_pathway
map00030	C20589	belongs_2_pathway
map00040	C00022	belongs_2_pathway
map00040	C00026	belongs_2_pathway
map00040	C00029	belongs_2_pathway
map00040	C00103	belongs_2_pathway
map00040	C00111	belongs_2_pathway
map00040	C00116	belongs_2_pathway
map00040	C00167	belongs_2_pathway
map00040	C00181	belongs_2_pathway
map00040	C00191	belongs_2_pathway
map00040	C00199	belongs_2_pathway
map00040	C00204	belongs_2_pathway
map00040	C00231	belongs_2_pathway
map00040	C00259	belongs_2_pathway
map00040	C00266	belongs_2_pathway
map00040	C00309	belongs_2_pathway
map00040	C00310	belongs_2_pathway
map00040	C00312	belongs_2_pathway
map00040	C00333	belongs_2_pathway
map00040	C00379	belongs_2_pathway
map00040	C00433	belongs_2_pathway
map00040	C00470	belongs_2_pathway
map00040	C00474	belongs_2_pathway
map00040	C00476	belongs_2_pathway
map00040	C00502	belongs_2_pathway
map00040	C00508	belongs_2_pathway
map00040	C00514	belongs_2_pathway
map00040	C00532	belongs_2_pathway
map00040	C00558	belongs_2_pathway
map00040	C00618	belongs_2_pathway
map00040	C00714	belongs_2_pathway
map00040	C00789	belongs_2_pathway
map00040	C00800	belongs_2_pathway
map00040	C00817	belongs_2_pathway
map00040	C00905	belongs_2_pathway
map00040	C01068	belongs_2_pathway
map00040	C01101	belongs_2_pathway
map00040	C01508	belongs_2_pathway
map00040	C01904	belongs_2_pathway
map00040	C02266	belongs_2_pathway
map00040	C02273	belongs_2_pathway
map00040	C02426	belongs_2_pathway
map00040	C03033	belongs_2_pathway
map00040	C03291	belongs_2_pathway
map00040	C03826	belongs_2_pathway
map00040	C04053	belongs_2_pathway
map00040	C04349	belongs_2_pathway
map00040	C04575	belongs_2_pathway
map00040	C05385	belongs_2_pathway
map00040	C05411	belongs_2_pathway
map00040	C05412	belongs_2_pathway
map00040	C06118	belongs_2_pathway
map00040	C06441	belongs_2_pathway
map00040	C14899	belongs_2_pathway
map00040	C15930	belongs_2_pathway
map00040	C20680	belongs_2_pathway
map00051	C00095	belongs_2_pathway
map00051	C00096	belongs_2_pathway
map00051	C00111	belongs_2_pathway
map00051	C00118	belongs_2_pathway
map00051	C00159	belongs_2_pathway
map00051	C00186	belongs_2_pathway
map00051	C00247	belongs_2_pathway
map00051	C00267	belongs_2_pathway
map00051	C00275	belongs_2_pathway
map00051	C00325	belongs_2_pathway
map00051	C00392	belongs_2_pathway
map00051	C00424	belongs_2_pathway
map00051	C00464	belongs_2_pathway
map00051	C00507	belongs_2_pathway
map00051	C00577	belongs_2_pathway
map00051	C00636	belongs_2_pathway
map00051	C00644	belongs_2_pathway
map00051	C00665	belongs_2_pathway
map00051	C00794	belongs_2_pathway
map00051	C00861	belongs_2_pathway
