CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00010	1.1.1.1	belongs_2_pathway
ec00010	1.1.1.1	belongs_2_pathway
map00010	1.1.1.2	belongs_2_pathway
ec00010	1.1.1.2	belongs_2_pathway
map00010	1.1.1.27	belongs_2_pathway
ec00010	1.1.1.27	belongs_2_pathway
map00010	1.1.2.7	belongs_2_pathway
ec00010	1.1.2.7	belongs_2_pathway
map00010	1.1.2.8	belongs_2_pathway
ec00010	1.1.2.8	belongs_2_pathway
map00010	1.1.5.5	belongs_2_pathway
ec00010	1.1.5.5	belongs_2_pathway
map00010	1.2.1.12	belongs_2_pathway
ec00010	1.2.1.12	belongs_2_pathway
map00010	1.2.1.3	belongs_2_pathway
ec00010	1.2.1.3	belongs_2_pathway
map00010	1.2.1.5	belongs_2_pathway
ec00010	1.2.1.5	belongs_2_pathway
map00010	1.2.1.59	belongs_2_pathway
ec00010	1.2.1.59	belongs_2_pathway
map00010	1.2.1.9	belongs_2_pathway
ec00010	1.2.1.9	belongs_2_pathway
map00010	1.2.1.90	belongs_2_pathway
ec00010	1.2.1.90	belongs_2_pathway
map00010	1.2.4.1	belongs_2_pathway
ec00010	1.2.4.1	belongs_2_pathway
map00010	1.2.7.1	belongs_2_pathway
ec00010	1.2.7.1	belongs_2_pathway
map00010	1.2.7.11	belongs_2_pathway
ec00010	1.2.7.11	belongs_2_pathway
map00010	1.2.7.6	belongs_2_pathway
ec00010	1.2.7.6	belongs_2_pathway
map00010	1.8.1.4	belongs_2_pathway
ec00010	1.8.1.4	belongs_2_pathway
map00010	2.3.1.12	belongs_2_pathway
ec00010	2.3.1.12	belongs_2_pathway
map00010	2.7.1.1	belongs_2_pathway
ec00010	2.7.1.1	belongs_2_pathway
map00010	2.7.1.11	belongs_2_pathway
ec00010	2.7.1.11	belongs_2_pathway
map00010	2.7.1.146	belongs_2_pathway
ec00010	2.7.1.146	belongs_2_pathway
map00010	2.7.1.147	belongs_2_pathway
ec00010	2.7.1.147	belongs_2_pathway
map00010	2.7.1.199	belongs_2_pathway
ec00010	2.7.1.199	belongs_2_pathway
map00010	2.7.1.2	belongs_2_pathway
ec00010	2.7.1.2	belongs_2_pathway
map00010	2.7.1.40	belongs_2_pathway
ec00010	2.7.1.40	belongs_2_pathway
map00010	2.7.1.63	belongs_2_pathway
ec00010	2.7.1.63	belongs_2_pathway
map00010	2.7.1.90	belongs_2_pathway
ec00010	2.7.1.90	belongs_2_pathway
map00010	2.7.2.3	belongs_2_pathway
ec00010	2.7.2.3	belongs_2_pathway
map00010	2.7.9.1	belongs_2_pathway
ec00010	2.7.9.1	belongs_2_pathway
