CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00510	G00001	belongs_2_pathway
map00510	G00002	belongs_2_pathway
map00510	G00003	belongs_2_pathway
map00510	G00004	belongs_2_pathway
map00510	G00005	belongs_2_pathway
map00510	G00006	belongs_2_pathway
map00510	G00007	belongs_2_pathway
map00510	G00008	belongs_2_pathway
map00510	G00009	belongs_2_pathway
map00510	G00010	belongs_2_pathway
map00510	G00011	belongs_2_pathway
map00510	G00012	belongs_2_pathway
map00510	G00013	belongs_2_pathway
map00510	G00014	belongs_2_pathway
map00510	G00015	belongs_2_pathway
map00510	G00016	belongs_2_pathway
map00510	G00017	belongs_2_pathway
map00510	G00018	belongs_2_pathway
map00510	G00019	belongs_2_pathway
map00510	G00020	belongs_2_pathway
map00510	G00021	belongs_2_pathway
map00510	G00022	belongs_2_pathway
map00510	G00171	belongs_2_pathway
map00510	G10526	belongs_2_pathway
map00510	G10595	belongs_2_pathway
map00510	G10596	belongs_2_pathway
map00510	G10597	belongs_2_pathway
map00510	G10598	belongs_2_pathway
map00510	G10599	belongs_2_pathway
map00510	G10694	belongs_2_pathway
map00512	G00023	belongs_2_pathway
map00512	G00024	belongs_2_pathway
map00512	G00025	belongs_2_pathway
map00512	G00026	belongs_2_pathway
map00512	G00027	belongs_2_pathway
map00512	G00028	belongs_2_pathway
map00512	G00029	belongs_2_pathway
map00512	G00030	belongs_2_pathway
map00512	G00031	belongs_2_pathway
map00512	G00032	belongs_2_pathway
map00512	G00033	belongs_2_pathway
map00512	G00034	belongs_2_pathway
map00512	G00035	belongs_2_pathway
map00512	G10611	belongs_2_pathway
map00513	G00011	belongs_2_pathway
map00513	G00012	belongs_2_pathway
map00513	G00013	belongs_2_pathway
map00513	G00014	belongs_2_pathway
map00513	G00015	belongs_2_pathway
map00513	G00016	belongs_2_pathway
map00513	G00017	belongs_2_pathway
map00513	G00179	belongs_2_pathway
map00513	G01813	belongs_2_pathway
map00513	G05477	belongs_2_pathway
map00513	G10665	belongs_2_pathway
