CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00010	K00001	belongs_2_pathway
ko00010	K00001	belongs_2_pathway
map00010	K00002	belongs_2_pathway
ko00010	K00002	belongs_2_pathway
map00010	K00016	belongs_2_pathway
ko00010	K00016	belongs_2_pathway
map00010	K00114	belongs_2_pathway
ko00010	K00114	belongs_2_pathway
map00010	K00121	belongs_2_pathway
ko00010	K00121	belongs_2_pathway
map00010	K00128	belongs_2_pathway
ko00010	K00128	belongs_2_pathway
map00010	K00129	belongs_2_pathway
ko00010	K00129	belongs_2_pathway
map00010	K00131	belongs_2_pathway
ko00010	K00131	belongs_2_pathway
map00010	K00134	belongs_2_pathway
ko00010	K00134	belongs_2_pathway
map00010	K00138	belongs_2_pathway
ko00010	K00138	belongs_2_pathway
map00010	K00149	belongs_2_pathway
ko00010	K00149	belongs_2_pathway
map00010	K00150	belongs_2_pathway
ko00010	K00150	belongs_2_pathway
map00010	K00161	belongs_2_pathway
ko00010	K00161	belongs_2_pathway
map00010	K00162	belongs_2_pathway
ko00010	K00162	belongs_2_pathway
map00010	K00163	belongs_2_pathway
ko00010	K00163	belongs_2_pathway
map00010	K00169	belongs_2_pathway
ko00010	K00169	belongs_2_pathway
map00010	K00170	belongs_2_pathway
ko00010	K00170	belongs_2_pathway
map00010	K00171	belongs_2_pathway
ko00010	K00171	belongs_2_pathway
map00010	K00172	belongs_2_pathway
ko00010	K00172	belongs_2_pathway
map00010	K00174	belongs_2_pathway
ko00010	K00174	belongs_2_pathway
map00010	K00175	belongs_2_pathway
ko00010	K00175	belongs_2_pathway
map00010	K00189	belongs_2_pathway
ko00010	K00189	belongs_2_pathway
map00010	K00382	belongs_2_pathway
ko00010	K00382	belongs_2_pathway
map00010	K00627	belongs_2_pathway
ko00010	K00627	belongs_2_pathway
map00010	K00844	belongs_2_pathway
ko00010	K00844	belongs_2_pathway
map00010	K00845	belongs_2_pathway
ko00010	K00845	belongs_2_pathway
map00010	K00850	belongs_2_pathway
ko00010	K00850	belongs_2_pathway
map00010	K00873	belongs_2_pathway
ko00010	K00873	belongs_2_pathway
map00010	K00886	belongs_2_pathway
ko00010	K00886	belongs_2_pathway
map00010	K00895	belongs_2_pathway
ko00010	K00895	belongs_2_pathway
