CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00010	M00002	belongs_2_pathway
map00010	M00003	belongs_2_pathway
map00010	M00001	belongs_2_pathway
map00010	M00114	belongs_2_pathway
map00010	M00307	belongs_2_pathway
map00020	M00010	belongs_2_pathway
map00020	M00011	belongs_2_pathway
map00020	M00003	belongs_2_pathway
map00020	M00009	belongs_2_pathway
map00020	M00740	belongs_2_pathway
map00020	M00307	belongs_2_pathway
map00030	M00309	belongs_2_pathway
map00030	M00061	belongs_2_pathway
map00030	M00345	belongs_2_pathway
map00030	M00004	belongs_2_pathway
map00030	M00005	belongs_2_pathway
map00030	M00006	belongs_2_pathway
map00030	M00007	belongs_2_pathway
map00030	M00008	belongs_2_pathway
map00030	M00633	belongs_2_pathway
map00030	M00631	belongs_2_pathway
map00030	M00580	belongs_2_pathway
map00030	M00308	belongs_2_pathway
map00040	M00129	belongs_2_pathway
map00040	M00061	belongs_2_pathway
map00040	M00014	belongs_2_pathway
map00040	M00630	belongs_2_pathway
map00040	M00631	belongs_2_pathway
map00040	M00081	belongs_2_pathway
map00051	M00114	belongs_2_pathway
map00052	M00309	belongs_2_pathway
map00052	M00552	belongs_2_pathway
map00052	M00632	belongs_2_pathway
map00052	M00633	belongs_2_pathway
map00052	M00554	belongs_2_pathway
map00053	M00129	belongs_2_pathway
map00053	M00114	belongs_2_pathway
map00053	M00550	belongs_2_pathway
map00061	M00086	belongs_2_pathway
map00061	M00082	belongs_2_pathway
map00061	M00083	belongs_2_pathway
map00061	M00873	belongs_2_pathway
map00061	M00874	belongs_2_pathway
map00062	M00415	belongs_2_pathway
map00062	M00085	belongs_2_pathway
map00071	M00086	belongs_2_pathway
map00071	M00087	belongs_2_pathway
map00072	M00088	belongs_2_pathway
map00100	M00102	belongs_2_pathway
map00100	M00103	belongs_2_pathway
map00100	M00101	belongs_2_pathway
map00120	M00104	belongs_2_pathway
map00120	M00106	belongs_2_pathway
map00120	M00862	belongs_2_pathway
map00130	M00112	belongs_2_pathway
map00130	M00128	belongs_2_pathway
map00130	M00116	belongs_2_pathway
map00130	M00117	belongs_2_pathway
map00140	M00107	belongs_2_pathway
map00140	M00108	belongs_2_pathway
map00140	M00109	belongs_2_pathway
map00140	M00110	belongs_2_pathway
