CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
map00010	R00014	belongs_2_pathway
rn00010	R00014	belongs_2_pathway
map00010	R00199	belongs_2_pathway
rn00010	R00199	belongs_2_pathway
map00010	R00200	belongs_2_pathway
rn00010	R00200	belongs_2_pathway
map00010	R00206	belongs_2_pathway
rn00010	R00206	belongs_2_pathway
map00010	R00229	belongs_2_pathway
rn00010	R00229	belongs_2_pathway
map00010	R00235	belongs_2_pathway
rn00010	R00235	belongs_2_pathway
map00010	R00341	belongs_2_pathway
rn00010	R00341	belongs_2_pathway
map00010	R00431	belongs_2_pathway
rn00010	R00431	belongs_2_pathway
map00010	R00658	belongs_2_pathway
rn00010	R00658	belongs_2_pathway
map00010	R00703	belongs_2_pathway
rn00010	R00703	belongs_2_pathway
map00010	R00710	belongs_2_pathway
rn00010	R00710	belongs_2_pathway
map00010	R00711	belongs_2_pathway
rn00010	R00711	belongs_2_pathway
map00010	R00726	belongs_2_pathway
rn00010	R00726	belongs_2_pathway
map00010	R00746	belongs_2_pathway
rn00010	R00746	belongs_2_pathway
map00010	R00754	belongs_2_pathway
rn00010	R00754	belongs_2_pathway
map00010	R00755	belongs_2_pathway
rn00010	R00755	belongs_2_pathway
map00010	R00947	belongs_2_pathway
rn00010	R00947	belongs_2_pathway
map00010	R00959	belongs_2_pathway
rn00010	R00959	belongs_2_pathway
map00010	R01015	belongs_2_pathway
rn00010	R01015	belongs_2_pathway
map00010	R01058	belongs_2_pathway
rn00010	R01058	belongs_2_pathway
map00010	R01061	belongs_2_pathway
rn00010	R01061	belongs_2_pathway
map00010	R01063	belongs_2_pathway
rn00010	R01063	belongs_2_pathway
map00010	R01070	belongs_2_pathway
rn00010	R01070	belongs_2_pathway
map00010	R01196	belongs_2_pathway
rn00010	R01196	belongs_2_pathway
map00010	R01512	belongs_2_pathway
rn00010	R01512	belongs_2_pathway
map00010	R01516	belongs_2_pathway
rn00010	R01516	belongs_2_pathway
map00010	R01518	belongs_2_pathway
rn00010	R01518	belongs_2_pathway
map00010	R01600	belongs_2_pathway
rn00010	R01600	belongs_2_pathway
map00010	R01602	belongs_2_pathway
rn00010	R01602	belongs_2_pathway
map00010	R01662	belongs_2_pathway
rn00010	R01662	belongs_2_pathway
map00010	R01786	belongs_2_pathway
rn00010	R01786	belongs_2_pathway
map00010	R01788	belongs_2_pathway
rn00010	R01788	belongs_2_pathway
map00010	R02073	belongs_2_pathway
rn00010	R02073	belongs_2_pathway
map00010	R02187	belongs_2_pathway
rn00010	R02187	belongs_2_pathway
map00010	R02189	belongs_2_pathway
rn00010	R02189	belongs_2_pathway
map00010	R02569	belongs_2_pathway
rn00010	R02569	belongs_2_pathway
map00010	R02738	belongs_2_pathway
rn00010	R02738	belongs_2_pathway
map00010	R02739	belongs_2_pathway
rn00010	R02739	belongs_2_pathway
map00010	R02740	belongs_2_pathway
rn00010	R02740	belongs_2_pathway
map00010	R03270	belongs_2_pathway
rn00010	R03270	belongs_2_pathway
map00010	R03321	belongs_2_pathway
rn00010	R03321	belongs_2_pathway
map00010	R04394	belongs_2_pathway
rn00010	R04394	belongs_2_pathway
map00010	R04779	belongs_2_pathway
rn00010	R04779	belongs_2_pathway
map00010	R04780	belongs_2_pathway
rn00010	R04780	belongs_2_pathway
map00010	R05132	belongs_2_pathway
rn00010	R05132	belongs_2_pathway
map00010	R05133	belongs_2_pathway
rn00010	R05133	belongs_2_pathway
map00010	R05134	belongs_2_pathway
rn00010	R05134	belongs_2_pathway
map00010	R05198	belongs_2_pathway
rn00010	R05198	belongs_2_pathway
map00010	R07159	belongs_2_pathway
rn00010	R07159	belongs_2_pathway
map00010	R07618	belongs_2_pathway
rn00010	R07618	belongs_2_pathway
map00010	R09084	belongs_2_pathway
rn00010	R09084	belongs_2_pathway
map00010	R09085	belongs_2_pathway
rn00010	R09085	belongs_2_pathway
map00010	R09086	belongs_2_pathway
rn00010	R09086	belongs_2_pathway
map00010	R09127	belongs_2_pathway
rn00010	R09127	belongs_2_pathway
map00010	R09479	belongs_2_pathway
rn00010	R09479	belongs_2_pathway
map00010	R09532	belongs_2_pathway
rn00010	R09532	belongs_2_pathway
map00010	R10860	belongs_2_pathway
rn00010	R10860	belongs_2_pathway
map00020	R00014	belongs_2_pathway
rn00020	R00014	belongs_2_pathway
map00020	R00268	belongs_2_pathway
rn00020	R00268	belongs_2_pathway
map00020	R00341	belongs_2_pathway
rn00020	R00341	belongs_2_pathway
map00020	R00342	belongs_2_pathway
rn00020	R00342	belongs_2_pathway
map00020	R00344	belongs_2_pathway
rn00020	R00344	belongs_2_pathway
map00020	R00351	belongs_2_pathway
rn00020	R00351	belongs_2_pathway
map00020	R00352	belongs_2_pathway
rn00020	R00352	belongs_2_pathway
map00020	R00361	belongs_2_pathway
rn00020	R00361	belongs_2_pathway
map00020	R00405	belongs_2_pathway
rn00020	R00405	belongs_2_pathway
map00020	R00431	belongs_2_pathway
rn00020	R00431	belongs_2_pathway
map00020	R00432	belongs_2_pathway
rn00020	R00432	belongs_2_pathway
map00020	R00621	belongs_2_pathway
rn00020	R00621	belongs_2_pathway
map00020	R00709	belongs_2_pathway
rn00020	R00709	belongs_2_pathway
map00020	R00726	belongs_2_pathway
rn00020	R00726	belongs_2_pathway
map00020	R00727	belongs_2_pathway
rn00020	R00727	belongs_2_pathway
map00020	R01082	belongs_2_pathway
rn00020	R01082	belongs_2_pathway
map00020	R01196	belongs_2_pathway
rn00020	R01196	belongs_2_pathway
map00020	R01197	belongs_2_pathway
rn00020	R01197	belongs_2_pathway
map00020	R01325	belongs_2_pathway
rn00020	R01325	belongs_2_pathway
map00020	R01899	belongs_2_pathway
rn00020	R01899	belongs_2_pathway
map00020	R01900	belongs_2_pathway
rn00020	R01900	belongs_2_pathway
map00020	R02164	belongs_2_pathway
rn00020	R02164	belongs_2_pathway
map00020	R02569	belongs_2_pathway
rn00020	R02569	belongs_2_pathway
map00020	R02570	belongs_2_pathway
rn00020	R02570	belongs_2_pathway
map00020	R03270	belongs_2_pathway
rn00020	R03270	belongs_2_pathway
map00020	R03316	belongs_2_pathway
rn00020	R03316	belongs_2_pathway
map00020	R07618	belongs_2_pathway
rn00020	R07618	belongs_2_pathway
map00020	R10343	belongs_2_pathway
rn00020	R10343	belongs_2_pathway
map00030	R00305	belongs_2_pathway
rn00030	R00305	belongs_2_pathway
map00030	R01049	belongs_2_pathway
rn00030	R01049	belongs_2_pathway
map00030	R01051	belongs_2_pathway
rn00030	R01051	belongs_2_pathway
map00030	R01056	belongs_2_pathway
rn00030	R01056	belongs_2_pathway
map00030	R01057	belongs_2_pathway
rn00030	R01057	belongs_2_pathway
map00030	R01058	belongs_2_pathway
rn00030	R01058	belongs_2_pathway
map00030	R01066	belongs_2_pathway
rn00030	R01066	belongs_2_pathway
map00030	R01070	belongs_2_pathway
rn00030	R01070	belongs_2_pathway
map00030	R01519	belongs_2_pathway
rn00030	R01519	belongs_2_pathway
map00030	R01520	belongs_2_pathway
rn00030	R01520	belongs_2_pathway
map00030	R01521	belongs_2_pathway
rn00030	R01521	belongs_2_pathway
map00030	R01522	belongs_2_pathway
rn00030	R01522	belongs_2_pathway
map00030	R01528	belongs_2_pathway
rn00030	R01528	belongs_2_pathway
map00030	R01529	belongs_2_pathway
rn00030	R01529	belongs_2_pathway
map00030	R01538	belongs_2_pathway
rn00030	R01538	belongs_2_pathway
map00030	R01541	belongs_2_pathway
rn00030	R01541	belongs_2_pathway
map00030	R01544	belongs_2_pathway
rn00030	R01544	belongs_2_pathway
map00030	R01621	belongs_2_pathway
rn00030	R01621	belongs_2_pathway
map00030	R01641	belongs_2_pathway
rn00030	R01641	belongs_2_pathway
map00030	R01737	belongs_2_pathway
rn00030	R01737	belongs_2_pathway
map00030	R01739	belongs_2_pathway
rn00030	R01739	belongs_2_pathway
map00030	R01741	belongs_2_pathway
rn00030	R01741	belongs_2_pathway
map00030	R01827	belongs_2_pathway
rn00030	R01827	belongs_2_pathway
map00030	R01830	belongs_2_pathway
rn00030	R01830	belongs_2_pathway
map00030	R02032	belongs_2_pathway
rn00030	R02032	belongs_2_pathway
map00030	R02034	belongs_2_pathway
rn00030	R02034	belongs_2_pathway
map00030	R02035	belongs_2_pathway
rn00030	R02035	belongs_2_pathway
map00030	R02036	belongs_2_pathway
rn00030	R02036	belongs_2_pathway
map00030	R02073	belongs_2_pathway
rn00030	R02073	belongs_2_pathway
map00030	R02658	belongs_2_pathway
rn00030	R02658	belongs_2_pathway
map00030	R02736	belongs_2_pathway
rn00030	R02736	belongs_2_pathway
map00030	R02739	belongs_2_pathway
rn00030	R02739	belongs_2_pathway
map00030	R02740	belongs_2_pathway
rn00030	R02740	belongs_2_pathway
map00030	R02749	belongs_2_pathway
rn00030	R02749	belongs_2_pathway
map00030	R02750	belongs_2_pathway
rn00030	R02750	belongs_2_pathway
map00030	R04779	belongs_2_pathway
rn00030	R04779	belongs_2_pathway
map00030	R04780	belongs_2_pathway
rn00030	R04780	belongs_2_pathway
map00030	R05338	belongs_2_pathway
rn00030	R05338	belongs_2_pathway
map00030	R05605	belongs_2_pathway
