CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
R00001	C00001	chemical_reaction
R00002	C00001	chemical_reaction
R00004	C00001	chemical_reaction
R00005	C00001	chemical_reaction
R00009	C00001	chemical_reaction
R00010	C00001	chemical_reaction
R00011	C00001	chemical_reaction
R00017	C00001	chemical_reaction
R00022	C00001	chemical_reaction
R00024	C00001	chemical_reaction
R00025	C00001	chemical_reaction
R00026	C00001	chemical_reaction
R00028	C00001	chemical_reaction
R00036	C00001	chemical_reaction
R00041	C00001	chemical_reaction
R00044	C00001	chemical_reaction
R00045	C00001	chemical_reaction
R00047	C00001	chemical_reaction
R00048	C00001	chemical_reaction
R00052	C00001	chemical_reaction
R00053	C00001	chemical_reaction
R00054	C00001	chemical_reaction
R00055	C00001	chemical_reaction
R00056	C00001	chemical_reaction
R00058	C00001	chemical_reaction
R00059	C00001	chemical_reaction
R00060	C00001	chemical_reaction
R00061	C00001	chemical_reaction
R00068	C00001	chemical_reaction
R00069	C00001	chemical_reaction
R00070	C00001	chemical_reaction
R00072	C00001	chemical_reaction
R00073	C00001	chemical_reaction
R00074	C00001	chemical_reaction
R00077	C00001	chemical_reaction
R00078	C00001	chemical_reaction
R00080	C00001	chemical_reaction
R00081	C00001	chemical_reaction
R00082	C00001	chemical_reaction
R00083	C00001	chemical_reaction
R00084	C00001	chemical_reaction
R00085	C00001	chemical_reaction
R00086	C00001	chemical_reaction
R00087	C00001	chemical_reaction
R00088	C00001	chemical_reaction
R00090	C00001	chemical_reaction
R00097	C00001	chemical_reaction
R00102	C00001	chemical_reaction
R00103	C00001	chemical_reaction
R00107	C00001	chemical_reaction
R00111	C00001	chemical_reaction
R00113	C00001	chemical_reaction
R00118	C00001	chemical_reaction
R00122	C00001	chemical_reaction
R00123	C00001	chemical_reaction
R00125	C00001	chemical_reaction
R00128	C00001	chemical_reaction
R00131	C00001	chemical_reaction
R00132	C00001	chemical_reaction
R00135	C00001	chemical_reaction
R00138	C00001	chemical_reaction
R00143	C00001	chemical_reaction
R00145	C00001	chemical_reaction
R00146	C00001	chemical_reaction
R00148	C00001	chemical_reaction
R00149	C00001	chemical_reaction
R00150	C00001	chemical_reaction
R00152	C00001	chemical_reaction
R00155	C00001	chemical_reaction
R00159	C00001	chemical_reaction
R00160	C00001	chemical_reaction
R00164	C00001	chemical_reaction
R00173	C00001	chemical_reaction
R00175	C00001	chemical_reaction
R00177	C00001	chemical_reaction
R00181	C00001	chemical_reaction
R00182	C00001	chemical_reaction
R00183	C00001	chemical_reaction
R00184	C00001	chemical_reaction
R00187	C00001	chemical_reaction
R00188	C00001	chemical_reaction
R00191	C00001	chemical_reaction
R00192	C00001	chemical_reaction
R00193	C00001	chemical_reaction
R00194	C00001	chemical_reaction
R00195	C00001	chemical_reaction
R00199	C00001	chemical_reaction
R00203	C00001	chemical_reaction
R00205	C00001	chemical_reaction
R00208	C00001	chemical_reaction
R00213	C00001	chemical_reaction
R00218	C00001	chemical_reaction
R00227	C00001	chemical_reaction
R00243	C00001	chemical_reaction
R00245	C00001	chemical_reaction
R00248	C00001	chemical_reaction
R00250	C00001	chemical_reaction
R00251	C00001	chemical_reaction
R00254	C00001	chemical_reaction
R00256	C00001	chemical_reaction
R00257	C00001	chemical_reaction
R00264	C00001	chemical_reaction
R00269	C00001	chemical_reaction
R00270	C00001	chemical_reaction
R00271	C00001	chemical_reaction
R00274	C00001	chemical_reaction
R00276	C00001	chemical_reaction
R00277	C00001	chemical_reaction
R00279	C00001	chemical_reaction
R00280	C00001	chemical_reaction
R00283	C00001	chemical_reaction
R00283	C00001	chemical_reaction
R00284	C00001	chemical_reaction
R00286	C00001	chemical_reaction
R00287	C00001	chemical_reaction
R00293	C00001	chemical_reaction
R00294	C00001	chemical_reaction
R00295	C00001	chemical_reaction
R00303	C00001	chemical_reaction
R00304	C00001	chemical_reaction
R00306	C00001	chemical_reaction
R00308	C00001	chemical_reaction
R00311	C00001	chemical_reaction
R00317	C00001	chemical_reaction
R00318	C00001	chemical_reaction
R00319	C00001	chemical_reaction
R00321	C00001	chemical_reaction
R00322	C00001	chemical_reaction
R00324	C00001	chemical_reaction
R00326	C00001	chemical_reaction
R00327	C00001	chemical_reaction
R00328	C00001	chemical_reaction
R00329	C00001	chemical_reaction
R00335	C00001	chemical_reaction
R00336	C00001	chemical_reaction
R00337	C00001	chemical_reaction
R00338	C00001	chemical_reaction
R00339	C00001	chemical_reaction
R00340	C00001	chemical_reaction
R00345	C00001	chemical_reaction
R00348	C00001	chemical_reaction
R00351	C00001	chemical_reaction
R00357	C00001	chemical_reaction
R00359	C00001	chemical_reaction
R00364	C00001	chemical_reaction
R00365	C00001	chemical_reaction
