CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
R05969	G00001	chemical_reaction
R05970	G00001	chemical_reaction
R05970	G00002	chemical_reaction
R05972	G00002	chemical_reaction
R05972	G00003	chemical_reaction
R05973	G00003	chemical_reaction
R05973	G00004	chemical_reaction
R06238	G00004	chemical_reaction
R06127	G00005	chemical_reaction
R06238	G00005	chemical_reaction
R06128	G00006	chemical_reaction
R06258	G00006	chemical_reaction
R06261	G00007	chemical_reaction
R06262	G00007	chemical_reaction
R05976	G00008	chemical_reaction
R06264	G00008	chemical_reaction
R05976	G00009	chemical_reaction
R05979	G00009	chemical_reaction
R05980	G00010	chemical_reaction
R05981	G00010	chemical_reaction
R05981	G00011	chemical_reaction
R06722	G00011	chemical_reaction
R06986	G00011	chemical_reaction
R05983	G00012	chemical_reaction
R12479	G00012	chemical_reaction
R05983	G00013	chemical_reaction
R05984	G00013	chemical_reaction
R05984	G00014	chemical_reaction
R05985	G00014	chemical_reaction
R09319	G00014	chemical_reaction
R05985	G00015	chemical_reaction
R05986	G00015	chemical_reaction
R05987	G00015	chemical_reaction
R05988	G00015	chemical_reaction
R06015	G00015	chemical_reaction
R06016	G00015	chemical_reaction
R07622	G00015	chemical_reaction
R07623	G00015	chemical_reaction
R05988	G00016	chemical_reaction
R05989	G00016	chemical_reaction
R05989	G00017	chemical_reaction
R05990	G00017	chemical_reaction
R05990	G00018	chemical_reaction
R05986	G00019	chemical_reaction
R05987	G00020	chemical_reaction
R05991	G00020	chemical_reaction
R05991	G00021	chemical_reaction
R05992	G00021	chemical_reaction
R05992	G00022	chemical_reaction
R05907	G00023	chemical_reaction
R05908	G00023	chemical_reaction
R05909	G00023	chemical_reaction
R05910	G00023	chemical_reaction
R05911	G00023	chemical_reaction
R05908	G00024	chemical_reaction
R05912	G00024	chemical_reaction
R05913	G00024	chemical_reaction
R06140	G00024	chemical_reaction
R12482	G00024	chemical_reaction
R05901	G00025	chemical_reaction
R05912	G00025	chemical_reaction
R07614	G00025	chemical_reaction
R07617	G00025	chemical_reaction
R05913	G00026	chemical_reaction
R05914	G00026	chemical_reaction
R05914	G00027	chemical_reaction
R05909	G00028	chemical_reaction
R05915	G00028	chemical_reaction
R05915	G00029	chemical_reaction
R05910	G00031	chemical_reaction
R07628	G00031	chemical_reaction
R07628	G00032	chemical_reaction
R05911	G00035	chemical_reaction
R05971	G00036	chemical_reaction
R05977	G00036	chemical_reaction
R06006	G00036	chemical_reaction
R06006	G00037	chemical_reaction
R06153	G00037	chemical_reaction
R06155	G00037	chemical_reaction
R06156	G00037	chemical_reaction
R06169	G00037	chemical_reaction
R06169	G00038	chemical_reaction
R06170	G00038	chemical_reaction
R06164	G00039	chemical_reaction
R06168	G00039	chemical_reaction
R06170	G00039	chemical_reaction
R06164	G00040	chemical_reaction
R06162	G00042	chemical_reaction
R06167	G00042	chemical_reaction
R06162	G00043	chemical_reaction
R06156	G00044	chemical_reaction
R06163	G00044	chemical_reaction
R06167	G00044	chemical_reaction
R06168	G00044	chemical_reaction
R06163	G00045	chemical_reaction
R06155	G00046	chemical_reaction
R06153	G00047	chemical_reaction
R06165	G00047	chemical_reaction
R06165	G00048	chemical_reaction
R05975	G00050	chemical_reaction
R05977	G00050	chemical_reaction
R05978	G00050	chemical_reaction
R06013	G00050	chemical_reaction
R06024	G00050	chemical_reaction
R06025	G00050	chemical_reaction
R06026	G00050	chemical_reaction
R06215	G00050	chemical_reaction
R11375	G00050	chemical_reaction
R11378	G00050	chemical_reaction
R05978	G00051	chemical_reaction
R06027	G00051	chemical_reaction
R06027	G00052	chemical_reaction
R06029	G00052	chemical_reaction
R06187	G00054	chemical_reaction
R06198	G00054	chemical_reaction
R06024	G00055	chemical_reaction
R06029	G00055	chemical_reaction
R06095	G00055	chemical_reaction
R06187	G00055	chemical_reaction
