EC_ID	EC_NAME	ALL_EC_NAMES	CONNECTION_FROM	CONNECTION_TO	CONNECTION_TYPE
1.	1. Oxidoreductases	1. Oxidoreductases	1.	1.	ec_levels
1.1	Acting on the CH-OH group of donors	Acting on the CH-OH group of donors	1.1	1.	ec_levels
1.1.1	With NAD+ or NADP+ as acceptor	With NAD+ or NADP+ as acceptor	1.1.1	1.1	ec_levels
1.1.1.1	alcohol dehydrogenase	alcohol dehydrogenase	1.1.1.1	1.1.1	ec_levels
1.1.1.2	alcohol dehydrogenase (NADP+)	alcohol dehydrogenase (NADP+)	1.1.1.2	1.1.1	ec_levels
1.1.1.3	homoserine dehydrogenase	homoserine dehydrogenase	1.1.1.3	1.1.1	ec_levels
1.1.1.4	(R,R)-butanediol dehydrogenase	(R,R)-butanediol dehydrogenase	1.1.1.4	1.1.1	ec_levels
1.1.1.6	glycerol dehydrogenase	glycerol dehydrogenase	1.1.1.6	1.1.1	ec_levels
1.1.1.7	propanediol-phosphate dehydrogenase	propanediol-phosphate dehydrogenase	1.1.1.7	1.1.1	ec_levels
1.1.1.8	glycerol-3-phosphate dehydrogenase (NAD+)	glycerol-3-phosphate dehydrogenase (NAD+)	1.1.1.8	1.1.1	ec_levels
1.1.1.9	D-xylulose reductase	D-xylulose reductase	1.1.1.9	1.1.1	ec_levels
1.1.1.10	L-xylulose reductase	L-xylulose reductase	1.1.1.10	1.1.1	ec_levels
1.1.1.11	D-arabinitol 4-dehydrogenase	D-arabinitol 4-dehydrogenase	1.1.1.11	1.1.1	ec_levels
1.1.1.12	L-arabinitol 4-dehydrogenase	L-arabinitol 4-dehydrogenase	1.1.1.12	1.1.1	ec_levels
1.1.1.13	L-arabinitol 2-dehydrogenase	L-arabinitol 2-dehydrogenase	1.1.1.13	1.1.1	ec_levels
1.1.1.14	L-iditol 2-dehydrogenase	L-iditol 2-dehydrogenase	1.1.1.14	1.1.1	ec_levels
1.1.1.15	D-iditol 2-dehydrogenase	D-iditol 2-dehydrogenase	1.1.1.15	1.1.1	ec_levels
1.1.1.16	galactitol 2-dehydrogenase	galactitol 2-dehydrogenase	1.1.1.16	1.1.1	ec_levels
1.1.1.17	mannitol-1-phosphate 5-dehydrogenase	mannitol-1-phosphate 5-dehydrogenase	1.1.1.17	1.1.1	ec_levels
1.1.1.18	inositol 2-dehydrogenase	inositol 2-dehydrogenase	1.1.1.18	1.1.1	ec_levels
1.1.1.19	glucuronate reductase	glucuronate reductase	1.1.1.19	1.1.1	ec_levels
1.1.1.20	glucuronolactone reductase	glucuronolactone reductase	1.1.1.20	1.1.1	ec_levels
1.1.1.21	aldose reductase	aldose reductase	1.1.1.21	1.1.1	ec_levels
1.1.1.22	UDP-glucose 6-dehydrogenase	UDP-glucose 6-dehydrogenase	1.1.1.22	1.1.1	ec_levels
1.1.1.23	histidinol dehydrogenase	histidinol dehydrogenase	1.1.1.23	1.1.1	ec_levels
1.1.1.24	quinate dehydrogenase	quinate dehydrogenase	1.1.1.24	1.1.1	ec_levels
1.1.1.25	shikimate dehydrogenase	shikimate dehydrogenase	1.1.1.25	1.1.1	ec_levels
1.1.1.26	glyoxylate reductase	glyoxylate reductase	1.1.1.26	1.1.1	ec_levels
1.1.1.27	L-lactate dehydrogenase	L-lactate dehydrogenase	1.1.1.27	1.1.1	ec_levels
1.1.1.28	D-lactate dehydrogenase	D-lactate dehydrogenase	1.1.1.28	1.1.1	ec_levels
1.1.1.29	glycerate dehydrogenase	glycerate dehydrogenase	1.1.1.29	1.1.1	ec_levels
1.1.1.30	3-hydroxybutyrate dehydrogenase	3-hydroxybutyrate dehydrogenase	1.1.1.30	1.1.1	ec_levels
1.1.1.31	3-hydroxyisobutyrate dehydrogenase	3-hydroxyisobutyrate dehydrogenase	1.1.1.31	1.1.1	ec_levels
1.1.1.32	mevaldate reductase	mevaldate reductase	1.1.1.32	1.1.1	ec_levels
1.1.1.33	mevaldate reductase (NADPH)	mevaldate reductase (NADPH)	1.1.1.33	1.1.1	ec_levels
1.1.1.34	hydroxymethylglutaryl-CoA reductase (NADPH)	hydroxymethylglutaryl-CoA reductase (NADPH)	1.1.1.34	1.1.1	ec_levels
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	3-hydroxyacyl-CoA dehydrogenase	1.1.1.35	1.1.1	ec_levels
1.1.1.36	acetoacetyl-CoA reductase	acetoacetyl-CoA reductase	1.1.1.36	1.1.1	ec_levels
1.1.1.37	malate dehydrogenase	malate dehydrogenase	1.1.1.37	1.1.1	ec_levels
1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)	malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1.38	1.1.1	ec_levels
1.1.1.39	malate dehydrogenase (decarboxylating)	malate dehydrogenase (decarboxylating)	1.1.1.39	1.1.1	ec_levels
1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	1.1.1.40	1.1.1	ec_levels
1.1.1.41	isocitrate dehydrogenase (NAD+)	isocitrate dehydrogenase (NAD+)	1.1.1.41	1.1.1	ec_levels
1.1.1.42	isocitrate dehydrogenase (NADP+)	isocitrate dehydrogenase (NADP+)	1.1.1.42	1.1.1	ec_levels
1.1.1.43	phosphogluconate 2-dehydrogenase	phosphogluconate 2-dehydrogenase	1.1.1.43	1.1.1	ec_levels
1.1.1.44	phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)	phosphogluconate dehydrogenase (NADP+-dependent, decarboxylating)	1.1.1.44	1.1.1	ec_levels
1.1.1.45	L-gulonate 3-dehydrogenase	L-gulonate 3-dehydrogenase	1.1.1.45	1.1.1	ec_levels
1.1.1.46	L-arabinose 1-dehydrogenase	L-arabinose 1-dehydrogenase	1.1.1.46	1.1.1	ec_levels
1.1.1.47	glucose 1-dehydrogenase [NAD(P)+]	glucose 1-dehydrogenase [NAD(P)+]	1.1.1.47	1.1.1	ec_levels
1.1.1.48	D-galactose 1-dehydrogenase	D-galactose 1-dehydrogenase	1.1.1.48	1.1.1	ec_levels
1.1.1.49	glucose-6-phosphate dehydrogenase (NADP+)	glucose-6-phosphate dehydrogenase (NADP+)	1.1.1.49	1.1.1	ec_levels
1.1.1.50	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)	1.1.1.50	1.1.1	ec_levels
1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase	3(or 17)beta-hydroxysteroid dehydrogenase	1.1.1.51	1.1.1	ec_levels
1.1.1.52	3alpha-hydroxycholanate dehydrogenase (NAD+)	3alpha-hydroxycholanate dehydrogenase (NAD+)	1.1.1.52	1.1.1	ec_levels
1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase	3alpha(or 20beta)-hydroxysteroid dehydrogenase	1.1.1.53	1.1.1	ec_levels
