KO_ID	KO_NAME	ALL_KO_NAMES
K00001	E1.1.1.1, adh	E1.1.1.1, adh|alcohol dehydrogenase [EC:1.1.1.1]|
K00002	AKR1A1, adh	AKR1A1, adh|alcohol dehydrogenase (NADP+) [EC:1.1.1.2]|
K00003	hom	hom|homoserine dehydrogenase [EC:1.1.1.3]|
K00004	BDH, butB	BDH, butB|(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]|
K00005	gldA	gldA|glycerol dehydrogenase [EC:1.1.1.6]|
K00006	GPD1	GPD1|glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]|
K00007	dalD	dalD|D-arabinitol 4-dehydrogenase [EC:1.1.1.11]|
K00008	SORD, gutB	SORD, gutB|L-iditol 2-dehydrogenase [EC:1.1.1.14]|
K00009	mtlD	mtlD|mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]|
K00010	iolG	iolG|myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]|
K00011	AKR1B	AKR1B|aldehyde reductase [EC:1.1.1.21]|
K00012	UGDH, ugd	UGDH, ugd|UDPglucose 6-dehydrogenase [EC:1.1.1.22]|
K00013	hisD	hisD|histidinol dehydrogenase [EC:1.1.1.23]|
K00014	aroE	aroE|shikimate dehydrogenase [EC:1.1.1.25]|
K00015	gyaR, GOR1	gyaR, GOR1|glyoxylate reductase [EC:1.1.1.26]|
K00016	LDH, ldh	LDH, ldh|L-lactate dehydrogenase [EC:1.1.1.27]|
K00018	hprA	hprA|glycerate dehydrogenase [EC:1.1.1.29]|
K00019	E1.1.1.30, bdh	E1.1.1.30, bdh|3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]|
K00020	HIBADH, mmsB	HIBADH, mmsB|3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]|
K00021	HMGCR	HMGCR|hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]|
K00022	HADH	HADH|3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]|
K00023	phbB	phbB|acetoacetyl-CoA reductase [EC:1.1.1.36]|
K00024	mdh	mdh|malate dehydrogenase [EC:1.1.1.37]|
K00025	MDH1	MDH1|malate dehydrogenase [EC:1.1.1.37]|
K00026	MDH2	MDH2|malate dehydrogenase [EC:1.1.1.37]|
K00027	ME2, sfcA, maeA	ME2, sfcA, maeA|malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]|
K00028	E1.1.1.39	E1.1.1.39|malate dehydrogenase (decarboxylating) [EC:1.1.1.39]|
K00029	E1.1.1.40, maeB	E1.1.1.40, maeB|malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]|
K00030	IDH3	IDH3|isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]|
K00031	IDH1, IDH2, icd	IDH1, IDH2, icd|isocitrate dehydrogenase [EC:1.1.1.42]|
K00032	E1.1.1.43	E1.1.1.43|phosphogluconate 2-dehydrogenase [EC:1.1.1.43]|
K00033	PGD, gnd, gntZ	PGD, gnd, gntZ|6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]|
K00034	gdh	gdh|glucose 1-dehydrogenase [EC:1.1.1.47]|
K00035	gal	gal|D-galactose 1-dehydrogenase [EC:1.1.1.48]|
K00036	G6PD, zwf	G6PD, zwf|glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]|
K00037	AKR1C4	AKR1C4|3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]|
K00038	E1.1.1.53	E1.1.1.53|3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]|
K00039	rbtD	rbtD|ribitol 2-dehydrogenase [EC:1.1.1.56]|
K00040	uxuB	uxuB|fructuronate reductase [EC:1.1.1.57]|
K00041	uxaB	uxaB|tagaturonate reductase [EC:1.1.1.58]|
K00042	garR, glxR	garR, glxR|2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]|
K00043	gbd	gbd|4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]|
K00044	HSD17B1	HSD17B1|17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]|
K00045	E1.1.1.67, mtlK	E1.1.1.67, mtlK|mannitol 2-dehydrogenase [EC:1.1.1.67]|
K00046	idnO	idnO|gluconate 5-dehydrogenase [EC:1.1.1.69]|
K00048	fucO	fucO|lactaldehyde reductase [EC:1.1.1.77]|
K00049	GRHPR	GRHPR|glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]|
K00050	ttuD	ttuD|hydroxypyruvate reductase [EC:1.1.1.81]|
K00051	E1.1.1.82	E1.1.1.82|malate dehydrogenase (NADP+) [EC:1.1.1.82]|
K00052	leuB, IMDH	leuB, IMDH|3-isopropylmalate dehydrogenase [EC:1.1.1.85]|
K00053	ilvC	ilvC|ketol-acid reductoisomerase [EC:1.1.1.86]|
K00054	mvaA	mvaA|hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]|
K00055	E1.1.1.90	E1.1.1.90|aryl-alcohol dehydrogenase [EC:1.1.1.90]|
K00057	gpsA	gpsA|glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]|
K00058	serA, PHGDH	serA, PHGDH|D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]|
K00059	fabG, OAR1	fabG, OAR1|3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]|
K00060	tdh	tdh|threonine 3-dehydrogenase [EC:1.1.1.103]|
K00061	RDH5	RDH5|11-cis-retinol dehydrogenase [EC:1.1.1.315]|
K00062	E1.1.1.116	E1.1.1.116|D-arabinose 1-dehydrogenase [EC:1.1.1.116]|
K00063	ARA1	ARA1|D-arabinose 1-dehydrogenase [EC:1.1.1.117]|
K00064	E1.1.1.122	E1.1.1.122|D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]|
K00065	kduD	kduD|2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]|
