ReactionID	StochCoeff	Substrates	other site
R10654	1	C20757	
R10654	1	C00019	
R10145	1	C20399	
R10145	2	C00007	
R10145	2	C00026	
R10312	1	C00825	
R10312	1	C00007	
R10312	1	C00026	
R12458	1	C01902	
R12458	1	C00019	
R00989	1	C00083	
R00989	1	C00108	
R03486	1	C00052	
R03486	1	C01290	
R10153	1	C00025	
R00937	1	C00101	
R00937	2	C00003	
R08467	1	C16719	
R08467	1	C00019	
R06091	1	C00001	
R06091	1	G01275	
R10885	1	C20911	
R11007	1	C00187	
R11007	1	C00080	
R11007	1	C00007	
R11007	1	C00004	
R07119	1	C14874	
R03346	1	C00001	
R03346	1	C01185	
R02036	1	C00345	
R03460	1	C00074	
R03460	1	C03175	
R05597	1	C00001	
R05597	1	C06322	
R09395	2	C15814	
R09395	1	C18239	
R07912	1	C00029	
R07912	1	C16312	
R08989	1	C18036	
R06259	1	G10617	
R06259	1	G10595	
R12021	1	C12483	
R12021	1	C00007	
R12021	1	C01352	
R12021	1	C00698	
R00193	1	C00001	
R00193	1	C00021	
R10832	1	C00009	
R10832	1	C20888	
R03138	1	C00053	
R03138	1	C00982	
R03792	1	C01984	
R03792	1	C00003	
R09504	2	C00390	
R09504	1	C00007	
R11011	1	C00154	
R11011	2	C00999	
R11011	2	C00080	
R11011	1	C00007	
R07542	1	C05435	
R10259	1	C20470	
R10259	1	C08604	
R11630	1	C08269	
R09482	1	C01209	
R03529	1	C00080	
R03529	1	C01343	
R10229	1	C09023	
R10229	1	C00006	
R05587	1	C00010	
R05587	1	C09820	
R08429	1	C06178	
R10228	1	C00006	
R10228	1	C20456	
R10675	1	C20750	
R12415	2	C22143	
R03249	1	C01110	
R04613	1	C04702	
R04613	1	C00886	
R09867	1	C11898	
R09867	1	C00080	
R09867	1	C00007	
R09867	1	C00005	
R07827	1	C05618	
R07827	1	C00007	
R10809	1	C00001	
R10809	1	C01728	
R11523	1	C20729	
R10581	3	C00001	
R10581	1	C08897	
R01273	1	C00001	
R01273	1	C03150	
R02252	1	C05629	
R02252	1	C00003	
R07090	1	C00080	
R07090	1	C00007	
R07090	1	C00005	
R07090	1	C14039	
R00351	1	C00010	
R00351	1	C00158	
R08545	1	C00448	
R12378	6	C00999	
R12378	6	C00080	
R12378	3	C00007	
R12378	1	C11522	
R10002	1	C20239	
R06999	1	C12044	
R08480	1	C00002	
R08480	1	C08312	
R12364	1	C00353	
R12364	1	C00001	
R12010	1	C19743	
R12010	1	C00007	
R12010	1	C03024	
R02139	1	C00001	
R02139	1	C00813	
R10016	1	C06021	
R10016	1	C00565	
R00729	1	C00001	
R00729	1	C00082	
R00729	1	C00007	
R12412	1	C00001	
R12412	1	C22140	
R03970	1	C02512	
R03970	1	C00025	
R07929	1	C12138	
R07929	1	C00223	
R02133	1	C00001	
R02133	1	C00378	
R03737	1	C03325	
R03737	1	C00007	
R03737	1	C00026	
R04364	1	C00024	
R04364	1	C00001	
R04364	1	C03972	
R09730	1	C00353	
R09730	7	C00129	
R08211	1	C00001	
R08211	1	C00007	
R08211	1	C00576	
R11314	1	C00378	
R02982	1	C00019	
R02982	1	C00841	
R07412	1	C15672	
R12064	1	C02743	
R12064	1	C21879	
R03911	1	C02298	
R10536	1	C07277	
R05083	1	C06044	
R05083	1	C00029	
R00483	1	C00002	
R00483	1	C00049	
R00483	1	C00014	
R04143	1	C00002	
R04143	1	C03089	
R10611	1	C20691	
R10611	1	C00019	
R03071	1	C00244	
R03071	2	C00924	
R03232	1	C00095	
R03232	1	C04261	
R12575	1	C00002	
R12575	1	C00148	
R12575	1	C20665	
R02683	1	C00639	
R02683	1	C00003	
R00175	1	C00001	
R00175	1	C00019	
R04163	1	C05485	
R04163	1	C00003	
R04239	1	C00001	
R04239	1	C00007	
R04239	1	C02188	
R09614	1	C00448	
R05800	1	C00002	
R05800	1	C01245	
R08261	1	C00167	
R08261	1	C06174	
R11851	1	C21656	
R03210	1	C00041	
R03210	1	C01063	
R11831	1	C00001	
R11831	1	C00448	
R10327	1	C20519	
R10327	1	C00007	
R05809	1	C11539	
R05809	1	C00019	
R10714	1	C04180	
R00489	1	C00049	
R06047	1	C00029	
R06047	1	C01289	
R06286	1	C11832	
R06286	1	C00006	
R09291	1	C18026	
R09291	1	C00006	
R06497	1	C11965	
R06497	1	C11921	
R01996	1	C00043	
R01996	1	C00338	
R00160	1	C00001	
R00160	1	C00016	
R05382	1	C06771	
R00544	1	C00001	
R00544	1	C00071	
R00544	1	C00028	
R02782	1	C00691	
R04179	1	C00029	
R04179	1	C03268	
R06531	1	C00002	
R06531	1	C00188	
R00532	1	C00001	
R00532	1	C02703	
R03399	1	C03117	
R03399	1	C00006	
R08161	2	C00080	
R08161	1	C00007	
R08161	2	C00138	
R08161	1	C05764	
R11012	1	C00154	
R11012	2	C00999	
R11012	2	C00080	
R11012	1	C00007	
R05099	1	C00001	
R05099	1	C06102	
R05099	1	C00006	
R02794	1	C00002	
R02794	1	C00695	
R02794	1	C00010	
R07102	1	C11148	
R10908	1	C02091	
R10908	1	C00048	
R03975	1	C00001	
R03975	1	C05466	
R02501	1	C00535	
R02501	1	C00007	
R02501	1	C03024	
R03172	1	C15980	
R03172	1	C00028	
R03114	1	C00964	
R03114	1	C00006	
R07918	1	C00001	
R07918	1	C16352	
R07082	1	C00001	
R07082	1	C14850	
R09298	1	G10616	
R09298	1	G13054	
R04811	1	C00100	
R04811	1	C05337	
R08772	1	C17559	
R02754	1	C00679	
R05429	1	C00080	
R05429	1	C00007	
R05429	1	C07092	
R05429	1	C00004	
R00790	2	C00001	
R00790	6	C00139	
R00790	1	C00014	
R00983	1	C02775	
R00983	1	C00007	
R08606	1	C02937	
R11131	2	C21124	
R09696	1	C06485	
R00005	1	C00001	
R00005	1	C01010	
R02212	1	C00030	
R02212	1	C00007	
R02212	1	C00410	
R05068	1	C06007	
R05068	1	C00006	
R11248	1	C21208	
R01821	1	C00718	
R01821	1	C00009	
R12029	1	C01324	
R12029	1	C00007	
R12029	1	C01352	
R12029	1	C21863	
R08688	1	C00053	
R08688	1	C17259	
R04615	1	C04730	
R04615	1	C00203	
R11796	1	C00053	
R11796	1	C21669	
