step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R05578];[K01885, K09698, K14163];[6.1.1.17, 6.1.1.24];[C00002, C00013, C00020, C00025, C01641, C02987];[]
2;[R04109];[K02492];[1.2.1.70];[C00005, C00006, C00080, C01641, C02987, C03741];[]
3;[R02272];[K01845];[5.4.3.8];[C00430, C03741];[]
4;[R00036];[K01698];[4.2.1.24];[C00001, C00430, C00931];[]
5;[R00084];[K01749];[2.5.1.61];[C00001, C00014, C00931, C01024];[]
6;[R03165];[K01719, K13542, K13543];[4.2.1.75];[C00001, C01024, C01051];[]
7;[R03197];[K01599];[4.1.1.37];[C00011, C01051, C03263];[]
8;[R03220];[K00228];[1.3.3.3];[C00001, C00007, C00011, C01079, C03263];[]
9;[R06895];[K02495];[1.3.98.3];[C00011, C00019, C00073, C01079, C03263, C05198];[]
10;[R03222];[K00231];[1.3.3.4];[C00007, C00027, C01079, C02191];[]
11;[R09489];[K00230];[1.3.5.3];[C00828, C01079, C02191, C05819];[]
12;[R12605];[K08973];[];[C00028, C00030, C01079, C02191];[]
13;[R00310];[K01772];[4.99.1.1];[C00032, C00080, C02191, C14818];[]
