step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R09189];[K14251];[];[C00019, C00021, C06629, C18295];[]
2;[R05463];[K14253];[1.14.13.232];[C00001, C00005, C00006, C00007, C00080, C06628, C06629];[]
3;[R05462];[K14252];[1.14.13.233];[C00001, C00005, C00006, C00007, C00080, C06627, C06628];[]
4;[R09190];[K14252];[1.14.13.232, 1.14.13.233];[C00001, C00005, C00006, C00007, C00080, C06627, C06629];[]
5;[R09197];[K14254];[];[C06627, C06654];[]
6;[R09191];[K14255];[2.1.1.335];[C00019, C00021, C02811, C06654];[]
7;[R04060];[K14256];[1.14.13.38];[C00001, C00005, C00006, C00007, C00080, C02811, C03206];[]
8;[R05459];[K21301];[1.3.98.4];[C00876, C01080, C03206, C06570];[]
9;[R09198];[K14256];[1.14.13.234];[C00001, C00005, C00006, C00007, C00080, C03206, C18296];[]
10;[R09192];[K21301];[1.3.98.4];[C00876, C01080, C06624, C18296];[]
