step;reactionNumber;koNumber;ecNumber;compNumber;glycanNumber
1;[R08956];[K13063, K20159, K21175];[2.6.1.86];[C00025, C00064, C00251, C18054];[]
2;[R11463];[K20261];[3.3.2.15];[C00001, C00022, C18054, C19830];[]
3;[R09707];[K06998];[5.3.3.17];[C19830, C19831];[]
4;[R11568];[K20260];[];[C00001, C19831, C21473];[]
5;[R11569];[K20260];[];[C00001, C21408, C21473];[]
6;[R11570];[];[];[C00007, C00011, C00027, C21408, C21411];[]
7;[R11491];[K20262];[1.10.3.16];[C00007, C00027, C21411, C21412];[]
8;[R11576];[];[];[C20981, C21412];[]
9;[R11577];[];[];[C00007, C00027, C20981, C21442];[]
10;[R11533];[K21103];[2.1.1.327];[C00019, C00021, C00080, C21295, C21442];[]
11;[R11346];[K20940];[1.14.13.218];[C00001, C00003, C00004, C00007, C00011, C01748, C21295];[]
