stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;K14048,K01430,K01428,K01429,K01427;3.5.1.5;1;0__H2O	 Water C00001;substrate;irreversible;;15.12537026960058;-26.2115879370524;-66.69152903556824;-72.75439119338989;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;0__H2O	 Water C00001;false
0;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;K14048,K01430,K01428,K01429,K01427;3.5.1.5;1;Urea	 Carbamide C00086;substrate;irreversible;;15.12537026960058;-26.2115879370524;110.23279994776905;422.4597436496769;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;Urea	 Carbamide C00086;true
0;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;K14048,K01430,K01428,K01429,K01427;3.5.1.5;1;CO2	 Carbon dioxide C00011;product;irreversible;;15.12537026960058;-26.2115879370524;-665.1578604060683;372.9655782670558;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;CO2	 Carbon dioxide C00011;true
0;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;K14048,K01430,K01428,K01429,K01427;3.5.1.5;2;Ammonia	 NH3 C00014;product;irreversible;;15.12537026960058;-26.2115879370524;605.5229932956064;301.0671119276648;Urea amidohydrolase	 Urea + H2O <=> CO2 + 2 Ammonia R00131;Ammonia	 NH3 C00014;true
1;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;;1.7.99.1;1;1__H2O	 Water C00001;substrate;irreversible;;24.74841281883232;96.12886110593229;-121.50234293937683;94.11531412601471;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;1__H2O	 Water C00001;false
1;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;;1.7.99.1;1;Acceptor	 Hydrogen-acceptor	 A	 Oxidized donor C00028;substrate;irreversible;;24.74841281883232;96.12886110593229;-118.77061666014595;26.27714371254899;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;Acceptor	 Hydrogen-acceptor	 A	 Oxidized donor C00028;true
1;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;;1.7.99.1;1;Ammonia	 NH3 C00014;substrate;irreversible;;24.74841281883232;96.12886110593229;605.5229932956064;301.0671119276648;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;Ammonia	 NH3 C00014;true
1;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;;1.7.99.1;1;Reduced acceptor	 AH2	 Hydrogen-donor	 Donor C00030;product;irreversible;;24.74841281883232;96.12886110593229;91.6599551358861;66.79636955183935;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;Reduced acceptor	 AH2	 Hydrogen-donor	 Donor C00030;true
1;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;;1.7.99.1;1;Hydroxylamine	 NH2OH C00192;product;irreversible;;24.74841281883232;96.12886110593229;-130.09399063527061;149.4624491656865;ammonia:acceptor oxidoreductase	 Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor R00284;Hydroxylamine	 NH2OH C00192;true
2;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;;2.6.1.13;1;L-Ornithine	 (S)-2,5-Diaminovaleric acid	 (S)-2,5-Diaminopentanoic acid	 (S)-2,5-Diaminopentanoate C00077;substrate;irreversible;;39.70464124083867;225.98091591731668;43.80210371738599;294.5306687318673;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;L-Ornithine	 (S)-2,5-Diaminovaleric acid	 (S)-2,5-Diaminopentanoic acid	 (S)-2,5-Diaminopentanoate C00077;true
2;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;;2.6.1.13;1;2-Oxo acid	 2-Oxocarboxylate	 2-Oxocarboxylic acid	 2-Oxo carboxylate C00161;substrate;irreversible;;39.70464124083867;225.98091591731668;-85.44335599645399;202.3922995531251;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;2-Oxo acid	 2-Oxocarboxylate	 2-Oxocarboxylic acid	 2-Oxo carboxylate C00161;true
2;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;;2.6.1.13;1;L-Amino acid	 L-2-Amino acid C00151;product;irreversible;;39.70464124083867;225.98091591731668;205.80854494681455;306.93760594700143;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;L-Amino acid	 L-2-Amino acid C00151;true
2;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;;2.6.1.13;1;L-Glutamate 5-semialdehyde	 L-Glutamate gamma-semialdehyde C01165;product;irreversible;;39.70464124083867;225.98091591731668;-79.94328585828555;272.8244536652183;L-Ornithine:2-oxo-acid aminotransferase	 L-Ornithine + 2-Oxo acid <=> L-Glutamate 5-semialdehyde + L-Amino acid R01343;L-Glutamate 5-semialdehyde	 L-Glutamate gamma-semialdehyde C01165;true
