stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;L-aspartate ammonia-lyase (fumarate-forming)	 L-Aspartate <=> Fumarate + Ammonia R00490;K01744;4.3.1.1;1;L-Aspartate	 L-Aspartic acid	 2-Aminosuccinic acid	 L-Asp C00049;substrate;irreversible;;272.505521380618;-193.66820959298093;5.4626433021619505;-67.88362440410242;L-aspartate ammonia-lyase (fumarate-forming) R00490;L-Aspartate C00049;true
0;L-aspartate ammonia-lyase (fumarate-forming)	 L-Aspartate <=> Fumarate + Ammonia R00490;K01744;4.3.1.1;1;Fumarate	 Fumaric acid	 trans-Butenedioic acid C00122;product;irreversible;;272.505521380618;-193.66820959298093;394.39284801404335;-138.16947135749365;L-aspartate ammonia-lyase (fumarate-forming) R00490;Fumarate C00122;true
0;L-aspartate ammonia-lyase (fumarate-forming)	 L-Aspartate <=> Fumarate + Ammonia R00490;K01744;4.3.1.1;1;Ammonia	 NH3 C00014;product;irreversible;;272.505521380618;-193.66820959298093;273.04134939950404;-139.91051838157352;L-aspartate ammonia-lyase (fumarate-forming) R00490;Ammonia C00014;true
1;L-homoserine:NADP+ oxidoreductase	 L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+ R01775;K12525,K12524,K00003;1.1.1.3;1;L-Homoserine	 2-Amino-4-hydroxybutyric acid C00263;substrate;irreversible;;574.7482314909194;359.7835935973204;296.72452630868133;407.74857808536547;L-homoserine:NADP+ oxidoreductase R01775;L-Homoserine C00263;true
1;L-homoserine:NADP+ oxidoreductase	 L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+ R01775;K12525,K12524,K00003;1.1.1.3;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;;574.7482314909194;359.7835935973204;767.8518459905536;254.12248824816146;L-homoserine:NADP+ oxidoreductase R01775;NADP+ C00006;true
1;L-homoserine:NADP+ oxidoreductase	 L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+ R01775;K12525,K12524,K00003;1.1.1.3;1;L-Aspartate 4-semialdehyde	 Aspartate beta-semialdehyde	 L-Aspartic 4-semialdehyde C00441;product;irreversible;;574.7482314909194;359.7835935973204;348.35774031610504;283.6745024111362;L-homoserine:NADP+ oxidoreductase R01775;L-Aspartate 4-semialdehyde C00441;true
1;L-homoserine:NADP+ oxidoreductase	 L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+ R01775;K12525,K12524,K00003;1.1.1.3;1;H+	 Hydron C00080;product;irreversible;;574.7482314909194;359.7835935973204;263.2934199649835;331.5108864910804;L-homoserine:NADP+ oxidoreductase R01775;H+ C00080;true
1;L-homoserine:NADP+ oxidoreductase	 L-Homoserine + NADP+ <=> L-Aspartate 4-semialdehyde + NADPH + H+ R01775;K12525,K12524,K00003;1.1.1.3;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;product;irreversible;;574.7482314909194;359.7835935973204;454.9105939228864;253.35069545976603;L-homoserine:NADP+ oxidoreductase R01775;NADPH C00005;true
2;L-Homoserine:NAD+ oxidoreductase	 L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+ R01773;K12525,K00003,K12524;1.1.1.3;1;L-Homoserine	 2-Amino-4-hydroxybutyric acid C00263;substrate;irreversible;;62.17304291930134;373.3940535850934;296.72452630868133;407.74857808536547;L-Homoserine:NAD+ oxidoreductase R01773;L-Homoserine C00263;true
2;L-Homoserine:NAD+ oxidoreductase	 L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+ R01773;K12525,K00003,K12524;1.1.1.3;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;62.17304291930134;373.3940535850934;60.48201525166371;290.9110727907233;L-Homoserine:NAD+ oxidoreductase R01773;NAD+ C00003;true
2;L-Homoserine:NAD+ oxidoreductase	 L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+ R01773;K12525,K00003,K12524;1.1.1.3;1;L-Aspartate 4-semialdehyde	 Aspartate beta-semialdehyde	 L-Aspartic 4-semialdehyde C00441;product;irreversible;;62.17304291930134;373.3940535850934;348.35774031610504;283.6745024111362;L-Homoserine:NAD+ oxidoreductase R01773;L-Aspartate 4-semialdehyde C00441;true
2;L-Homoserine:NAD+ oxidoreductase	 L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+ R01773;K12525,K00003,K12524;1.1.1.3;1;H+	 Hydron C00080;product;irreversible;;62.17304291930134;373.3940535850934;263.2934199649835;331.5108864910804;L-Homoserine:NAD+ oxidoreductase R01773;H+ C00080;true
2;L-Homoserine:NAD+ oxidoreductase	 L-Homoserine + NAD+ <=> L-Aspartate 4-semialdehyde + NADH + H+ R01773;K12525,K00003,K12524;1.1.1.3;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;62.17304291930134;373.3940535850934;65.36438788285409;422.0319995606537;L-Homoserine:NAD+ oxidoreductase R01773;NADH C00004;true
3;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	 L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+ R02291;K00133;1.2.1.11;1;L-Aspartate 4-semialdehyde	 Aspartate beta-semialdehyde	 L-Aspartic 4-semialdehyde C00441;substrate;irreversible;;277.7554490486633;162.33717891627595;348.35774031610504;283.6745024111362;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) R02291;L-Aspartate 4-semialdehyde C00441;true
3;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	 L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+ R02291;K00133;1.2.1.11;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;substrate;irreversible;;277.7554490486633;162.33717891627595;-147.31840616434715;389.1306191322598;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) R02291;Orthophosphate C00009;true
3;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	 L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+ R02291;K00133;1.2.1.11;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;;277.7554490486633;162.33717891627595;767.8518459905536;254.12248824816146;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) R02291;NADP+ C00006;true
3;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	 L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+ R02291;K00133;1.2.1.11;1;4-Phospho-L-aspartate	 L-4-Aspartyl phosphate C03082;product;irreversible;;277.7554490486633;162.33717891627595;278.7179004389102;99.89575418881199;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) R02291;4-Phospho-L-aspartate C03082;true
3;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	 L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+ R02291;K00133;1.2.1.11;1;H+	 Hydron C00080;product;irreversible;;277.7554490486633;162.33717891627595;263.2934199649835;331.5108864910804;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) R02291;H+ C00080;true
3;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)	 L-Aspartate 4-semialdehyde + Orthophosphate + NADP+ <=> 4-Phospho-L-aspartate + NADPH + H+ R02291;K00133;1.2.1.11;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;product;irreversible;;277.7554490486633;162.33717891627595;454.9105939228864;253.35069545976603;L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating) R02291;NADPH C00005;true
4;ATP:L-aspartate 4-phosphotransferase	 ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate R00480;K00928,K12526,K12525,K12524;2.7.2.4;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;277.60823446717836;47.747201886645655;277.68258564797816;5.9166670538010635;ATP:L-aspartate 4-phosphotransferase R00480;ATP C00002;true
4;ATP:L-aspartate 4-phosphotransferase	 ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate R00480;K00928,K12526,K12525,K12524;2.7.2.4;1;L-Aspartate	 L-Aspartic acid	 2-Aminosuccinic acid	 L-Asp C00049;substrate;irreversible;;277.60823446717836;47.747201886645655;5.4626433021619505;-67.88362440410242;ATP:L-aspartate 4-phosphotransferase R00480;L-Aspartate C00049;true
4;ATP:L-aspartate 4-phosphotransferase	 ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate R00480;K00928,K12526,K12525,K12524;2.7.2.4;1;4-Phospho-L-aspartate	 L-4-Aspartyl phosphate C03082;product;irreversible;;277.60823446717836;47.747201886645655;278.7179004389102;99.89575418881199;ATP:L-aspartate 4-phosphotransferase R00480;4-Phospho-L-aspartate C03082;true
4;ATP:L-aspartate 4-phosphotransferase	 ATP + L-Aspartate <=> ADP + 4-Phospho-L-aspartate R00480;K00928,K12526,K12525,K12524;2.7.2.4;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;;277.60823446717836;47.747201886645655;91.75447007066509;101.27934829381464;ATP:L-aspartate 4-phosphotransferase R00480;ADP C00008;true
5;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	 O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	 O-Acetyl-L-homoserine + Methanethiol <=> L-Methionine + Acetate R00651;;2.5.1.49;1;Methanethiol	 Methylmercaptan C00409;substrate;irreversible;;277.97000033440827;-69.94946788193019;276.29551075904646;-114.26136196565977;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase R00651;Methanethiol C00409;true
5;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	 O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	 O-Acetyl-L-homoserine + Methanethiol <=> L-Methionine + Acetate R00651;;2.5.1.49;1;O-Acetyl-L-homoserine	 O-Acetylhomoserine C01077;substrate;irreversible;;277.97000033440827;-69.94946788193019;466.54670304356455;-112.79383067780924;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase R00651;O-Acetyl-L-homoserine C01077;true
5;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	 O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	 O-Acetyl-L-homoserine + Methanethiol <=> L-Methionine + Acetate R00651;;2.5.1.49;1;Acetate	 Acetic acid	 Ethanoic acid C00033;product;irreversible;;277.97000033440827;-69.94946788193019;576.5331792001709;-21.72029732279134;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase R00651;Acetate C00033;true
5;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase	 O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)	 O-Acetyl-L-homoserine + Methanethiol <=> L-Methionine + Acetate R00651;;2.5.1.49;1;L-Methionine	 Methionine	 L-2-Amino-4methylthiobutyric acid C00073;product;irreversible;;277.97000033440827;-69.94946788193019;280.94753212739215;-22.463651360875843;O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase R00651;L-Methionine C00073;true
6;O-phospho-L-homoserine phosphate-lyase (adding water	L-threonine-forming)	 O-Phospho-L-homoserine + H2O <=> L-Threonine + Orthophosphate R01466;K01733;4.2.3.1;1;H2O	 Water C00001;substrate;irreversible;;346.01657615796466;498.00041914620795;341.5522451083716;444.5730681758541;O-phospho-L-homoserine phosphate-lyase (adding water R01466;H2O C00001;true
6;O-phospho-L-homoserine phosphate-lyase (adding water	L-threonine-forming)	 O-Phospho-L-homoserine + H2O <=> L-Threonine + Orthophosphate R01466;K01733;4.2.3.1;1;O-Phospho-L-homoserine C01102;substrate;irreversible;;346.01657615796466;498.00041914620795;452.0926270353028;443.2621551351622;O-phospho-L-homoserine phosphate-lyase (adding water R01466;O-Phospho-L-homoserine C01102 C01102;true
6;O-phospho-L-homoserine phosphate-lyase (adding water	L-threonine-forming)	 O-Phospho-L-homoserine + H2O <=> L-Threonine + Orthophosphate R01466;K01733;4.2.3.1;1;L-Threonine	 2-Amino-3-hydroxybutyric acid C00188;product;irreversible;;346.01657615796466;498.00041914620795;346.8504441594665;539.2315109391985;O-phospho-L-homoserine phosphate-lyase (adding water R01466;L-Threonine C00188;true
6;O-phospho-L-homoserine phosphate-lyase (adding water	L-threonine-forming)	 O-Phospho-L-homoserine + H2O <=> L-Threonine + Orthophosphate R01466;K01733;4.2.3.1;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;product;irreversible;;346.01657615796466;498.00041914620795;-147.31840616434715;389.1306191322598;O-phospho-L-homoserine phosphate-lyase (adding water R01466;Orthophosphate C00009;true
