stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetate	 Acetic acid	 Ethanoic acid C00033;substrate;irreversible;superkingdom:Archaea;300;0;200;-100;ATP:acetate phosphotransferase R00315;Acetate C00033;true
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;0__ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;superkingdom:Archaea;300;0;450;-50;ATP:acetate phosphotransferase R00315;ATP C00002;false
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;Acetyl phosphate C00227;product;irreversible;superkingdom:Archaea;300;0;300;50;ATP:acetate phosphotransferase R00315;Acetyl phosphate C00227;true
0;ATP:acetate phosphotransferase	 ATP + Acetate <=> ADP + Acetyl phosphate R00315;K00925;2.7.2.15,2.7.2.1;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;superkingdom:Archaea;300;0;450;50;ATP:acetate phosphotransferase R00315;ADP C00008;false
1;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;Acetate	 Acetic acid	 Ethanoic acid C00033;substrate;irreversible;superkingdom:Archaea;100;0;200;-100;Acetate:CoA ligase R00235;Acetate C00033;true
1;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;CoA	 Coenzyme A	 CoA-SH C00010;substrate;irreversible;superkingdom:Archaea;100;0;100;100;Acetate:CoA ligase R00235;Coenzyme A C00010;true
1;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;1__ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;superkingdom:Archaea;100;0;100;-50;Acetate:CoA ligase R00235;ATP C00002;true
1;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;Acetyl-CoA	 Acetyl coenzyme A C00024;product;irreversible;superkingdom:Archaea;100;0;300;150;Acetate:CoA ligase R00235;Acetyl-Co C00024;true
1;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;AMP	 Adenosine 5'-monophosphate	 Adenylic acid	 Adenylate	 5'-AMP	 5'-Adenylic acid	 5'-Adenosine monophosphate	 Adenosine 5'-phosphate C00020;product;irreversible;superkingdom:Archaea;100;0;50;50;Acetate:CoA ligase R00235;AMP C00020;false
1;Acetate:CoA ligase (AMP-forming)	 ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA R00235;K01913,K01895;6.2.1.1;1;Diphosphate	 Diphosphoric acid	 Pyrophosphate	 Pyrophosphoric acid	 PPi C00013;product;irreversible;superkingdom:Archaea;100;0;-50;50;Acetate:CoA ligase R00235;Diphosphate C00013;false
