stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)	 5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+ R03464;K01499;3.5.4.27;1;5,10-Methenyltetrahydromethanopterin	 5,10-Methenyl-5,6,7,8-tetrahydromethanopterin	 N5,N10-Methenyltetrahydromethanopterin C04330;substrate;irreversible;superkingdom:Archaea;500;550;500;500;5,10-Methenyltetrahydromethanopterin 10-hydrolase R03464;5,10-Methenyltetrahydromethanopterin C04330;true
0;5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)	 5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+ R03464;K01499;3.5.4.27;1;0__H2O	 Water C00001;substrate;irreversible;superkingdom:Archaea;500;550;400;500;5,10-Methenyltetrahydromethanopterin 10-hydrolase R03464;H2O C00001;false
0;5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)	 5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+ R03464;K01499;3.5.4.27;1;5-Formyl-5,6,7,8-tetrahydromethanopterin	 5-Formyl-H4MPT C01274;product;irreversible;superkingdom:Archaea;500;550;500;600;5,10-Methenyltetrahydromethanopterin 10-hydrolase R03464;5-Formyl-5,6,7,8-tetrahydromethanopterin C01274;true
0;5,10-Methenyltetrahydromethanopterin 10-hydrolase (decyclizing)	 5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+ R03464;K01499;3.5.4.27;1;0__H+	 Hydron C00080;product;irreversible;superkingdom:Archaea;500;550;700;600;5,10-Methenyltetrahydromethanopterin 10-hydrolase R03464;H+ C00080;false
1;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420 R04456;K00319;1.5.98.1;1;Coenzyme F420	 Oxidized coenzyme F420	 Coenzyme gamma-F420-2 C00876;substrate;irreversible;superkingdom:Archaea;500;450;500;400;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04456;Coenzyme F420 C00876;true
1;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420 R04456;K00319;1.5.98.1;1;5,10-Methylenetetrahydromethanopterin	 N5,N10-Methylenetetrahydromethanopterin C04377;substrate;irreversible;superkingdom:Archaea;500;450;700;500;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04456;5,10-Methylenetetrahydromethanopterin C04377;true
1;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420 R04456;K00319;1.5.98.1;1;1__H+	 Hydron C00080;substrate;irreversible;superkingdom:Archaea;500;450;400;400;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04456;H+ C00080;false
1;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420 R04456;K00319;1.5.98.1;1;Reduced coenzyme F420 C01080;product;irreversible;superkingdom:Archaea;500;450;900;350;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04456;Reduced coenzyme F420 C01080;true
1;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420 R04456;K00319;1.5.98.1;1;5,10-Methenyltetrahydromethanopterin	 5,10-Methenyl-5,6,7,8-tetrahydromethanopterin	 N5,N10-Methenyltetrahydromethanopterin C04330;product;irreversible;superkingdom:Archaea;500;450;500;500;5,10-methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04456;5,10-Methenyltetrahydromethanopterin C04330;true
2;Hydrogen:Coenzyme F420 oxidoreductase	 Coenzyme F420 + Hydrogen <=> Reduced coenzyme F420 R03025;K00441,K00442,K00440,K00443;1.12.98.1;1;Hydrogen	 H2 C00282;substrate;irreversible;superkingdom:Archaea;500;350;500;300;Hydrogen:Coenzyme F420 oxidoreductase R03025;H2 C00282;true
2;Hydrogen:Coenzyme F420 oxidoreductase	 Coenzyme F420 + Hydrogen <=> Reduced coenzyme F420 R03025;K00441,K00442,K00440,K00443;1.12.98.1;1;Coenzyme F420	 Oxidized coenzyme F420	 Coenzyme gamma-F420-2 C00876;substrate;irreversible;superkingdom:Archaea;500;350;500;400;Hydrogen:Coenzyme F420 oxidoreductase R03025;Coenzyme F420 C00876;true
2;Hydrogen:Coenzyme F420 oxidoreductase	 Coenzyme F420 + Hydrogen <=> Reduced coenzyme F420 R03025;K00441,K00442,K00440,K00443;1.12.98.1;1;Reduced coenzyme F420 C01080;product;irreversible;superkingdom:Archaea;500;350;900;350;Hydrogen:Coenzyme F420 oxidoreductase R03025;Reduced coenzyme F420 C01080;true
3;5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 <=> 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420 R04464;K00320;1.5.98.2;1;Reduced coenzyme F420 C01080;substrate;irreversible;superkingdom:Archaea;900;400;900;350;5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04464;Reduced coenzyme F420 C01080;true
3;5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase	 5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 <=> 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420 R04464;K00320;1.5.98.2;1;5,10-Methylenetetrahydromethanopterin	 N5,N10-Methylenetetrahydromethanopterin C04377;substrate;irreversible;superkingdom:Archaea;900;400;700;500;5,10-Methylenetetrahydromethanopterin:coenzyme-F420 oxidoreductase R04464;5,10-Methylenetetrahydromethanopterin C04377;true
