stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;acetyl-CoA:acetyl-CoA C-acetyltransferase	 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA R00238;K07508,K07509,K00626,K00632,K07513;2.3.1.16,2.3.1.9;2;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;irreversible;;-7;-301;-502.55435824394226;9.305008322000504;acetyl-CoA:acetyl-CoA C-acetyltransferase	 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA R00238;Acetyl-CoA	 Acetyl coenzyme A C00024;true
0;acetyl-CoA:acetyl-CoA C-acetyltransferase	 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA R00238;K07508,K07509,K00626,K00632,K07513;2.3.1.16,2.3.1.9;1;Acetoacetyl-CoA	 Acetoacetyl coenzyme A	 3-Acetoacetyl-CoA C00332;product;irreversible;;-7;-301;-484;-170;acetyl-CoA:acetyl-CoA C-acetyltransferase	 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA R00238;Acetoacetyl-CoA	 Acetoacetyl coenzyme A	 3-Acetoacetyl-CoA C00332;true
0;acetyl-CoA:acetyl-CoA C-acetyltransferase	 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA R00238;K07508,K07509,K00626,K00632,K07513;2.3.1.16,2.3.1.9;1;CoA	 Coenzyme A	 CoA-SH C00010;product;irreversible;;-7;-301;462;-185;acetyl-CoA:acetyl-CoA C-acetyltransferase	 2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA R00238;CoA	 Coenzyme A	 CoA-SH C00010;true
1;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;K00634;2.3.1.19;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;substrate;irreversible;;403;159;459;134;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;true
1;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;K00634;2.3.1.19;1;Butanoyl-CoA	 Butyryl-CoA C00136;substrate;irreversible;;403;159;279;92;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;Butanoyl-CoA	 Butyryl-CoA C00136;true
1;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;K00634;2.3.1.19;1;CoA	 Coenzyme A	 CoA-SH C00010;product;irreversible;;403;159;462;-185;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;CoA	 Coenzyme A	 CoA-SH C00010;true
1;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;K00634;2.3.1.19;1;Butanoylphosphate	 Butanoyl phosphate C02527;product;irreversible;;403;159;173;217;butanoyl-CoA:phosphate butanoyltransferase	 Butanoyl-CoA + Orthophosphate <=> CoA + Butanoylphosphate R01174;Butanoylphosphate	 Butanoyl phosphate C02527;true
2;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;K01035,K01034;2.8.3.9;1;Acetoacetate	 3-Oxobutanoic acid	 beta-Ketobutyric acid	 Acetoacetic acid C00164;substrate;irreversible;;2.2421416640281677;111.72642517089844;55;146;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;Acetoacetate	 3-Oxobutanoic acid	 beta-Ketobutyric acid	 Acetoacetic acid C00164;true
2;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;K01035,K01034;2.8.3.9;1;Butanoyl-CoA	 Butyryl-CoA C00136;substrate;irreversible;;2.2421416640281677;111.72642517089844;279;92;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;Butanoyl-CoA	 Butyryl-CoA C00136;true
2;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;K01035,K01034;2.8.3.9;1;Acetoacetyl-CoA	 Acetoacetyl coenzyme A	 3-Acetoacetyl-CoA C00332;product;irreversible;;2.2421416640281677;111.72642517089844;-484;-170;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;Acetoacetyl-CoA	 Acetoacetyl coenzyme A	 3-Acetoacetyl-CoA C00332;true
2;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;K01035,K01034;2.8.3.9;1;Butanoic acid	 Butanoate	 Butyrate	 Butyric acid C00246;product;irreversible;;2.2421416640281677;111.72642517089844;-83;164;Butanoyl-CoA:acetoacetate CoA-transferase	 Butanoyl-CoA + Acetoacetate <=> Butanoic acid + Acetoacetyl-CoA R01365;Butanoic acid	 Butanoate	 Butyrate	 Butyric acid C00246;true
3;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;K00248;1.3.8.1;1;Short-chain acyl-CoA C20675;substrate;irreversible;;2;49;-309;18;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;Short-chain acyl-CoA C20675;true
3;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;K00248;1.3.8.1;1;Electron-transferring flavoprotein	 Electron-transfer flavoprotein C04253;substrate;irreversible;;2;49;57;21;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;Electron-transferring flavoprotein	 Electron-transfer flavoprotein C04253;true
3;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;K00248;1.3.8.1;1;Reduced electron-transferring flavoprotein	 Reduced electron-transfer flavoprotein C04570;product;irreversible;;2;49;-306;87;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;Reduced electron-transferring flavoprotein	 Reduced electron-transfer flavoprotein C04570;true
3;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;K00248;1.3.8.1;1;Short-chain trans-2,3-dehydroacyl-CoA C20676;product;irreversible;;2;49;65;85;short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase	 Short-chain acyl-CoA + Electron-transferring flavoprotein <=> Short-chain trans-2,3-dehydroacyl-CoA + Reduced electron-transferring flavoprotein R01178;Short-chain trans-2,3-dehydroacyl-CoA C20676;true
4;(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	 (S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+ R01976;K00074;1.1.1.157;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;;-3;-212;148;-280;(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	 (S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+ R01976;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;true
4;(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	 (S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+ R01976;K00074;1.1.1.157;1;(S)-3-Hydroxybutanoyl-CoA	 (S)-3-Hydroxybutyryl-CoA C01144;substrate;irreversible;;-3;-212;-145;-278;(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase	 (S)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+ R01976;(S)-3-Hydroxybutanoyl-CoA	 (S)-3-Hydroxybutyryl-CoA C01144;true
