stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;;3.2.1.37;1;Xylan	 1,4-beta-D-Xylan	 (1,4-beta-D-Xylan)n	 (1,4-beta-D-Xylan)n+1	 (Xyl)1 (*)2 G10512;substrate;irreversible;;411.8157359630055;134.2624995857521;570.7550547159542;49.80217266964439;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;Xylan	 1,4-beta-D-Xylan	 (1,4-beta-D-Xylan)n	 (1,4-beta-D-Xylan)n+1	 (Xyl)1 (*)2 G10512;true
0;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;;3.2.1.37;1;D-Xylose	 Wood sugar C00181;substrate;irreversible;;411.8157359630055;134.2624995857521;409.84120583649815;43.448631852323444;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;D-Xylose	 Wood sugar C00181;true
0;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;;3.2.1.37;1;Xylan	 1,4-beta-D-Xylan	 (1,4-beta-D-Xylan)n	 (1,4-beta-D-Xylan)n+1	 (Xyl)1 (*)2 G10512;product;irreversible;;411.8157359630055;134.2624995857521;570.7550547159542;49.80217266964439;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;Xylan	 1,4-beta-D-Xylan	 (1,4-beta-D-Xylan)n	 (1,4-beta-D-Xylan)n+1	 (Xyl)1 (*)2 G10512;true
0;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;;3.2.1.37;1;H2O	 Water C00001;product;irreversible;;411.8157359630055;134.2624995857521;310.797163122039;229.45566907533768;D-Xylose + Xylan(n) <=> Xylan(n+1) + H2O R06203;H2O	 Water C00001;true
1;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;;3.2.1.25;1;1,4-beta-D-Mannooligosaccharide	 [(1->4)-beta-D-Mannosyl]n C17207;substrate;irreversible;;447.9448417656444;278.18097087735725;573.39326548481;323.1627897749536;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;1,4-beta-D-Mannooligosaccharide	 [(1->4)-beta-D-Mannosyl]n C17207;true
1;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;;3.2.1.25;1;H2O	 Water C00001;substrate;irreversible;;447.9448417656444;278.18097087735725;310.797163122039;229.45566907533768;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;H2O	 Water C00001;true
1;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;;3.2.1.25;1;1,4-beta-D-Mannooligosaccharide	 [(1->4)-beta-D-Mannosyl]n C17207;product;irreversible;;447.9448417656444;278.18097087735725;573.39326548481;323.1627897749536;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;1,4-beta-D-Mannooligosaccharide	 [(1->4)-beta-D-Mannosyl]n C17207;true
1;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;;3.2.1.25;1;D-Mannose	 Mannose	 Seminose	 Carubinose	 D-Mannopyranose C00159;product;irreversible;;447.9448417656444;278.18097087735725;531.1507727983078;188.52847530384474;1,4-beta-D-Mannooligosaccharide mannohydrolase	 1,4-beta-D-Mannooligosaccharide + H2O <=> D-Mannose + 1,4-beta-D-Mannooligosaccharide R08614;D-Mannose	 Mannose	 Seminose	 Carubinose	 D-Mannopyranose C00159;true
2;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;;3.2.1.22;1;H2O	 Water C00001;substrate;irreversible;;452.3132860783469;365.7213266975402;310.797163122039;229.45566907533768;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;H2O	 Water C00001;true
2;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;;3.2.1.22;1;Manninotriose	 (Gal)2 (Glc)1 G00501;substrate;irreversible;;452.3132860783469;365.7213266975402;453.7797590898979;470.2935842021525;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;Manninotriose	 (Gal)2 (Glc)1 G00501;true
2;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;;3.2.1.22;1;Melibiose	 (Gal)1 (Glc)1 G01275;product;irreversible;;452.3132860783469;365.7213266975402;259.4612667483525;320.6380860426222;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;Melibiose	 (Gal)1 (Glc)1 G01275;true
2;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;;3.2.1.22;1;D-Galactose	 D-Galactopyranose C00124;product;irreversible;;452.3132860783469;365.7213266975402;277.57756902862934;468.7954308315026;Manninotriose + H2O <=> D-Galactose + Melibiose R06096;D-Galactose	 D-Galactopyranose C00124;true
3;Endo-1,4-beta-xylanase U00003;;3.2.1.8;1;long hemicellulose K00015;substrate;irreversible;;33.58918745815754;102.63362073898315;-44.785579681396484;151.15132904052734;Endo-1,4-beta-xylanase U00003;long hemicellulose K00015;true
3;Endo-1,4-beta-xylanase U00003;;3.2.1.8;1;hemicellulose K00016;product;irreversible;;33.58918745815754;102.63362073898315;123.16034698486328;141.82100629806519;Endo-1,4-beta-xylanase U00003;hemicellulose K00016;true
