stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;sucrose alpha-glucohydrolase	 Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose R00802;K01187,K12047,K12317,K12316,K01193,K15922,K01203;3.2.1.26,3.2.1.48,3.2.1.20;1;Sucrose	 Cane sugar	 Saccharose	 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside C00089;substrate;irreversible;;3;-390;137;-495;sucrose alpha-glucohydrolase R00802;Sucrose C00089;true
0;sucrose alpha-glucohydrolase	 Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose R00802;K01187,K12047,K12317,K12316,K01193,K15922,K01203;3.2.1.26,3.2.1.48,3.2.1.20;1;H2O	 Water C00001;substrate;irreversible;;3;-390;-93;-326;sucrose alpha-glucohydrolase R00802;H2O C00001;true
0;sucrose alpha-glucohydrolase	 Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose R00802;K01187,K12047,K12317,K12316,K01193,K15922,K01203;3.2.1.26,3.2.1.48,3.2.1.20;1;beta-D-Fructose	 beta-Fruit sugar	 beta-D-arabino-Hexulose	 beta-Levulose	 Fructose C02336;product;irreversible;;3;-390;351;-251;sucrose alpha-glucohydrolase R00802;beta-D-Fructose C02336;true
0;sucrose alpha-glucohydrolase	 Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose R00802;K01187,K12047,K12317,K12316,K01193,K15922,K01203;3.2.1.26,3.2.1.48,3.2.1.20;1;alpha-D-Glucose C00267;product;irreversible;;3;-390;5;-494;sucrose alpha-glucohydrolase R00802;alpha-D-Glucose C00267 C00267;true
1;1,4-alpha-D-Glucan glucanohydrolase	 Starch + H2O <=> Dextrin + Starch R02108;K01176,K05343,K07405;3.2.1.1;1;H2O	 Water C00001;substrate;irreversible;;2;-249;-93;-326;1,4-alpha-D-Glucan glucanohydrolase R02108;H2O C00001;true
1;1,4-alpha-D-Glucan glucanohydrolase	 Starch + H2O <=> Dextrin + Starch R02108;K01176,K05343,K07405;3.2.1.1;1;Starch	 Glycogen C00369;substrate;irreversible;;2;-249;375;-137;1,4-alpha-D-Glucan glucanohydrolase R02108;Starch C00369;true
1;1,4-alpha-D-Glucan glucanohydrolase	 Starch + H2O <=> Dextrin + Starch R02108;K01176,K05343,K07405;3.2.1.1;1;Dextrin C00721;product;irreversible;;2;-249;205;-144;1,4-alpha-D-Glucan glucanohydrolase R02108;Dextrin C00721 C00721;true
1;1,4-alpha-D-Glucan glucanohydrolase	 Starch + H2O <=> Dextrin + Starch R02108;K01176,K05343,K07405;3.2.1.1;1;Starch	 Glycogen C00369;product;irreversible;;2;-249;375;-137;1,4-alpha-D-Glucan glucanohydrolase R02108;Starch C00369;true
2;alpha-maltose 1-phosphate:(1->4)-alpha-D-glucan 4-alpha-D-maltosyltransferase	 alpha-Maltose 1-phosphate + Amylose(n) <=> Orthophosphate + Amylose(n+2) R09994;K16147;2.4.99.16;1;Amylose	 Amylose chain	 (1,4-alpha-D-Glucosyl)n	 (1,4-alpha-D-Glucosyl)n+1	 (1,4-alpha-D-Glucosyl)n-1	 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose	 1,4-alpha-D-Glucan C00718;substrate;irreversible;;1;-37;-2;60;alpha-maltose 1-phosphate:(1->4)-alpha-D-glucan 4-alpha-D-maltosyltransferase R09994;Amylose C00718;true
2;alpha-maltose 1-phosphate:(1->4)-alpha-D-glucan 4-alpha-D-maltosyltransferase	 alpha-Maltose 1-phosphate + Amylose(n) <=> Orthophosphate + Amylose(n+2) R09994;K16147;2.4.99.16;1;alpha-Maltose 1-phosphate C20237;substrate;irreversible;;1;-37;0;-146;alpha-maltose 1-phosphate:(1->4)-alpha-D-glucan 4-alpha-D-maltosyltransferase R09994;alpha-Maltose 1-phosphate C20237 C20237;true
