stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;;3.1.1.79,3.1.1.34,3.1.1.3;1;H2O	 Water C00001;substrate;irreversible;;-1;-499;175;-228;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;H2O	 Water C00001;true
0;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;;3.1.1.79,3.1.1.34,3.1.1.3;1;Triacylglycerol	 Triglyceride C00422;substrate;irreversible;;-1;-499;426;-585;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;Triacylglycerol	 Triglyceride C00422;true
0;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;;3.1.1.79,3.1.1.34,3.1.1.3;1;Diacylglycerol	 Diglyceride C00165;product;irreversible;;-1;-499;268;-586;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;Diacylglycerol	 Diglyceride C00165;true
0;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;;3.1.1.79,3.1.1.34,3.1.1.3;1;Carboxylate	 R-COOH	 Monocarboxylate	 Carboxylic acid C00060;product;irreversible;;-1;-499;0;-584;triacylglycerol acylhydrolase	 Triacylglycerol + H2O <=> Diacylglycerol + Carboxylate R01369;Carboxylate	 R-COOH	 Monocarboxylate	 Carboxylic acid C00060;true
1;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;K13704,K13700;3.1.1.23;1;H2O	 Water C00001;substrate;irreversible;;334;-345;175;-228;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;H2O	 Water C00001;true
1;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;K13704,K13700;3.1.1.23;1;2-Acylglycerol	 2-Glyceride	 2-Monoacylglycerol C02112;substrate;irreversible;;334;-345;336;-402;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;2-Acylglycerol	 2-Glyceride	 2-Monoacylglycerol C02112;true
1;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;K13704,K13700;3.1.1.23;1;Fatty acid C00162;product;irreversible;;334;-345;168;-384;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;Fatty acid C00162;true
1;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;K13704,K13700;3.1.1.23;1;Glycerol	 Glycerin	 1,2,3-Trihydroxypropane	 1,2,3-Propanetriol C00116;product;irreversible;;334;-345;176;-282;2-acylglycerol acylhydrolase	 2-Acylglycerol + H2O <=> Glycerol + Fatty acid R01352;Glycerol	 Glycerin	 1,2,3-Trihydroxypropane	 1,2,3-Propanetriol C00116;true
2;1-acylglycerol acylhydrolase	 1-Acylglycerol + H2O <=> Glycerol + Fatty acid R01351;K01054;3.1.1.23;1;1-Acylglycerol	 Glyceride	 Monoglyceride	 Monoacylglycerol	 1-Monoacylglycerol C01885;substrate;irreversible;;-2;-343;68;-422;1-acylglycerol acylhydrolase	 1-Acylglycerol + H2O <=> Glycerol + Fatty acid R01351;1-Acylglycerol	 Glyceride	 Monoglyceride	 Monoacylglycerol	 1-Monoacylglycerol C01885;true
2;1-acylglycerol acylhydrolase	 1-Acylglycerol + H2O <=> Glycerol + Fatty acid R01351;K01054;3.1.1.23;1;H2O	 Water C00001;substrate;irreversible;;-2;-343;175;-228;1-acylglycerol acylhydrolase	 1-Acylglycerol + H2O <=> Glycerol + Fatty acid R01351;H2O	 Water C00001;true
