stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;;3.2.1.52;1;alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	 Globotriosylceramide	 Trihexosylceramide	 Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer	 Gal-alpha1->4LacCer	 D-Galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide C04737;substrate;irreversible;;-733.6067647337914;-639.6323857307434;-739.0974915027618;-702.5342741012573;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	 Globotriosylceramide	 Trihexosylceramide	 Gal-alpha1->4Gal-beta1->4Glc-beta1->1'Cer	 Gal-alpha1->4LacCer	 D-Galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide C04737;true
0;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;;3.2.1.52;1;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;substrate;irreversible;;-733.6067647337914;-639.6323857307434;18.188597679138184;-771.4997257590294;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;true
0;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;;3.2.1.52;1;H2O	 Water C00001;product;irreversible;;-733.6067647337914;-639.6323857307434;-181.88598537445068;-826.065521478653;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;H2O	 Water C00001;true
0;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;;3.2.1.52;1;Globoside	 Globoside I	 N-Acetyl-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide	 N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide C03272;product;irreversible;;-733.6067647337914;-639.6323857307434;-794.2354571819305;-613.8651432991028;Trihexosylceramide N-acetylhexosaminohydrolase	 alpha-D-Galactosyl-(1->4)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide + N-Acetyl-D-galactosamine <=> Globoside + H2O R04184;Globoside	 Globoside I	 N-Acetyl-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide	 N-Acetyl-D-galactosaminyl-1,3-D-galactosyl-1,4-D-galactosyl-1,4-D-glucosylceramide C03272;true
1;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;;3.2.1.52;1;H2O	 Water C00001;substrate;irreversible;;968.5428628921509;-642.6638188362122;-181.88598537445068;-826.065521478653;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;H2O	 Water C00001;true
1;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;;3.2.1.52;1;GA2	 GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer	 GalNAc-beta1->4LacCer C06135;substrate;irreversible;;968.5428628921509;-642.6638188362122;963.9956827163696;-715.418182849884;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;GA2	 GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer	 GalNAc-beta1->4LacCer C06135;true
1;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;;3.2.1.52;1;Lactosylceramide	 beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	 beta-D-Galactosyl-1,4-beta-D-glucosylceramide	 Gal-beta1->4Glc-beta1->1'Cer	 LacCer	 Lactosyl-N-acylsphingosine	 D-Galactosyl-1,4-beta-D-glucosylceramide C01290;product;irreversible;;968.5428628921509;-642.6638188362122;1076.1586771011353;-598.7080385684967;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;Lactosylceramide	 beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	 beta-D-Galactosyl-1,4-beta-D-glucosylceramide	 Gal-beta1->4Glc-beta1->1'Cer	 LacCer	 Lactosyl-N-acylsphingosine	 D-Galactosyl-1,4-beta-D-glucosylceramide C01290;true
1;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;;3.2.1.52;1;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;product;irreversible;;968.5428628921509;-642.6638188362122;18.188597679138184;-771.4997257590294;beta-D-Galactosyl-1,4-beta-D-glucosylceramide N-acetylhexosaminohydrolase	 GA2 + H2O <=> Lactosylceramide + N-Acetyl-D-galactosamine R03492;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;H2O	 Water C00001;substrate;irreversible;;16;-643;-181.88598537445068;-826.065521478653;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;H2O	 Water C00001;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	 GM2	 Tay-Sachs ganglioside	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-1,4-beta-D-glucosyl-N-acylsphingosine	 GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer C04884;substrate;irreversible;;16;-643;74.27011203765869;-695.7138676643372;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	 GM2	 Tay-Sachs ganglioside	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-1,4-beta-D-glucosyl-N-acylsphingosine	 GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer C04884;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;H2O	 Water C00001;substrate;irreversible;;16;-643;-181.88598537445068;-826.065521478653;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;H2O	 Water C00001;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	 GM2	 Tay-Sachs ganglioside	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-1,4-beta-D-glucosyl-N-acylsphingosine	 GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer C04884;substrate;irreversible;;16;-643;74.27011203765869;-695.7138676643372;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide	 GM2	 Tay-Sachs ganglioside	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-1,4-beta-D-glucosyl-N-acylsphingosine	 GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer C04884;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;product;irreversible;;16;-643;18.188597679138184;-771.4997257590294;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;GM3	 (N-Acetylneuraminyl)-D-galactosyl-D-glucosylceramide	 alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide	 N-Acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide	 Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer C04730;product;irreversible;;16;-643;78.81726169586182;-598.7080082893372;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;GM3	 (N-Acetylneuraminyl)-D-galactosyl-D-glucosylceramide	 alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide	 N-Acetylneuraminyl-2,3-alpha-D-galactosyl-1,4-beta-D-glucosylceramide	 Neu5Ac-alpha2->3Gal-beta1->4Glc-beta1->1'Cer C04730;true
2;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;;3.2.1.52;1;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;product;irreversible;;16;-643;18.188597679138184;-771.4997257590294;N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D- glucosylceramide N-acetylhexosaminohydrolase	 N-Acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide + H2O <=> GM3 + N-Acetyl-D-galactosamine R04586;N-Acetyl-D-galactosamine	 N-Acetyl-D-chondrosamine	 2-Acetamido-2-deoxy-D-galactose C01132;true
