stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;K06013,K08658;3.4.24.84;1;H2O	 Water C00001;substrate;irreversible;;-1;-202;160;25;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;H2O	 Water C00001;true
0;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;K06013,K08658;3.4.24.84;1;S-Farnesyl protein	 S-Farnesyl protein C-terminal CAAX C20120;substrate;irreversible;;-1;-202;-3;-261;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;S-Farnesyl protein	 S-Farnesyl protein C-terminal CAAX C20120;true
0;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;K06013,K08658;3.4.24.84;1;Peptide C00012;product;irreversible;;-1;-202;465;-117;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;Peptide C00012;true
0;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;K06013,K08658;3.4.24.84;1;Protein C-terminal S-farnesyl-L-cysteine C04506;product;irreversible;;-1;-202;253;-114;CAAX protease	 S-Farnesyl protein + H2O <=> Protein C-terminal S-farnesyl-L-cysteine + Peptide R09845;Protein C-terminal S-farnesyl-L-cysteine C04506;true
1;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;K05604,K08660;3.4.13.20,3.4.13.18;1;Carnosine	 Nalpha-(beta-alanyl)-L-histidine C00386;substrate;irreversible;;1;-42;1;-108;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;Carnosine	 Nalpha-(beta-alanyl)-L-histidine C00386;true
1;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;K05604,K08660;3.4.13.20,3.4.13.18;1;H2O	 Water C00001;substrate;irreversible;;1;-42;160;25;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;H2O	 Water C00001;true
1;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;K05604,K08660;3.4.13.20,3.4.13.18;1;beta-Alanine	 3-Aminopropionic acid	 3-Aminopropanoate C00099;product;irreversible;;1;-42;404;3;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;beta-Alanine	 3-Aminopropionic acid	 3-Aminopropanoate C00099;true
1;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;K05604,K08660;3.4.13.20,3.4.13.18;1;L-Histidine	 (S)-alpha-Amino-1H-imidazole-4-propionic acid C00135;product;irreversible;;1;-42;-269;6;Nalpha-(beta-alanyl)-L-histidine hydrolase	 Carnosine + H2O <=> beta-Alanine + L-Histidine R01166;L-Histidine	 (S)-alpha-Amino-1H-imidazole-4-propionic acid C00135;true
2;alpha-Aminobutyryl histidine hydrolase	 Homocarnosine + H2O <=> 4-Aminobutanoate + L-Histidine R01992;K05604,K08660;3.4.13.20,3.4.13.18;1;H2O	 Water C00001;substrate;irreversible;;-1;98;160;25;alpha-Aminobutyryl histidine hydrolase	 Homocarnosine + H2O <=> 4-Aminobutanoate + L-Histidine R01992;H2O	 Water C00001;true
2;alpha-Aminobutyryl histidine hydrolase	 Homocarnosine + H2O <=> 4-Aminobutanoate + L-Histidine R01992;K05604,K08660;3.4.13.20,3.4.13.18;1;Homocarnosine	 L-Homocarnosine	 gamma-Aminobutyryl histidine	 N-(4-Amino-1-oxobutyryl)histidine C00884;substrate;irreversible;;-1;98;23;56;alpha-Aminobutyryl histidine hydrolase	 Homocarnosine + H2O <=> 4-Aminobutanoate + L-Histidine R01992;Homocarnosine	 L-Homocarnosine	 gamma-Aminobutyryl histidine	 N-(4-Amino-1-oxobutyryl)histidine C00884;true
