stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;K18857,K00001,K13980,K00121,K04072,K13953,K13954,K13951,K13952;1.1.1.1,1.1.1.71;1;Primary alcohol	 1-Alcohol C00226;substrate;irreversible;;-403;-126;-405.4466247558594;-196;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;Primary alcohol	 1-Alcohol C00226;true
0;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;K18857,K00001,K13980,K00121,K04072,K13953,K13954,K13951,K13952;1.1.1.1,1.1.1.71;1;0__NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;-403;-126;-254.00527940690517;-205.18348336219788;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;0__NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;false
0;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;K18857,K00001,K13980,K00121,K04072,K13953,K13954,K13951,K13952;1.1.1.1,1.1.1.71;1;Aldehyde	 RCHO C00071;product;irreversible;;-403;-126;-237.0290069580078;-77.2293586730957;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;Aldehyde	 RCHO C00071;true
0;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;K18857,K00001,K13980,K00121,K04072,K13953,K13954,K13951,K13952;1.1.1.1,1.1.1.71;1;0__H+	 Hydron C00080;product;irreversible;;-403;-126;-515.2678511142731;-193.30791592597961;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;0__H+	 Hydron C00080;false
0;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;K18857,K00001,K13980,K00121,K04072,K13953,K13954,K13951,K13952;1.1.1.1,1.1.1.71;1;0__NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;-403;-126;-672.9490202516317;-29.68893849849701;primary_alcohol:NAD+ oxidoreductase	 Primary alcohol + NAD+ <=> Aldehyde + NADH + H+ R00623;0__NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;false
1;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;K00132,K04072,K04073,K04021,K18366;1.2.1.10;1;CoA	 Coenzyme A	 CoA-SH C00010;substrate;irreversible;;2;64;-154;34;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;CoA	 Coenzyme A	 CoA-SH C00010;true
1;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;K00132,K04072,K04073,K04021,K18366;1.2.1.10;1;Acetaldehyde	 Ethanal C00084;substrate;irreversible;;2;64;71;33;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;Acetaldehyde	 Ethanal C00084;true
1;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;K00132,K04072,K04073,K04021,K18366;1.2.1.10;1;1__NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;2;64;-0.6597540378570557;19.13286566734314;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;1__NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;false
1;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;K00132,K04072,K04073,K04021,K18366;1.2.1.10;1;Acetyl-CoA	 Acetyl coenzyme A C00024;product;irreversible;;2;64;4;116;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;Acetyl-CoA	 Acetyl coenzyme A C00024;true
1;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;K00132,K04072,K04073,K04021,K18366;1.2.1.10;1;1__H+	 Hydron C00080;product;irreversible;;2;64;-137.22882342338562;115.45694673061371;acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	 Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+ R00228;1__H+	 Hydron C00080;false
