stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;Acetyl-CoA:formate C-acetyltransferase	 Acetyl-CoA + Formate <=> CoA + Pyruvate R00212;K00656;2.3.1.54;1;Acetyl-CoA	 Acetyl coenzyme A C00024;substrate;irreversible;superkingdom:Bacteria;-5;-57;0;0;Acetyl-CoA:formate C-acetyltransferase R00212;Acetyl-CoA C00024;true
0;Acetyl-CoA:formate C-acetyltransferase	 Acetyl-CoA + Formate <=> CoA + Pyruvate R00212;K00656;2.3.1.54;1;Formate	 Methanoic acid	 Formic acid C00058;substrate;irreversible;superkingdom:Bacteria;-5;-57;-451;78;Acetyl-CoA:formate C-acetyltransferase R00212;Formate C00058;true
0;Acetyl-CoA:formate C-acetyltransferase	 Acetyl-CoA + Formate <=> CoA + Pyruvate R00212;K00656;2.3.1.54;1;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;product;irreversible;superkingdom:Bacteria;-5;-57;78;-90;Acetyl-CoA:formate C-acetyltransferase R00212;Pyruvate C00022;true
0;Acetyl-CoA:formate C-acetyltransferase	 Acetyl-CoA + Formate <=> CoA + Pyruvate R00212;K00656;2.3.1.54;1;CoA	 Coenzyme A	 CoA-SH C00010;product;irreversible;superkingdom:Bacteria;-5;-57;-95;-92;Acetyl-CoA:formate C-acetyltransferase R00212;CoA C00010;true
1;formate:NAD+ oxidoreductase	 Formate + NAD+ <=> H+ + CO2 + NADH R00519;K00122,K00123,K00126,K00127,K22515,K00124;1.17.1.9;1;Formate	 Methanoic acid	 Formic acid C00058;substrate;irreversible;superkingdom:Bacteria;9;143;-451;78;formate:NAD+ oxidoreductase R00519;Formate C00058;true
1;formate:NAD+ oxidoreductase	 Formate + NAD+ <=> H+ + CO2 + NADH R00519;K00122,K00123,K00126,K00127,K22515,K00124;1.17.1.9;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;superkingdom:Bacteria;9;143;-127;160;formate:NAD+ oxidoreductase R00519;NAD+ C00003;true
1;formate:NAD+ oxidoreductase	 Formate + NAD+ <=> H+ + CO2 + NADH R00519;K00122,K00123,K00126,K00127,K22515,K00124;1.17.1.9;1;CO2	 Carbon dioxide C00011;product;irreversible;superkingdom:Bacteria;9;143;345;141;formate:NAD+ oxidoreductase R00519;CO2 C00011;true
1;formate:NAD+ oxidoreductase	 Formate + NAD+ <=> H+ + CO2 + NADH R00519;K00122,K00123,K00126,K00127,K22515,K00124;1.17.1.9;1;H+	 Hydron C00080;product;irreversible;superkingdom:Bacteria;9;143;42;101;formate:NAD+ oxidoreductase R00519;H+ C00080;true
1;formate:NAD+ oxidoreductase	 Formate + NAD+ <=> H+ + CO2 + NADH R00519;K00122,K00123,K00126,K00127,K22515,K00124;1.17.1.9;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;superkingdom:Bacteria;9;143;-196;110;formate:NAD+ oxidoreductase R00519;NADH C00004;true
2;formate:acceptor oxidoreductase	 Formate + Acceptor <=> CO2 + Reduced acceptor R09481;;1.17.99.7;1;Acceptor	 Hydrogen-acceptor	 A	 Oxidized donor C00028;substrate;irreversible;superkingdom:Bacteria;13;245;80;200;formate:acceptor oxidoreductase R09481;Acceptor C00028;true
2;formate:acceptor oxidoreductase	 Formate + Acceptor <=> CO2 + Reduced acceptor R09481;;1.17.99.7;1;Formate	 Methanoic acid	 Formic acid C00058;substrate;irreversible;superkingdom:Bacteria;13;245;-451;78;formate:acceptor oxidoreductase R09481;Formate C00058;true
2;formate:acceptor oxidoreductase	 Formate + Acceptor <=> CO2 + Reduced acceptor R09481;;1.17.99.7;1;CO2	 Carbon dioxide C00011;product;irreversible;superkingdom:Bacteria;13;245;345;141;formate:acceptor oxidoreductase R09481;CO2 C00011;true
2;formate:acceptor oxidoreductase	 Formate + Acceptor <=> CO2 + Reduced acceptor R09481;;1.17.99.7;1;Reduced acceptor	 AH2	 Hydrogen-donor	 Donor C00030;product;irreversible;superkingdom:Bacteria;13;245;-126;184;formate:acceptor oxidoreductase R09481;Reduced acceptor C00030;true
3;formate:NADP+ oxidoreductase	 Formate + NADP+ <=> CO2 + NADPH + H+ R00134;K15022,K05299;1.17.1.10;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;superkingdom:Bacteria;2;59;-137;35;formate:NADP+ oxidoreductase R00134;NADP+ C00006;true
3;formate:NADP+ oxidoreductase	 Formate + NADP+ <=> CO2 + NADPH + H+ R00134;K15022,K05299;1.17.1.10;1;Formate	 Methanoic acid	 Formic acid C00058;substrate;irreversible;superkingdom:Bacteria;2;59;-451;78;formate:NADP+ oxidoreductase R00134;Formate C00058;true
3;formate:NADP+ oxidoreductase	 Formate + NADP+ <=> CO2 + NADPH + H+ R00134;K15022,K05299;1.17.1.10;1;CO2	 Carbon dioxide C00011;product;irreversible;superkingdom:Bacteria;2;59;345;141;formate:NADP+ oxidoreductase R00134;CO2 C00011;true
3;formate:NADP+ oxidoreductase	 Formate + NADP+ <=> CO2 + NADPH + H+ R00134;K15022,K05299;1.17.1.10;1;H+	 Hydron C00080;product;irreversible;superkingdom:Bacteria;2;59;42;101;formate:NADP+ oxidoreductase R00134;H+ C00080;true
3;formate:NADP+ oxidoreductase	 Formate + NADP+ <=> CO2 + NADPH + H+ R00134;K15022,K05299;1.17.1.10;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;product;irreversible;superkingdom:Bacteria;2;59;186;79;formate:NADP+ oxidoreductase R00134;NADPH C00005;true
