stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;H2O	 Water C00001;substrate;irreversible;;649.5768264238451;-124.56306402828034;1250.4356953281497;62.05392154937982;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;H2O C00001;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;649.5768264238451;-124.56306402828034;644.258365607624;-185.7149486584845;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;NAD+ C00003;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;L-Glutamate	 L-Glutamic acid	 L-Glutaminic acid	 Glutamate C00025;substrate;irreversible;;649.5768264238451;-124.56306402828034;832.4986927287266;97.05450491877954;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;L-Glutamate C00025;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;H2O	 Water C00001;substrate;irreversible;;649.5768264238451;-124.56306402828034;1250.4356953281497;62.05392154937982;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;H2O C00001;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;649.5768264238451;-124.56306402828034;644.258365607624;-185.7149486584845;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;NAD+ C00003;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;L-Glutamate	 L-Glutamic acid	 L-Glutaminic acid	 Glutamate C00025;substrate;irreversible;;649.5768264238451;-124.56306402828034;832.4986927287266;97.05450491877954;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;L-Glutamate C00025;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;H+	 Hydron C00080;product;irreversible;;649.5768264238451;-124.56306402828034;743.5281509099093;-62.97357168582562;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;H+ C00080;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;649.5768264238451;-124.56306402828034;499.78409025808423;-99.5162320010756;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;NADH C00004;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;2-Oxoglutarate	 Oxoglutaric acid	 2-Ketoglutaric acid	 alpha-Ketoglutaric acid C00026;product;irreversible;;649.5768264238451;-124.56306402828034;805.2554144581288;184.93162815843468;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;2-Oxoglutarate C00026;true
0;L-glutamate:NAD+ oxidoreductase (deaminating)	 L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+ R00243;K00261,K00260,K15371;1.4.1.14,1.4.1.2,1.4.1.3;1;Ammonia	 NH3 C00014;product;irreversible;;649.5768264238451;-124.56306402828034;879.4279464590913;166.33756915067124;L-glutamate:NAD+ oxidoreductase (deaminating) R00243;Ammonia C00014;true
