stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;glycerol:NAD+ 2-oxidoreductase	 Glycerol + NAD+ <=> Glycerone + NADH + H+ R01034;K22251,K00005;1.1.1.6;1;Glycerol	 Glycerin	 1,2,3-Trihydroxypropane	 1,2,3-Propanetriol C00116;substrate;irreversible;;546.759055769976;13.63268233507307;1129.0081638895626;154.66415861054722;glycerol:NAD+ 2-oxidoreductase R01034;Glycerol C00116;true
0;glycerol:NAD+ 2-oxidoreductase	 Glycerol + NAD+ <=> Glycerone + NADH + H+ R01034;K22251,K00005;1.1.1.6;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;546.759055769976;13.63268233507307;388.8462414106872;125.07221659083166;glycerol:NAD+ 2-oxidoreductase R01034;NAD+ C00003;true
0;glycerol:NAD+ 2-oxidoreductase	 Glycerol + NAD+ <=> Glycerone + NADH + H+ R01034;K22251,K00005;1.1.1.6;1;Glycerone	 Dihydroxyacetone	 1,3-Dihydroxyacetone	 1,3-Dihydroxy-2-propanone	 1,3-Dihydroxypropan-2-one C00184;product;irreversible;;546.759055769976;13.63268233507307;1166.5947269428902;281.2132277215252;glycerol:NAD+ 2-oxidoreductase R01034;Glycerone C00184;true
0;glycerol:NAD+ 2-oxidoreductase	 Glycerol + NAD+ <=> Glycerone + NADH + H+ R01034;K22251,K00005;1.1.1.6;1;H+	 Hydron C00080;product;irreversible;;546.759055769976;13.63268233507307;1159.6447141788085;237.0136434413052;glycerol:NAD+ 2-oxidoreductase R01034;H+ C00080;true
0;glycerol:NAD+ 2-oxidoreductase	 Glycerol + NAD+ <=> Glycerone + NADH + H+ R01034;K22251,K00005;1.1.1.6;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;546.759055769976;13.63268233507307;462.95101956790654;124.70168401542566;glycerol:NAD+ 2-oxidoreductase R01034;NADH C00004;true
1;propan-2-ol:NADP+ oxidoreductase	 Acetone + NADPH + H+ <=> Propan-2-ol + NADP+ R01550;K23259;1.1.1.80;1;Acetone	 Dimethyl ketone	 2-Propanone C00207;substrate;irreversible;;566.646886624118;527.5882657068672;564.1975118102712;482.70013285251173;propan-2-ol:NADP+ oxidoreductase R01550;Acetone C00207;true
1;propan-2-ol:NADP+ oxidoreductase	 Acetone + NADPH + H+ <=> Propan-2-ol + NADP+ R01550;K23259;1.1.1.80;1;H+	 Hydron C00080;substrate;irreversible;;566.646886624118;527.5882657068672;1159.6447141788085;237.0136434413052;propan-2-ol:NADP+ oxidoreductase R01550;H+ C00080;true
1;propan-2-ol:NADP+ oxidoreductase	 Acetone + NADPH + H+ <=> Propan-2-ol + NADP+ R01550;K23259;1.1.1.80;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;substrate;irreversible;;566.646886624118;527.5882657068672;482.6227366531375;484.16278901504745;propan-2-ol:NADP+ oxidoreductase R01550;NADPH C00005;true
1;propan-2-ol:NADP+ oxidoreductase	 Acetone + NADPH + H+ <=> Propan-2-ol + NADP+ R01550;K23259;1.1.1.80;1;Propan-2-ol	 2-Propanol	 Isopropanol	 Isopropyl alcohol C01845;product;irreversible;;566.646886624118;527.5882657068672;674.4748782635875;548.5251796974454;propan-2-ol:NADP+ oxidoreductase R01550;Propan-2-ol C01845;true
1;propan-2-ol:NADP+ oxidoreductase	 Acetone + NADPH + H+ <=> Propan-2-ol + NADP+ R01550;K23259;1.1.1.80;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;product;irreversible;;566.646886624118;527.5882657068672;469.635162942807;557.8030371412912;propan-2-ol:NADP+ oxidoreductase R01550;NADP+ C00006;true
