stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	 5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine R00945;K00600;2.1.2.1;1;0__H2O	 Water C00001;substrate;irreversible;;-135.6073951068788;-244.14966793449713;-138;-288;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase R00945;0__H2O	 Water C00001;false
0;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	 5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine R00945;K00600;2.1.2.1;1;5,10-Methylenetetrahydrofolate	 (6R)-5,10-Methylenetetrahydrofolate	 5,10-Methylene-THF C00143;substrate;irreversible;;-135.6073951068788;-244.14966793449713;-497.88307468192716;-177.07072044704216;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase R00945;5,10-Methylenetetrahydrofolate C00143;true
0;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	 5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine R00945;K00600;2.1.2.1;1;Glycine	 Aminoacetic acid	 Gly C00037;substrate;irreversible;;-135.6073951068788;-244.14966793449713;873.179895524195;217.60860995109925;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase R00945;Glycine C00037;true
0;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	 5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine R00945;K00600;2.1.2.1;1;Tetrahydrofolate	 5,6,7,8-Tetrahydrofolate	 Tetrahydrofolic acid	 THF	 (6S)-Tetrahydrofolate	 (6S)-Tetrahydrofolic acid	 (6S)-THFA C00101;product;irreversible;;-135.6073951068788;-244.14966793449713;286.99944717249423;-182.1620446302671;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase R00945;Tetrahydrofolate C00101;true
0;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	 5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine R00945;K00600;2.1.2.1;1;L-Serine	 L-2-Amino-3-hydroxypropionic acid	 L-3-Hydroxy-alanine	 Serine C00065;product;irreversible;;-135.6073951068788;-244.14966793449713;-484.32003345827593;-16.733594625591763;5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase R00945;L-Serine C00065;true
1;3-Phosphoserine:2-oxoglutarate aminotransferase	 O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate R04173;K00831;2.6.1.52;1;O-Phospho-L-serine	 L-O-Phosphoserine	 3-Phosphoserine	 Dexfosfoserine	 3-Phospho-L-serine C01005;substrate;irreversible;;-399.0979861425503;97.70617661763049;-707.6299485558186;57.59038096461268;3-Phosphoserine:2-oxoglutarate aminotransferase R04173;O-Phospho-L-serine C01005;true
1;3-Phosphoserine:2-oxoglutarate aminotransferase	 O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate R04173;K00831;2.6.1.52;1;2-Oxoglutarate	 Oxoglutaric acid	 2-Ketoglutaric acid	 alpha-Ketoglutaric acid C00026;substrate;irreversible;;-399.0979861425503;97.70617661763049;-252.7995253631425;49.20706797122962;3-Phosphoserine:2-oxoglutarate aminotransferase R04173;2-Oxoglutarate C00026;true
1;3-Phosphoserine:2-oxoglutarate aminotransferase	 O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate R04173;K00831;2.6.1.52;1;3-Phosphonooxypyruvate	 3-Phosphonooxypyruvic acid	 3-Phosphohydroxypyruvate	 3-Phosphohydroxypyruvic acid	 3-Phosphooxypyruvate C03232;product;irreversible;;-399.0979861425503;97.70617661763049;-398.57614977911453;160.5082949193502;3-Phosphoserine:2-oxoglutarate aminotransferase R04173;3-Phosphonooxypyruvate C03232;true
1;3-Phosphoserine:2-oxoglutarate aminotransferase	 O-Phospho-L-serine + 2-Oxoglutarate <=> 3-Phosphonooxypyruvate + L-Glutamate R04173;K00831;2.6.1.52;1;L-Glutamate	 L-Glutamic acid	 L-Glutaminic acid	 Glutamate C00025;product;irreversible;;-399.0979861425503;97.70617661763049;-245.51012093006375;148.527175328692;3-Phosphoserine:2-oxoglutarate aminotransferase R04173;L-Glutamate C00025;true
2;acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase(glycine-forming)	 Acetyl phosphate + Ammonia + Thioredoxin disulfide + H2O <=> Glycine + Orthophosphate + Thioredoxin R07226;;1.21.4.2;1;Thioredoxin disulfide	 Oxidized thioredoxin	 Thioredoxin sulfide C00343;substrate;irreversible;;-99.36946194576649;12.977222036981175;-643.750373052957;332.91089015734076;acetyl-phosphate ammonia:thioredoxin disulfide oxidoreductase(glycine-forming) R07226;Thioredoxin disulfide C00343;true
