stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;-20;-507;-384.99204210937023;-73.51226139068604;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;ATP	 Adenosine 5'-triphosphate C00002;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;D-Glucose	 Grape sugar	 Dextrose	 Glucose	 D-Glucopyranose C00031;substrate;irreversible;;-20;-507;-22;-573;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;D-Glucose	 Grape sugar	 Dextrose	 Glucose	 D-Glucopyranose C00031;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;-20;-507;-384.99204210937023;-73.51226139068604;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;ATP	 Adenosine 5'-triphosphate C00002;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;D-Glucose	 Grape sugar	 Dextrose	 Glucose	 D-Glucopyranose C00031;substrate;irreversible;;-20;-507;-22;-573;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;D-Glucose	 Grape sugar	 Dextrose	 Glucose	 D-Glucopyranose C00031;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;D-Glucose 6-phosphate	 Glucose 6-phosphate	 Robison ester C00092;product;irreversible;;-20;-507;-242;-449;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;D-Glucose 6-phosphate	 Glucose 6-phosphate	 Robison ester C00092;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;;-20;-507;501;-414;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;ADP	 Adenosine 5'-diphosphate C00008;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;D-Glucose 6-phosphate	 Glucose 6-phosphate	 Robison ester C00092;product;irreversible;;-20;-507;-242;-449;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;D-Glucose 6-phosphate	 Glucose 6-phosphate	 Robison ester C00092;true
0;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;K00845,K12407,K00844;2.7.1.2,2.7.1.1;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;;-20;-507;501;-414;ATP:D-glucose 6-phosphotransferase	 ATP + D-Glucose <=> ADP + D-Glucose 6-phosphate R00299;ADP	 Adenosine 5'-diphosphate C00008;true
1;D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	 D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate R01015;K01803;5.3.1.1;1;D-Glyceraldehyde 3-phosphate	 (2R)-2-Hydroxy-3-(phosphonooxy)-propanal	 Glyceraldehyde 3-phosphate C00118;substrate;irreversible;;-9;-180;474;-183;D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	 D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate R01015;D-Glyceraldehyde 3-phosphate	 (2R)-2-Hydroxy-3-(phosphonooxy)-propanal	 Glyceraldehyde 3-phosphate C00118;true
1;D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	 D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate R01015;K01803;5.3.1.1;1;Glycerone phosphate	 Dihydroxyacetone phosphate	 3-Hydroxy-2-oxopropyl phosphate C00111;product;irreversible;;-9;-180;43;-203;D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	 D-Glyceraldehyde 3-phosphate <=> Glycerone phosphate R01015;Glycerone phosphate	 Dihydroxyacetone phosphate	 3-Hydroxy-2-oxopropyl phosphate C00111;true
