stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;dihydrourocanate:acceptor oxidoreductase	 Dihydrourocanate + Acceptor <=> Urocanate + Reduced acceptor R10330;K17363;1.3.99.33;1;Acceptor	 Hydrogen-acceptor	 A	 Oxidized donor C00028;substrate;irreversible;;599.2342195708248;18.511515575393446;481.08773247216607;-25.647077967950622;dihydrourocanate:acceptor oxidoreductase R10330;Acceptor C00028;true
0;dihydrourocanate:acceptor oxidoreductase	 Dihydrourocanate + Acceptor <=> Urocanate + Reduced acceptor R10330;K17363;1.3.99.33;1;Dihydrourocanate	 Deaminohistidine	 3-(1H-Imidazol-4-yl)propanoate C20522;substrate;irreversible;;599.2342195708248;18.511515575393446;597.3208562992158;-32.77239261266118;dihydrourocanate:acceptor oxidoreductase R10330;Dihydrourocanate C20522;true
0;dihydrourocanate:acceptor oxidoreductase	 Dihydrourocanate + Acceptor <=> Urocanate + Reduced acceptor R10330;K17363;1.3.99.33;1;Reduced acceptor	 AH2	 Hydrogen-donor	 Donor C00030;product;irreversible;;599.2342195708248;18.511515575393446;463.3502475317389;85.9299157998446;dihydrourocanate:acceptor oxidoreductase R10330;Reduced acceptor C00030;true
0;dihydrourocanate:acceptor oxidoreductase	 Dihydrourocanate + Acceptor <=> Urocanate + Reduced acceptor R10330;K17363;1.3.99.33;1;Urocanate	 Urocanic acid C00785;product;irreversible;;599.2342195708248;18.511515575393446;596.752538141724;68.103629259554;dihydrourocanate:acceptor oxidoreductase R10330;Urocanate C00785;true
1;4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase	 4-Imidazolone-5-propanoate <=> Urocanate + H2O R02914;K01712;4.2.1.49;1;4-Imidazolone-5-propanoate	 4-Imidazolone-5-propionic acid	 4,5-Dihydro-4-oxo-5-imidazolepropanoate C03680;substrate;irreversible;;599.812531597447;110.65788478827449;436.3759540533297;242.64104322324556;4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase R02914;4-Imidazolone-5-propanoate C03680;true
1;4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase	 4-Imidazolone-5-propanoate <=> Urocanate + H2O R02914;K01712;4.2.1.49;1;H2O	 Water C00001;product;irreversible;;599.812531597447;110.65788478827449;1576.5492593162703;275.3926297521647;4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase R02914;H2O C00001;true
1;4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase	 4-Imidazolone-5-propanoate <=> Urocanate + H2O R02914;K01712;4.2.1.49;1;Urocanate	 Urocanic acid C00785;product;irreversible;;599.812531597447;110.65788478827449;596.752538141724;68.103629259554;4,5-Dihydro-4-oxo-5-imidazolepropanoate hydro-lyase R02914;Urocanate C00785;true
2;L-histidinol:NAD+ oxidoreductase	 L-Histidinol + 2 NAD+ + H2O <=> L-Histidine + 2 NADH + 2 H+ R01158;K00013,K14152;1.1.1.23;1;L-Histidinol C00860;substrate;irreversible;;596.6080432864916;249.4449650678308;709.9096467110531;195.54755301344414;L-histidinol:NAD+ oxidoreductase R01158;L-Histidinol C00860 C00860;true
2;L-histidinol:NAD+ oxidoreductase	 L-Histidinol + 2 NAD+ + H2O <=> L-Histidine + 2 NADH + 2 H+ R01158;K00013,K14152;1.1.1.23;1;H2O	 Water C00001;substrate;irreversible;;596.6080432864916;249.4449650678308;1576.5492593162703;275.3926297521647;L-histidinol:NAD+ oxidoreductase R01158;H2O C00001;true
2;L-histidinol:NAD+ oxidoreductase	 L-Histidinol + 2 NAD+ + H2O <=> L-Histidine + 2 NADH + 2 H+ R01158;K00013,K14152;1.1.1.23;2;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;596.6080432864916;249.4449650678308;945.0428997745207;379.04775541356946;L-histidinol:NAD+ oxidoreductase R01158;NAD+ C00003;true
