stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	 5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate R02289;K15023;2.1.1.258;1;5-Methyltetrahydrofolate C00440;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;850;150;1400;600;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase R02289;5-Methyltetrahydrofolate C00440;true
0;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	 5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate R02289;K15023;2.1.1.258;1;Co(I) corrinoid protein	 Corrinoid	 Corrinoid protein	 Corrinoid protein Co+ C06021;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;850;150;1000;200;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase R02289;Corrinoid C06021;true
0;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	 5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate R02289;K15023;2.1.1.258;1;3__H+	 Hydron C00080;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;850;150;850;100;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase R02289;H+ C00080;false
0;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	 5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate R02289;K15023;2.1.1.258;1;Tetrahydrofolate	 5,6,7,8-Tetrahydrofolate	 Tetrahydrofolic acid	 THF	 (6S)-Tetrahydrofolate	 (6S)-Tetrahydrofolic acid	 (6S)-THFA C00101;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;850;150;1250;300;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase R02289;Tetrahydrofolate C00101;true
0;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase	 5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate R02289;K15023;2.1.1.258;1;Methyl-Co(III) corrinoid protein	 Methylcorrinoid	 Methylcorrinoid protein	 Corrinoid protein Co2+-CH3 C06020;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;850;150;1000;100;5-methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase R02289;Methylcorrinoid C06020;true
1;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K13402,K01938;6.3.4.3;1;Tetrahydrofolate	 5,6,7,8-Tetrahydrofolate	 Tetrahydrofolic acid	 THF	 (6S)-Tetrahydrofolate	 (6S)-Tetrahydrofolic acid	 (6S)-THFA C00101;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;750;300;1250;300;Formate:tetrahydrofolate ligase R00943;Tetrahydrofolate C00101;true
1;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K13402,K01938;6.3.4.3;1;Formate	 Methanoic acid	 Formic acid C00058;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;750;300;750;150;Formate:tetrahydrofolate ligase R00943;Formate C00058;true
1;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K13402,K01938;6.3.4.3;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;750;300;650;250;Formate:tetrahydrofolate ligase R00943;ATP C00002;false
1;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K13402,K01938;6.3.4.3;1;10-Formyltetrahydrofolate	 10-Formyl-THF C00234;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;750;300;750;350;Formate:tetrahydrofolate ligase R00943;10-Formyltetrahydrofolate C00234;true
1;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K13402,K01938;6.3.4.3;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;750;300;650;350;Formate:tetrahydrofolate ligase R00943;ADP C00008;false
1;Formate:tetrahydrofolate ligase (ADP-forming)	 Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate R00943;K00288,K13402,K01938;6.3.4.3;1;Orthophosphate	 Phosphate	 Phosphoric acid	 Orthophosphoric acid C00009;product;irreversible;superkingdom:Viruses&&superkingdom:Unknown&&superkingdom:Bacteria;750;300;900;350;Formate:tetrahydrofolate ligase R00943;Phosphate C00009;false
