stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;2;CO2	 Carbon dioxide C00011;substrate;irreversible;superkingdom:Archaea;1600;600;1000;-200;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;CO2 C00011;true
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;2;0__H+	 Hydron C00080;substrate;irreversible;superkingdom:Archaea;1600;600;1600;550;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;H+ C00080;false
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;2;0__Reduced ferredoxin	 Reduced ferredoxin [iron-sulfur] cluster C00138;substrate;irreversible;superkingdom:Archaea;1600;600;1675;550;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;Reduced ferredoxin C00138;false
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;1;Coenzyme B	 N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate	 N-(7-Mercaptoheptanoyl)threonine O3-phosphate	 HTP	 CoB C04628;substrate;irreversible;superkingdom:Archaea;1600;600;1000;500;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;Coenzyme B C04628;true
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;1;Coenzyme M	 2-Mercaptoethanesulfonate	 Reduced coenzyme M	 HS-CoM	 CoM C03576;substrate;irreversible;superkingdom:Archaea;1600;600;900;700;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;Coenzyme M C03576;true
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;1;Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide	 Coenzyme M-HTP heterodisulfide	 CoM-S-S-CoB	 N-{7-[(2-Sulfoethyl)dithio]heptanoyl}-3-O-phospho-L-threonine C04832;product;irreversible;superkingdom:Archaea;1600;600;1300;500;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide C04832;true
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;2;0__Oxidized ferredoxin	 Oxidized ferredoxin [iron-sulfur] cluster C00139;product;irreversible;superkingdom:Archaea;1600;600;1675;650;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;Oxidized ferredoxin C00139;false
0;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase	 Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate R11944;K03388,K22516,K00125,K14127,K03389,K03390;1.8.98.6;2;Formate	 Methanoic acid	 Formic acid C00058;product;irreversible;superkingdom:Archaea;1600;600;1850;650;coenzyme B,coenzyme M,ferredoxin:formate oxidoreductase R11944;Formate C00058;false
1;hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase	 5,10-Methenyltetrahydromethanopterin + Hydrogen <=> 5,10-Methylenetetrahydromethanopterin + H+ R04455;K13942;1.12.98.2;1;5,10-Methenyltetrahydromethanopterin	 5,10-Methenyl-5,6,7,8-tetrahydromethanopterin	 N5,N10-Methenyltetrahydromethanopterin C04330;substrate;irreversible;superkingdom:Archaea;1000;150;1000;100;hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase R04455;5,10-Methenyltetrahydromethanopterin C04330;true
1;hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase	 5,10-Methenyltetrahydromethanopterin + Hydrogen <=> 5,10-Methylenetetrahydromethanopterin + H+ R04455;K13942;1.12.98.2;1;Hydrogen	 H2 C00282;substrate;irreversible;superkingdom:Archaea;1000;150;1745.7687222200705;452.9055558377987;hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase R04455;H2 C00282;false
1;hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase	 5,10-Methenyltetrahydromethanopterin + Hydrogen <=> 5,10-Methylenetetrahydromethanopterin + H+ R04455;K13942;1.12.98.2;1;5,10-Methylenetetrahydromethanopterin	 N5,N10-Methylenetetrahydromethanopterin C04377;product;irreversible;superkingdom:Archaea;1000;150;1000;200;hydrogen:N5,N10-methenyltetraydromethanopterin oxidoreductase R04455;5,10-Methylenetetrahydromethanopterin C04377;true
