stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;(S)-Lactate:NAD+ oxidoreductase	 (S)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00703;K00016;1.1.1.27;1;(S)-Lactate	 L-Lactate	 L-Lactic acid C00186;substrate;irreversible;;2;-32;1;-81;(S)-Lactate:NAD+ oxidoreductase R00703;(S)-Lactate C00186;true
0;(S)-Lactate:NAD+ oxidoreductase	 (S)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00703;K00016;1.1.1.27;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;2;-32;201;44;(S)-Lactate:NAD+ oxidoreductase R00703;NAD+ C00003;true
0;(S)-Lactate:NAD+ oxidoreductase	 (S)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00703;K00016;1.1.1.27;1;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;product;irreversible;;2;-32;5;41;(S)-Lactate:NAD+ oxidoreductase R00703;Pyruvate C00022;true
0;(S)-Lactate:NAD+ oxidoreductase	 (S)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00703;K00016;1.1.1.27;1;H+	 Hydron C00080;product;irreversible;;2;-32;-117;40;(S)-Lactate:NAD+ oxidoreductase R00703;H+ C00080;true
0;(S)-Lactate:NAD+ oxidoreductase	 (S)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00703;K00016;1.1.1.27;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;2;-32;114;42;(S)-Lactate:NAD+ oxidoreductase R00703;NADH C00004;true
1;(R)-Lactate:NAD+ oxidoreductase	 (R)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00704;K03778,K03777;1.1.1.28;1;(R)-Lactate	 D-Lactate	 D-Lactic acid	 D-2-Hydroxypropanoic acid	 D-2-Hydroxypropionic acid C00256;substrate;irreversible;;5;108;6;157;(R)-Lactate:NAD+ oxidoreductase R00704;(R)-Lactate C00256;true
1;(R)-Lactate:NAD+ oxidoreductase	 (R)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00704;K03778,K03777;1.1.1.28;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;5;108;201;44;(R)-Lactate:NAD+ oxidoreductase R00704;NAD+ C00003;true
1;(R)-Lactate:NAD+ oxidoreductase	 (R)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00704;K03778,K03777;1.1.1.28;1;Pyruvate	 Pyruvic acid	 2-Oxopropanoate	 2-Oxopropanoic acid	 Pyroracemic acid C00022;product;irreversible;;5;108;5;41;(R)-Lactate:NAD+ oxidoreductase R00704;Pyruvate C00022;true
1;(R)-Lactate:NAD+ oxidoreductase	 (R)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00704;K03778,K03777;1.1.1.28;1;H+	 Hydron C00080;product;irreversible;;5;108;-117;40;(R)-Lactate:NAD+ oxidoreductase R00704;H+ C00080;true
1;(R)-Lactate:NAD+ oxidoreductase	 (R)-Lactate + NAD+ <=> Pyruvate + NADH + H+ R00704;K03778,K03777;1.1.1.28;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;5;108;114;42;(R)-Lactate:NAD+ oxidoreductase R00704;NADH C00004;true
