stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	 3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)	 alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O R01213;K01649;2.3.3.13;1;CoA	 Coenzyme A	 CoA-SH C00010;substrate;irreversible;;239.5374742972051;-132.13143432435322;905.4920261494234;314.4890013711144;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming) R01213;CoA C00010;true
0;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	 3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)	 alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O R01213;K01649;2.3.3.13;1;alpha-Isopropylmalate	 (2S)-2-Isopropylmalate	 (2S)-2-Hydroxy-2-isopropylsuccinic acid	 2-Isopropylmalic acid	 3-Carboxy-3-hydroxy-4-methylpentanoate	 3-Carboxy-3-hydroxyisocaproate C02504;substrate;irreversible;;239.5374742972051;-132.13143432435322;237.08741269342715;-183.52654128094866;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming) R01213;alpha-Isopropylmalate C02504;true
0;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	 3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)	 alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O R01213;K01649;2.3.3.13;1;Acetyl-CoA	 Acetyl coenzyme A C00024;product;irreversible;;239.5374742972051;-132.13143432435322;245.23807359142643;-72.9986962688372;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming) R01213;Acetyl-CoA C00024;true
0;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	 3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)	 alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O R01213;K01649;2.3.3.13;1;0__H2O	 Water C00001;product;irreversible;;239.5374742972051;-132.13143432435322;131;-70;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming) R01213;0__H2O	 Water C00001;false
0;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)	 3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)	 alpha-Isopropylmalate + CoA <=> Acetyl-CoA + 3-Methyl-2-oxobutanoic acid + H2O R01213;K01649;2.3.3.13;1;3-Methyl-2-oxobutanoic acid	 3-Methyl-2-oxobutyric acid	 3-Methyl-2-oxobutanoate	 2-Oxo-3-methylbutanoate	 2-Oxoisovalerate	 2-Oxoisopentanoate	 alpha-Ketovaline	 2-Ketovaline	 2-Keto-3-methylbutyric acid C00141;product;irreversible;;239.5374742972051;-132.13143432435322;919.6935160147284;194.74188930488646;acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming) R01213;3-Methyl-2-oxobutanoic acid C00141;true
1;L-Leucine:2-oxoglutarate aminotransferase	 L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate R01090;K00826;2.6.1.6,2.6.1.42,2.6.1.67;1;L-Leucine	 2-Amino-4-methylvaleric acid	 (2S)-alpha-2-Amino-4-methylvaleric acid	 (2S)-alpha-Leucine C00123;substrate;irreversible;;306.10802733907997;201.47581517168783;416.8631048786491;143.04496833047688;L-Leucine:2-oxoglutarate aminotransferase R01090;L-Leucine C00123;true
1;L-Leucine:2-oxoglutarate aminotransferase	 L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate R01090;K00826;2.6.1.6,2.6.1.42,2.6.1.67;1;2-Oxoglutarate	 Oxoglutaric acid	 2-Ketoglutaric acid	 alpha-Ketoglutaric acid C00026;substrate;irreversible;;306.10802733907997;201.47581517168783;237.6575656931384;167.00931511106654;L-Leucine:2-oxoglutarate aminotransferase R01090;2-Oxoglutarate C00026;true
1;L-Leucine:2-oxoglutarate aminotransferase	 L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate R01090;K00826;2.6.1.6,2.6.1.42,2.6.1.67;1;4-Methyl-2-oxopentanoate	 2-Oxoisocaproate C00233;product;irreversible;;306.10802733907997;201.47581517168783;69.82027532533402;196.95517213484777;L-Leucine:2-oxoglutarate aminotransferase R01090;4-Methyl-2-oxopentanoate C00233;true
1;L-Leucine:2-oxoglutarate aminotransferase	 L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate R01090;K00826;2.6.1.6,2.6.1.42,2.6.1.67;1;L-Glutamate	 L-Glutamic acid	 L-Glutaminic acid	 Glutamate C00025;product;irreversible;;306.10802733907997;201.47581517168783;305.46923310552813;245.90990512697977;L-Leucine:2-oxoglutarate aminotransferase R01090;L-Glutamate C00025;true
2;L-leucine:NAD+ oxidoreductase (deaminating)	 L-Leucine + H2O + NAD+ <=> 4-Methyl-2-oxopentanoate + Ammonia + NADH + H+ R01088;K00263;1.4.1.9;1;L-Leucine	 2-Amino-4-methylvaleric acid	 (2S)-alpha-2-Amino-4-methylvaleric acid	 (2S)-alpha-Leucine C00123;substrate;irreversible;;293.6309905571909;95.38718942856985;416.8631048786491;143.04496833047688;L-leucine:NAD+ oxidoreductase (deaminating) R01088;L-Leucine C00123;true
2;L-leucine:NAD+ oxidoreductase (deaminating)	 L-Leucine + H2O + NAD+ <=> 4-Methyl-2-oxopentanoate + Ammonia + NADH + H+ R01088;K00263;1.4.1.9;1;1__H2O	 Water C00001;substrate;irreversible;;293.6309905571909;95.38718942856985;291;43;L-leucine:NAD+ oxidoreductase (deaminating) R01088;1__H2O	 Water C00001;false
