stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;L-methionine methanethiol-lyase (deaminating	2-oxobutanoate-forming)	 L-Methionine + H2O <=> Methanethiol + Ammonia + 2-Oxobutanoate R00654;K01761;4.4.1.11;1;H2O	 Water C00001;substrate;irreversible;;858.754946525874;145.58424343818695;959.4453194683573;122.77062399999058;L-methionine methanethiol-lyase (deaminating R00654;H2O C00001;true
0;L-methionine methanethiol-lyase (deaminating	2-oxobutanoate-forming)	 L-Methionine + H2O <=> Methanethiol + Ammonia + 2-Oxobutanoate R00654;K01761;4.4.1.11;1;L-Methionine	 Methionine	 L-2-Amino-4methylthiobutyric acid C00073;substrate;irreversible;;858.754946525874;145.58424343818695;778.4000467636782;-0.6594655669925942;L-methionine methanethiol-lyase (deaminating R00654;L-Methionine C00073;true
0;L-methionine methanethiol-lyase (deaminating	2-oxobutanoate-forming)	 L-Methionine + H2O <=> Methanethiol + Ammonia + 2-Oxobutanoate R00654;K01761;4.4.1.11;1;Methanethiol	 Methylmercaptan C00409;product;irreversible;;858.754946525874;145.58424343818695;869.031605711795;217.81385425292297;L-methionine methanethiol-lyase (deaminating R00654;Methanethiol C00409;true
0;L-methionine methanethiol-lyase (deaminating	2-oxobutanoate-forming)	 L-Methionine + H2O <=> Methanethiol + Ammonia + 2-Oxobutanoate R00654;K01761;4.4.1.11;1;2-Oxobutanoate	 2-Ketobutyric acid	 2-Oxobutyric acid	 2-Oxobutyrate	 2-Oxobutanoic acid	 alpha-Ketobutyric acid	 alpha-Ketobutyrate C00109;product;irreversible;;858.754946525874;145.58424343818695;934.899771864176;182.4825203899818;L-methionine methanethiol-lyase (deaminating R00654;2-Oxobutanoate C00109;true
0;L-methionine methanethiol-lyase (deaminating	2-oxobutanoate-forming)	 L-Methionine + H2O <=> Methanethiol + Ammonia + 2-Oxobutanoate R00654;K01761;4.4.1.11;1;Ammonia	 NH3 C00014;product;irreversible;;858.754946525874;145.58424343818695;943.0359537798774;157.62385260823413;L-methionine methanethiol-lyase (deaminating R00654;Ammonia C00014;true
1;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	 5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine R04405;K00549;2.1.1.14;1;L-Homocysteine	 L-2-Amino-4-mercaptobutyric acid	 Homocysteine C00155;substrate;irreversible;;523.7745483960446;141.48962631948626;524.7466542327611;89.47820367674694;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase R04405;L-Homocysteine C00155;true
1;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	 5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine R04405;K00549;2.1.1.14;1;5-Methyltetrahydropteroyltri-L-glutamate C04489;substrate;irreversible;;523.7745483960446;141.48962631948626;574.0801688540886;163.90732145267896;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase R04405;5-Methyltetrahydropteroyltri-L-glutamate C04489 C04489;true
1;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	 5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine R04405;K00549;2.1.1.14;1;L-Homocysteine	 L-2-Amino-4-mercaptobutyric acid	 Homocysteine C00155;substrate;irreversible;;523.7745483960446;141.48962631948626;524.7466542327611;89.47820367674694;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase R04405;L-Homocysteine C00155;true
1;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	 5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine R04405;K00549;2.1.1.14;1;5-Methyltetrahydropteroyltri-L-glutamate C04489;substrate;irreversible;;523.7745483960446;141.48962631948626;574.0801688540886;163.90732145267896;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase R04405;5-Methyltetrahydropteroyltri-L-glutamate C04489 C04489;true
1;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase	 5-Methyltetrahydropteroyltri-L-glutamate + L-Homocysteine <=> Tetrahydropteroyltri-L-glutamate + L-Methionine R04405;K00549;2.1.1.14;1;L-Methionine	 Methionine	 L-2-Amino-4methylthiobutyric acid C00073;product;irreversible;;523.7745483960446;141.48962631948626;778.4000467636782;-0.6594655669925942;5-Methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase R04405;L-Methionine C00073;true
