stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;Methyl-Co(III) corrinoid protein	 Methylcorrinoid	 Methylcorrinoid protein	 Corrinoid protein Co2+-CH3 C06020;substrate;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;417.69051540386965;228.82152968780912;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;Methyl-Co(III) corrinoid protein C06020;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;Coenzyme M	 2-Mercaptoethanesulfonate	 Reduced coenzyme M	 HS-CoM	 CoM C03576;substrate;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;674.564996846735;59.84375596283655;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;Coenzyme M C03576;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;Methyl-Co(III) corrinoid protein	 Methylcorrinoid	 Methylcorrinoid protein	 Corrinoid protein Co2+-CH3 C06020;substrate;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;417.69051540386965;228.82152968780912;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;Methyl-Co(III) corrinoid protein C06020;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;Coenzyme M	 2-Mercaptoethanesulfonate	 Reduced coenzyme M	 HS-CoM	 CoM C03576;substrate;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;674.564996846735;59.84375596283655;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;Coenzyme M C03576;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;2-(Methylthio)ethanesulfonate	 Methylcoenzyme M	 Methyl-CoM	 2-(Methylsulfanyl)ethane-1-sulfonate C03920;product;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;675.7767400200696;171.81782579880723;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;2-(Methylthio)ethanesulfonate C03920;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;Co(I) corrinoid protein	 Corrinoid	 Corrinoid protein	 Corrinoid protein Co+ C06021;product;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;1044.6572879233645;230.12765237020187;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;Co(I) corrinoid protein C06021;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;2-(Methylthio)ethanesulfonate	 Methylcoenzyme M	 Methyl-CoM	 2-(Methylsulfanyl)ethane-1-sulfonate C03920;product;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;675.7767400200696;171.81782579880723;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;2-(Methylthio)ethanesulfonate C03920;true
0;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase	 Coenzyme M + Methyl-Co(III) corrinoid protein <=> 2-(Methylthio)ethanesulfonate + Co(I) corrinoid protein R10000;K14082,K14080;2.1.1.246,2.1.1.247,2.1.1.251,2.1.1.253;1;Co(I) corrinoid protein	 Corrinoid	 Corrinoid protein	 Corrinoid protein Co+ C06021;product;irreversible;superkingdom:Archaea;674.1477438220119;113.2069722720239;1044.6572879233645;230.12765237020187;[methyl-Co(III) corrinoid protein]:coenzyme M methyltransferase R10000;Co(I) corrinoid protein C06021;true
1;trimethylamine:[Co(I) corrinoid protein] Co-methyltransferase	 Trimethylamine + Co(I) corrinoid protein <=> Dimethylamine + Methyl-Co(III) corrinoid protein R10016;K14083;2.1.1.250;1;Co(I) corrinoid protein	 Corrinoid	 Corrinoid protein	 Corrinoid protein Co+ C06021;substrate;irreversible;superkingdom:Archaea;685.818792435341;360.0542650666048;1044.6572879233645;230.12765237020187;trimethylamine:[Co(I) corrinoid protein] Co-methyltransferase R10016;Co(I) corrinoid protein C06021;true
1;trimethylamine:[Co(I) corrinoid protein] Co-methyltransferase	 Trimethylamine + Co(I) corrinoid protein <=> Dimethylamine + Methyl-Co(III) corrinoid protein R10016;K14083;2.1.1.250;1;Trimethylamine	 (CH3)3N	 N,N-Dimethylmethanamine C00565;substrate;irreversible;superkingdom:Archaea;685.818792435341;360.0542650666048;687.8816396125405;414.0231546355956;trimethylamine:[Co(I) corrinoid protein] Co-methyltransferase R10016;Trimethylamine C00565;true
