stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;L-Arabinose aldose-ketose-isomerase	 L-Arabinose <=> L-Ribulose R01761;K01804;5.3.1.4;1;L-Arabinose	 L-Arabinopyranose C00259;substrate;irreversible;;-31;-469;0;0;L-Arabinose aldose-ketose-isomerase	 L-Arabinose <=> L-Ribulose R01761;L-Arabinose	 L-Arabinopyranose C00259;true
0;L-Arabinose aldose-ketose-isomerase	 L-Arabinose <=> L-Ribulose R01761;K01804;5.3.1.4;1;L-Ribulose	 L-erythro-Pentulose	 L-Arabinoketose	 L-Arabinulose	 L-Riboketose C00508;product;irreversible;;-31;-469;364;-401;L-Arabinose aldose-ketose-isomerase	 L-Arabinose <=> L-Ribulose R01761;L-Ribulose	 L-erythro-Pentulose	 L-Arabinoketose	 L-Arabinulose	 L-Riboketose C00508;true
1;L-ribulose-5-phosphate 4-epimerase	 L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate R05850;K03077;5.1.3.4;1;L-Ribulose 5-phosphate C01101;substrate;irreversible;;-2;-36;387;-37;L-ribulose-5-phosphate 4-epimerase	 L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate R05850;L-Ribulose 5-phosphate C01101;true
1;L-ribulose-5-phosphate 4-epimerase	 L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate R05850;K03077;5.1.3.4;1;D-Xylulose 5-phosphate C00231;product;irreversible;;-2;-36;-305;-30;L-ribulose-5-phosphate 4-epimerase	 L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate R05850;D-Xylulose 5-phosphate C00231;true
2;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;K00854;2.7.1.17;1;D-Xylulose	 D-threo-Pentulose	 D-Lyxulose C00310;substrate;irreversible;;-5;-124;-230;-240;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;D-Xylulose	 D-threo-Pentulose	 D-Lyxulose C00310;true
2;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;K00854;2.7.1.17;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;-5;-124;340;-192;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;ATP	 Adenosine 5'-triphosphate C00002;true
2;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;K00854;2.7.1.17;1;D-Xylulose 5-phosphate C00231;product;irreversible;;-5;-124;-305;-30;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;D-Xylulose 5-phosphate C00231;true
2;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;K00854;2.7.1.17;1;ADP	 Adenosine 5'-diphosphate C00008;product;irreversible;;-5;-124;152;-194;ATP:D-xylulose 5-phosphotransferase	 ATP + D-Xylulose <=> ADP + D-Xylulose 5-phosphate R01639;ADP	 Adenosine 5'-diphosphate C00008;true
3;ATP:L-ribulose 5-phosphotransferase	 ATP + L-Ribulose <=> ADP + L-Ribulose 5-phosphate R02439;K00853;2.7.1.16;1;ATP	 Adenosine 5'-triphosphate C00002;substrate;irreversible;;374;-242;340;-192;ATP:L-ribulose 5-phosphotransferase	 ATP + L-Ribulose <=> ADP + L-Ribulose 5-phosphate R02439;ATP	 Adenosine 5'-triphosphate C00002;true
3;ATP:L-ribulose 5-phosphotransferase	 ATP + L-Ribulose <=> ADP + L-Ribulose 5-phosphate R02439;K00853;2.7.1.16;1;L-Ribulose	 L-erythro-Pentulose	 L-Arabinoketose	 L-Arabinulose	 L-Riboketose C00508;substrate;irreversible;;374;-242;364;-401;ATP:L-ribulose 5-phosphotransferase	 ATP + L-Ribulose <=> ADP + L-Ribulose 5-phosphate R02439;L-Ribulose	 L-erythro-Pentulose	 L-Arabinoketose	 L-Arabinulose	 L-Riboketose C00508;true
