stepId;ReactionNumberId;koNumberIds;ecNumberIds;stochCoeff;compoundId;typeOfCompound;reversibility;taxonomy;reactionX;reactionY;CompoundX;CompoundY;reactionAbbr;compoundAbbr;keyComp
0;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;K00286;1.5.1.2;1;L-Proline	 2-Pyrrolidinecarboxylic acid C00148;substrate;irreversible;;555.8666223392329;214.3563474815163;729.327416363568;105.34872472947995;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;L-Proline	 2-Pyrrolidinecarboxylic acid C00148;true
0;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;K00286;1.5.1.2;1;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;substrate;irreversible;;555.8666223392329;214.3563474815163;381.7189837828563;325.20083609894334;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;NAD+	 NAD	 Nicotinamide adenine dinucleotide	 DPN	 Diphosphopyridine nucleotide	 Nadide	 beta-NAD+ C00003;true
0;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;K00286;1.5.1.2;1;(S)-1-Pyrroline-5-carboxylate	 L-1-Pyrroline-5-carboxylate	 1-Pyrroline-5-carboxylate C03912;product;irreversible;;555.8666223392329;214.3563474815163;740.3121326921488;257.407222460914;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;(S)-1-Pyrroline-5-carboxylate	 L-1-Pyrroline-5-carboxylate	 1-Pyrroline-5-carboxylate C03912;true
0;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;K00286;1.5.1.2;1;H+	 Hydron C00080;product;irreversible;;555.8666223392329;214.3563474815163;384.4328024062007;372.0475838266474;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;H+	 Hydron C00080;true
0;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;K00286;1.5.1.2;1;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;product;irreversible;;555.8666223392329;214.3563474815163;393.9465121982158;281.68943167774876;L-Proline:NAD+ 5-oxidoreductase	 L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+ R01248;NADH	 DPNH	 Reduced nicotinamide adenine dinucleotide C00004;true
1;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;K00286;1.5.1.2;1;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;substrate;irreversible;;904.1841714560007;196.46675620005897;956.4811792390344;160.4743310672498;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;NADP+	 NADP	 Nicotinamide adenine dinucleotide phosphate	 beta-Nicotinamide adenine dinucleotide phosphate	 TPN	 Triphosphopyridine nucleotide	 beta-NADP+ C00006;true
1;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;K00286;1.5.1.2;1;L-Proline	 2-Pyrrolidinecarboxylic acid C00148;substrate;irreversible;;904.1841714560007;196.46675620005897;729.327416363568;105.34872472947995;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;L-Proline	 2-Pyrrolidinecarboxylic acid C00148;true
1;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;K00286;1.5.1.2;1;(S)-1-Pyrroline-5-carboxylate	 L-1-Pyrroline-5-carboxylate	 1-Pyrroline-5-carboxylate C03912;product;irreversible;;904.1841714560007;196.46675620005897;740.3121326921488;257.407222460914;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;(S)-1-Pyrroline-5-carboxylate	 L-1-Pyrroline-5-carboxylate	 1-Pyrroline-5-carboxylate C03912;true
1;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;K00286;1.5.1.2;1;H+	 Hydron C00080;product;irreversible;;904.1841714560007;196.46675620005897;384.4328024062007;372.0475838266474;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;H+	 Hydron C00080;true
1;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;K00286;1.5.1.2;1;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;product;irreversible;;904.1841714560007;196.46675620005897;947.9682908995634;236.8776002282534;L-Proline:NADP+ 5-oxidoreductase	 L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+ R01251;NADPH	 TPNH	 Reduced nicotinamide adenine dinucleotide phosphate C00005;true
